"1splitHere46","788873splitHere46","// somewhere out there<newline46mondego>public enum Events {<newline46mondego>  TERMINATE, DO_SOMETHING, BAKE_SOMETHING<newline46mondego>}<newline46mondego><newline46mondego>// inside consumer<newline46mondego>Events e;<newline46mondego>while( (e = queue.take()) != TERMINATE ) {<newline46mondego>  switch(e) {<newline46mondego>    case DO_SOMETHING:<newline46mondego>      // blah blah<newline46mondego>  }<newline46mondego>}<newline46mondego><newline46mondego>// somewhere else in another thread<newline46mondego>Events e = BAKE_SOMETHING;<newline46mondego>if( queue.offer(e) )<newline46mondego>   // the queue gladly accepted our BAKE_SOMETHING event!<newline46mondego>else<newline46mondego>   // oops! we could block with put() if we want...<newline46mondego>"
"2splitHere46","790156splitHere46","<cffunction name=<doubleQuotes46>IsRtfFile<doubleQuotes46> returntype=<doubleQuotes46>Boolean<doubleQuotes46> output=<doubleQuotes46>false<doubleQuotes46>><newline46mondego>    <cfargument name=<doubleQuotes46>FileName<doubleQuotes46> type=<doubleQuotes46>String<doubleQuotes46> /><newline46mondego>    <cfreturn Left(FileRead(Arguments.FileName),5) EQ '{\rtf' /><newline46mondego></cffunction><newline46mondego>"
"3splitHere46","790156splitHere46","<cffunction name=<doubleQuotes46>IsRtfFile<doubleQuotes46> returntype=<doubleQuotes46>Boolean<doubleQuotes46> output=<doubleQuotes46>false<doubleQuotes46>><newline46mondego>    <cfargument name=<doubleQuotes46>FileName<doubleQuotes46> type=<doubleQuotes46>String<doubleQuotes46> /><newline46mondego>    <cfset var FileData = 0 /><newline46mondego>    <cffile variable=<doubleQuotes46>FileData<doubleQuotes46> action=<doubleQuotes46>read<doubleQuotes46> file=<doubleQuotes46>#Arguments.FileName#<doubleQuotes46> /><newline46mondego>    <cfreturn Left(FileData,5) EQ '{\rtf' /><newline46mondego></cffunction><newline46mondego>"
"4splitHere46","790156splitHere46","<cffunction name=<doubleQuotes46>IsRtfFile<doubleQuotes46> returntype=<doubleQuotes46>Boolean<doubleQuotes46> output=<doubleQuotes46>false<doubleQuotes46>><newline46mondego>    <cfargument name=<doubleQuotes46>FileName<doubleQuotes46> type=<doubleQuotes46>String<doubleQuotes46> /><newline46mondego>    <cfset var FileData = 0 /><newline46mondego><newline46mondego>    <cfloop index=<doubleQuotes46>FileData<doubleQuotes46> file=<doubleQuotes46>#Arguments.FileName#<doubleQuotes46> characters=<doubleQuotes46>5<doubleQuotes46>><newline46mondego>    	<cfbreak/><newline46mondego>    </cfloop><newline46mondego><newline46mondego>    <cfreturn FileData EQ '{\rtf' /><newline46mondego></cffunction><newline46mondego>"
"5splitHere46","790156splitHere46","<cffunction name=<doubleQuotes46>determineFileFormat<doubleQuotes46> returntype=<doubleQuotes46>String<doubleQuotes46> output=<doubleQuotes46>false<doubleQuotes46><newline46mondego>    hint=<doubleQuotes46>Determines format of file based on header of the file's data.<doubleQuotes46><newline46mondego>    ><newline46mondego>    <cfargument name=<doubleQuotes46>FileName<doubleQuotes46> type=<doubleQuotes46>String<doubleQuotes46>/><newline46mondego>    <cfset var FileData = 0 /><newline46mondego>    <cfset var CurFormat = 0 /><newline46mondego>    <cfset var MaxBytes = 8 /><newline46mondego>    <cfset var Formats =<newline46mondego>    	{ WordNew  : 'D0,CF,11,E0,A1,B1,1A,E1'<newline46mondego>    	, WordBeta : '0E,11,FC,0D,D0,CF,11,E0'<newline46mondego>    	, Rtf      : '7B,5C,72,74,66' <!--- {\rtf ---><newline46mondego>    	, Jpeg     : 'FF,D8'<newline46mondego>    	}/><newline46mondego><newline46mondego>    <cfloop index=<doubleQuotes46>FileData<doubleQuotes46> file=<doubleQuotes46>#Arguments.FileName#<doubleQuotes46> characters=<doubleQuotes46>#MaxBytes#<doubleQuotes46>><newline46mondego>    	<cfbreak/><newline46mondego>    </cfloop><newline46mondego><newline46mondego>    <cfloop item=<doubleQuotes46>CurFormat<doubleQuotes46> collection=<doubleQuotes46>#Formats#<doubleQuotes46>><newline46mondego>    	<cfif Left( FileData , ListLen(Formats[CurFormat]) ) EQ convertToText(Formats[CurFormat]) ><newline46mondego>    		<cfreturn CurFormat /><newline46mondego>    	</cfif><newline46mondego>    </cfloop><newline46mondego><newline46mondego>    <cfreturn <doubleQuotes46>Unknown<doubleQuotes46>/><newline46mondego></cffunction><newline46mondego><newline46mondego><newline46mondego><cffunction name=<doubleQuotes46>convertToText<doubleQuotes46> returntype=<doubleQuotes46>String<doubleQuotes46> output=<doubleQuotes46>false<doubleQuotes46>><newline46mondego>    <cfargument name=<doubleQuotes46>HexList<doubleQuotes46> type=<doubleQuotes46>String<doubleQuotes46> /><newline46mondego>    <cfset var Result = <doubleQuotes46><doubleQuotes46> /><newline46mondego>    <cfset var CurItem = 0 /><newline46mondego><newline46mondego>    <cfloop index=<doubleQuotes46>CurItem<doubleQuotes46> list=<doubleQuotes46>#Arguments.HexList#<doubleQuotes46>><newline46mondego>    	<cfset Result &= Chr(InputBaseN(CurItem,16)) /><newline46mondego>    </cfloop><newline46mondego><newline46mondego>    <cfreturn Result /><newline46mondego></cffunction><newline46mondego>"
"6splitHere46","790224splitHere46","JTextField firstName = new JTextField();<newline46mondego>JTextField lastName = new JTextField();<newline46mondego>JPasswordField password = new JPasswordField();<newline46mondego>final JComponent[] inputs = new JComponent[] {<newline46mondego>		new JLabel(<doubleQuotes46>First<doubleQuotes46>),<newline46mondego>		firstName,<newline46mondego>		new JLabel(<doubleQuotes46>Last<doubleQuotes46>),<newline46mondego>		lastName,<newline46mondego>		new JLabel(<doubleQuotes46>Password<doubleQuotes46>),<newline46mondego>		password<newline46mondego>};<newline46mondego>JOptionPane.showMessageDialog(null, inputs, <doubleQuotes46>My custom dialog<doubleQuotes46>, JOptionPane.PLAIN_MESSAGE);<newline46mondego>System.out.println(<doubleQuotes46>You entered <doubleQuotes46> +<newline46mondego>		firstName.getText() + <doubleQuotes46>, <doubleQuotes46> +<newline46mondego>		lastName.getText() + <doubleQuotes46>, <doubleQuotes46> +<newline46mondego>		password.getText());<newline46mondego>"
"7splitHere46","790456splitHere46","jar"
"8splitHere46","790456splitHere46","jar tvf antlrworks-1.2.3.jar > contents<newline46mondego>"
"9splitHere46","790456splitHere46","contents"
"10splitHere46","790722splitHere46","myListener"
"11splitHere46","790722splitHere46","Serializable"
