"1splitHere46","1025915splitHere46","public class HashTable<K, V><newline46mondego>{<newline46mondego>    private LinkedList<V>[] m_storage;<newline46mondego><newline46mondego>    public HashTable(int initialSize)<newline46mondego>    {<newline46mondego>        m_storage = (LinkedList<V>[]) new LinkedList[initialSize];<newline46mondego>    }<newline46mondego>}<newline46mondego>"
"2splitHere46","1026003splitHere46","SELECT"
"3splitHere46","1026003splitHere46","INSERT"
"4splitHere46","1026665splitHere46","{ ...<newline46mondego>    SomeFactory factory = new SomeFactoryImpl();<newline46mondego>    Set<SomeClass> list = factory.getSomeListOfObjects();<newline46mondego>}<newline46mondego>"
"5splitHere46","1026665splitHere46","public ThisClass(SomeFactory someFactory) {<newline46mondego>    this.factory = someFactory;<newline46mondego>}<newline46mondego>"
"6splitHere46","1026665splitHere46","{ ...<newline46mondego>    Set<SomeClass> list = factory.getSomeListOfObjects();<newline46mondego>}<newline46mondego>"
"7splitHere46","1026736splitHere46","List<Value> list = new ArrayList<Value>(map.values());<newline46mondego>"
"8splitHere46","1026736splitHere46","Map<Key,Value> map;<newline46mondego>"
"9splitHere46","1026804splitHere46","long value = 0;<newline46mondego>for (int i = 0; i < by.length; i++)<newline46mondego>{<newline46mondego>   value += ((long) by[i] & 0xffL) << (8 * i);<newline46mondego>}<newline46mondego>"
"10splitHere46","1026804splitHere46","long value = 0;<newline46mondego>for (int i = 0; i < by.length; i++)<newline46mondego>{<newline46mondego>   value = (value << 8) + (by[i] & 0xff);<newline46mondego>}<newline46mondego>"
"11splitHere46","1026858splitHere46","<ejb-jar> <newline46mondego>    <enterprise-beans><newline46mondego>    </enterprise-beans>	<newline46mondego></ejb-jar><newline46mondego>"
"12splitHere46","1026858splitHere46","1. <?xml version=<doubleQuotes46>1.0<doubleQuotes46> encoding=<doubleQuotes46>UTF-8<doubleQuotes46>?>  <newline46mondego>   2. <ejb-jar version=<doubleQuotes46>3.0<doubleQuotes46>   <newline46mondego>   3.     xmlns=<doubleQuotes46>http://java.sun.com/xml/ns/javaee<doubleQuotes46>  <newline46mondego>   4.     xmlns:xsi=<doubleQuotes46>http://www.w3.org/2001/XMLSchema-instance<doubleQuotes46>   <newline46mondego>   5.     xsi:schemaLocation=<doubleQuotes46>http://java.sun.com/xml/ns/javaee   <newline46mondego>   6.     http://java.sun.com/xml/ns/javaee/ejb-jar_3_0.xsd<doubleQuotes46>>  <newline46mondego>   7. </ejb-jar><newline46mondego>"
"13splitHere46","1027038splitHere46","-XX:+UseParallelGC"
"14splitHere46","1027121splitHere46","iTextTable"
"15splitHere46","1027121splitHere46","initiTextDefaultCell"
"16splitHere46","1027121splitHere46","initiTextDefaultCell"
"17splitHere46","1027121splitHere46","iTextTable"
"18splitHere46","1027592splitHere46","HttpSession session = request.getSession(false);// don't create if it doesn't exist<newline46mondego>if(session != null && !session.isNew()) {<newline46mondego>    chain.doFilter(request, response);<newline46mondego>} else {<newline46mondego>    response.sendRedirect(<doubleQuotes46>/login.jsp<doubleQuotes46>);<newline46mondego>}<newline46mondego>"
"19splitHere46","1028029splitHere46","public class MyTableDecorator extends TableDecorator {<newline46mondego>    public String getCurrency() {<newline46mondego>        MyRowType row = getCurrentRowObject();<newline46mondego>        return row.getCurrency.format();<newline46mondego>    }<newline46mondego>}<newline46mondego>"
"20splitHere46","1028029splitHere46","<display:table name=<doubleQuotes46>myList<doubleQuotes46> decorator=<doubleQuotes46>test.MyTableDecorator<doubleQuotes46>><newline46mondego>    <display:column property=<doubleQuotes46>myProperty<doubleQuotes46> title=<doubleQuotes46>My Property<doubleQuotes46>/><newline46mondego>    <display:column property=<doubleQuotes46>currency<doubleQuotes46> title=<doubleQuotes46>Currency<doubleQuotes46>/><newline46mondego></display:table><newline46mondego>"
"21splitHere46","1028029splitHere46","<display:table name=<doubleQuotes46>myList<doubleQuotes46>><newline46mondego>    <display:column property=<doubleQuotes46>myProperty<doubleQuotes46> title=<doubleQuotes46>My Property<doubleQuotes46>/><newline46mondego>    <display:column property=<doubleQuotes46>currency<doubleQuotes46> title=<doubleQuotes46>Currency<doubleQuotes46> decorator=<doubleQuotes46>test.MyColumnDecorator<doubleQuotes46>/><newline46mondego></display:table><newline46mondego>"
"22splitHere46","1028088splitHere46","readLine()"
"23splitHere46","1028109splitHere46","String.replace"
"24splitHere46","1028109splitHere46","String.substring"
"25splitHere46","1028109splitHere46","beginning"
"26splitHere46","1028109splitHere46","end"
"27splitHere46","1028109splitHere46","String.replace"
"28splitHere46","1028109splitHere46","String"
"29splitHere46","1028109splitHere46","String.replace"
"30splitHere46","1028109splitHere46","String"
"31splitHere46","1028109splitHere46","replace"
"32splitHere46","1028109splitHere46","String"
"33splitHere46","1028109splitHere46","str"
"34splitHere46","1028109splitHere46","String"
"35splitHere46","1028109splitHere46","String.substring"
"36splitHere46","1028109splitHere46","String"
"37splitHere46","1028109splitHere46","StringIndexOutOfBoundsException"
"38splitHere46","1028109splitHere46","char[]"
"39splitHere46","1028109splitHere46","String"
"40splitHere46","1028109splitHere46","String"
"41splitHere46","1028109splitHere46","char[]"
"42splitHere46","1028161splitHere46","Date"
"43splitHere46","1028161splitHere46","Calender"
"44splitHere46","1028696splitHere46","public class MyClass<newline46mondego>{<newline46mondego>  private static MyFileWriter x;<newline46mondego><newline46mondego>  static {<newline46mondego>    try {<newline46mondego>      x = new MyFileWriter(<doubleQuotes46>foo.txt<doubleQuotes46>); <newline46mondego>    } catch (Exception e) {<newline46mondego>      logging_and _stuff_you_might_want_to_terminate_the_app_here_blah();<newline46mondego>    } // end try-catch<newline46mondego>  } // end static init block<newline46mondego>  ...<newline46mondego>}<newline46mondego>"
"45splitHere46","1028993splitHere46","/**<newline46mondego> * <newline46mondego> * @param salary salary to set (in cents)<newline46mondego> */<newline46mondego>public void setSalary(float salary);<newline46mondego><newline46mondego>/**<newline46mondego> * @return current salary (in cents, may be imaginary for weird employees)<newline46mondego> */<newline46mondego>public float getSalary();<newline46mondego>"
"46splitHere46","1029243splitHere46","Map"
"47splitHere46","1029243splitHere46","Map<String, Integer> m = new HashMap<String, Integer>();<newline46mondego>m.put(<doubleQuotes46>Stop me<doubleQuotes46>, 11);<newline46mondego>Integer i = m.get(<doubleQuotes46>Stop me<doubleQuotes46>); // i == 11<newline46mondego>"
"48splitHere46","1029243splitHere46","int i = m.get(<doubleQuotes46>Stop me<doubleQuotes46>);<newline46mondego>"
"49splitHere46","1029243splitHere46","int i = m.get(<doubleQuotes46>Stop me<doubleQuotes46>).intValue()<newline46mondego>"
"50splitHere46","1029243splitHere46","get"
"51splitHere46","1029243splitHere46","null"
"52splitHere46","1029243splitHere46","NullPointerException"
"53splitHere46","1029243splitHere46","Integer"
"54splitHere46","1029304splitHere46","${:import(org.apache.log4j.Logger)}<newline46mondego>private static final Logger _logger = Logger.getLogger(${enclosing_type}.class);<newline46mondego>"
"55splitHere46","1029304splitHere46","${:import(org.slf4j.Logger,org.slf4j.LoggerFactory)}<newline46mondego>private static final Logger _logger = LoggerFactory.getLogger(${enclosing_type}.class);<newline46mondego>"
"56splitHere46","1029499splitHere46","cron"
"57splitHere46","1029499splitHere46","Quartz"
"58splitHere46","1029499splitHere46","cron"
"59splitHere46","1029499splitHere46","Quartz"
"60splitHere46","1029499splitHere46","cron"
"61splitHere46","1029499splitHere46","Quartz"
"62splitHere46","1029499splitHere46","Quartz"
"63splitHere46","1029499splitHere46","cron"
"64splitHere46","1029499splitHere46","Quartz"
"65splitHere46","1029499splitHere46","cron"
"66splitHere46","1029499splitHere46","Quartz"
"67splitHere46","1029573splitHere46","id"
"68splitHere46","1029573splitHere46","len"
"69splitHere46","1029573splitHere46","DataInputStream stream;<newline46mondego><newline46mondego>// ...<newline46mondego><newline46mondego>int    length  = stream.readInt();<newline46mondego>byte   id      = stream.readByte();<newline46mondego>byte[] payload = new byte[length - 1];<newline46mondego><newline46mondego>stream.readFully(payload);<newline46mondego>"
"70splitHere46","1029573splitHere46","len"
"71splitHere46","1029573splitHere46","id"
"72splitHere46","1030066splitHere46","char"
"73splitHere46","1030066splitHere46","String"
"74splitHere46","1030066splitHere46","char"
"75splitHere46","1030066splitHere46","Character"
"76splitHere46","1030066splitHere46","char"
"77splitHere46","1030066splitHere46","char"
"78splitHere46","1030066splitHere46","int"
"79splitHere46","1030290splitHere46","-Xmx15G"
"80splitHere46","1030290splitHere46","-Xms15G"
"81splitHere46","1030459splitHere46","SystemTray"
"82splitHere46","1030459splitHere46","TrayIcon"
"83splitHere46","1030459splitHere46","java.awt"
"84splitHere46","1030459splitHere46","SystemTray"
"85splitHere46","1030459splitHere46","TrayIcon"
"86splitHere46","1030565splitHere46","Set"
"87splitHere46","1031536splitHere46","ResultSet"
"88splitHere46","1031726splitHere46","<dependency><newline46mondego>  <groupId>xerces</groupId><newline46mondego>  <artifactId>xerces</artifactId><newline46mondego>  <version>2.4.0</version><newline46mondego>  <scope>provided</scope><newline46mondego></dependency><newline46mondego>"
"89splitHere46","1031726splitHere46","<dependency><newline46mondego>        <groupId>org.springframework</groupId><newline46mondego>        <artifactId>spring</artifactId><newline46mondego>        <version>2.5.6</version><newline46mondego>        <exclusions><newline46mondego>                <exclusion><newline46mondego>                        <groupId>commons-logging</groupId><newline46mondego>                        <artifactId>commons-logging</artifactId><newline46mondego>                </exclusion><newline46mondego>        </exclusions><newline46mondego></dependency><newline46mondego>"
"90splitHere46","1031966splitHere46","<newline46mondego>class Foo {<newline46mondego>   class Bar { }<newline46mondego>   static class Baz { }<newline46mondego>   void run() {<newline46mondego>      Helper t = new Helper() {<newline46mondego>         int helpMethod() {<newline46mondego>            return 2;<newline46mondego>         }<newline46mondego>      };<newline46mondego>    }<newline46mondego>}<newline46mondego>"
"91splitHere46","1031966splitHere46","Foo.class"
"92splitHere46","1031966splitHere46","Foo$Bar.class"
"93splitHere46","1031966splitHere46","Foo$Baz.class"
"94splitHere46","1031966splitHere46","Foo$1.class"
"95splitHere46","1031966splitHere46","Helper"
"96splitHere46","1032700splitHere46","<?php<newline46mondego>$a = <doubleQuotes46>hola<doubleQuotes46>;<newline46mondego><newline46mondego>for($i=0; $i < strlen($a); $i++) {<newline46mondego> echo $a[$i] . <doubleQuotes46>\n<doubleQuotes46>;<newline46mondego><newline46mondego>}<newline46mondego><newline46mondego>$a[2] = <doubleQuotes46>-<doubleQuotes46>; // will print ho-a<newline46mondego>?><newline46mondego>"
"97splitHere46","1032985splitHere46","public <T extends ShellTab> T getShellTab(Class<T> shellTabClass)<newline46mondego>"
"98splitHere46","1032985splitHere46","shellTabClass"
"99splitHere46","1032985splitHere46","Class<? extends T>"
"100splitHere46","1033128splitHere46","RandomAccessFile"
"101splitHere46","1033128splitHere46","FileChannel"
"102splitHere46","1033128splitHere46","RandomAccessFile"
"103splitHere46","1033128splitHere46","seek()"
"104splitHere46","1033128splitHere46","import java.io.*;<newline46mondego><newline46mondego>public class Test<newline46mondego>{<newline46mondego>    // Just for the sake of a simple test program!<newline46mondego>    public static void main(String[] args) throws Exception<newline46mondego>    {<newline46mondego>        RandomAccessFile file = new RandomAccessFile(<doubleQuotes46>file.dat<doubleQuotes46>, <doubleQuotes46>rw<doubleQuotes46>);<newline46mondego><newline46mondego>        file.seek(100);<newline46mondego>        file.write(0);<newline46mondego>        file.close();<newline46mondego>    }<newline46mondego>}<newline46mondego>"
"105splitHere46","1033128splitHere46","file.dat"
"106splitHere46","1033128splitHere46","setLength()"
"107splitHere46","1033164splitHere46","CLVIEW.EXE"
"108splitHere46","1033383splitHere46","trait TextAttr[T <: {def setText(s: String); def getText(): String}] {<newline46mondego>"
"109splitHere46","1033547splitHere46","void foo(List<E> list);<newline46mondego>"
"110splitHere46","1033547splitHere46","<EDIT>"
"111splitHere46","1033547splitHere46","</EDIT>"
"112splitHere46","1033625splitHere46","<!DOCTYPE html PUBLIC <doubleQuotes46>-//W3C//DTD XHTML 1.0 Transitional//EN<doubleQuotes46> <doubleQuotes46>xhtml1-transitional.dtd<doubleQuotes46>><newline46mondego>"
"113splitHere46","1033681splitHere46","StringBuilder"
"114splitHere46","1033681splitHere46","<doubleQuotes46> <doubleQuotes46>"
"115splitHere46","1033681splitHere46","StringBuilder.indexOf"
"116splitHere46","1033681splitHere46","\n"
"117splitHere46","1033681splitHere46","StringBuilder.insert"
"118splitHere46","1033681splitHere46","\n"
"119splitHere46","1033681splitHere46","System.getProperty(<doubleQuotes46>line.separator<doubleQuotes46>);"
"120splitHere46","1033681splitHere46","String s = <doubleQuotes46>A very long string containing <doubleQuotes46> +<newline46mondego>    <doubleQuotes46>many many words and characters. <doubleQuotes46> +<newline46mondego>    <doubleQuotes46>Newlines will be entered at spaces.<doubleQuotes46>;<newline46mondego><newline46mondego>StringBuilder sb = new StringBuilder(s);<newline46mondego><newline46mondego>int i = 0;<newline46mondego>while ((i = sb.indexOf(<doubleQuotes46> <doubleQuotes46>, i + 30)) != -1) {<newline46mondego>    sb.replace(i, i + 1, <doubleQuotes46>\n<doubleQuotes46>);<newline46mondego>}<newline46mondego><newline46mondego>System.out.println(sb.toString());<newline46mondego>"
"121splitHere46","1033681splitHere46","String"
"122splitHere46","1033681splitHere46","while"
"123splitHere46","1033681splitHere46","for"
"124splitHere46","1033681splitHere46","StringBuilder.insert"
"125splitHere46","1033681splitHere46","StringBuilder.replace"
"126splitHere46","1033681splitHere46","replace"
"127splitHere46","1033681splitHere46","insert"
"128splitHere46","1033795splitHere46","ByteArrayOutputStream ostream = new ByteArrayOutputStream(<some large number>);<newline46mondego>WritableByteChannel destination = Channels.newChannel(ostream);<newline46mondego>"
"129splitHere46","1033795splitHere46","ostream.toByteArray()<newline46mondego>"
"130splitHere46","1033795splitHere46","ByteBuffer.wrap(ostream.toByteArray())<newline46mondego>"
"131splitHere46","1033795splitHere46","StreamConsumer"
"132splitHere46","1033795splitHere46","Callable<ByteBuffer>"
"133splitHere46","1033863splitHere46","SELECT * FROM sch.tab1 where col1 like lower ( '' + ? )<newline46mondego>"
