"1splitHere46","5227861splitHere46","for (SearchResult result : docSearch)  {<newline46mondego>  if (iter2 >= 50) break;<newline46mondego><newline46mondego>  //do stuff<newline46mondego>  iter2 += 1;<newline46mondego>}<newline46mondego>"
"2splitHere46","5227972splitHere46","indexOfComma"
"3splitHere46","5227972splitHere46","startingIndex"
"4splitHere46","5227972splitHere46","substring()"
"5splitHere46","5227972splitHere46","String#indexOf(String, int)"
"6splitHere46","5227972splitHere46","String#indexOf(String)"
"7splitHere46","5227972splitHere46","indexOfComma"
"8splitHere46","5227972splitHere46","int indexOfComma = -1;<newline46mondego>int numOperands = 1;<newline46mondego>while ((indexOfComma = read.indexOf(comma, indexOfComma+1)) != -1) {<newline46mondego>    // snip...<newline46mondego>    machineTables.externalSymbolTable.put(entry, tempEntryArray);<newline46mondego>    numOperands++;<newline46mondego>}<newline46mondego>"
"9splitHere46","5228190splitHere46","interface A { <newline46mondego><newline46mondego>   public void foo();<newline46mondego><newline46mondego>}<newline46mondego><newline46mondego>interface B extends A { <newline46mondego><newline46mondego>   public void bar();<newline46mondego><newline46mondego>}<newline46mondego><newline46mondego><newline46mondego>class C implements B { <newline46mondego><newline46mondego>    @Override<newline46mondego>    public void foo() { <newline46mondego><newline46mondego>       // implement this<newline46mondego>    }<newline46mondego><newline46mondego>    @Override<newline46mondego>    public void bar() { <newline46mondego><newline46mondego>       // implement this<newline46mondego>    }<newline46mondego><newline46mondego>}<newline46mondego>"
"10splitHere46","5228538splitHere46","int number1 = Integer.parseInt(text);<newline46mondego>int number2= Integer.parseInt(text2);<newline46mondego>"
"11splitHere46","5228538splitHere46","if (number1 == number2)<newline46mondego> { <newline46mondego> text3.setText(<doubleQuotes46>Four and above<doubleQuotes46>);<newline46mondego> return;<newline46mondego> }<newline46mondego>"
"12splitHere46","5228721splitHere46","ArrayList"
"13splitHere46","5228721splitHere46","LinkedList"
"14splitHere46","5228721splitHere46","Collection"
"15splitHere46","5228730splitHere46","val"
"16splitHere46","5228730splitHere46","number"
"17splitHere46","5228730splitHere46","import java.util.Scanner;<newline46mondego><newline46mondego>class Find {<newline46mondego><newline46mondego>  public static void main (String args[]) {<newline46mondego>    Scanner input = new Scanner(System.in); <newline46mondego>    double number;<newline46mondego><newline46mondego>    do {<newline46mondego>        System.out.print(<doubleQuotes46>Enter a number: <doubleQuotes46>); <newline46mondego>        number = input.nextDouble();<newline46mondego>    } while(!isValid(number));<newline46mondego>  }<newline46mondego><newline46mondego>  private static boolean isValid(double number){<newline46mondego>    int minValue = 1;<newline46mondego>    int maxValue = 100;<newline46mondego><newline46mondego>    if (number < minValue || number > maxValue ) {<newline46mondego>       System.out.println(<doubleQuotes46>Try again<doubleQuotes46>);<newline46mondego>       return false;<newline46mondego>    }<newline46mondego>    else {<newline46mondego>       return true;<newline46mondego>    }<newline46mondego>  }<newline46mondego>} <newline46mondego>"
