"1splitHere46","5457590splitHere46","ObjectMapper objectMapper = new ObjectMapper();<newline46mondego>objectMapper.configure(SerializationConfig.Feature.INDENT_OUTPUT, true);<newline46mondego><newline46mondego>String originalJson = ...<newline46mondego>JsonNode tree = objectMapper .readTree(originalJson);<newline46mondego>String formattedJson = objectMapper.writeValueAsString(tree);<newline46mondego>"
"2splitHere46","5458080splitHere46","indexOf"
"3splitHere46","5458080splitHere46","contains"
"4splitHere46","5458080splitHere46","public static int indexOf(String string, char[] chars) {<newline46mondego>    LOOP:<newline46mondego>    for (int i = 0; i < string.length() - chars.length; i++) {<newline46mondego>        for (int j = 0; j < chars.length; j++)<newline46mondego>            if (string.charAt(i + j) != chars[j])<newline46mondego>                continue LOOP;<newline46mondego>        return i;<newline46mondego>    }<newline46mondego>    return -1;<newline46mondego>}<newline46mondego><newline46mondego>public static void main(String args[]) {<newline46mondego>    char[] chars = <doubleQuotes46>test<doubleQuotes46>.toCharArray();<newline46mondego>    String one = <doubleQuotes46>qqwtestq<doubleQuotes46>;<newline46mondego>    String two = <doubleQuotes46>qwqtqwe<doubleQuotes46>;<newline46mondego>    String str = new String(chars);<newline46mondego>    System.out.println(<doubleQuotes46>indexOf(<doubleQuotes46> + one+<doubleQuotes46>, <doubleQuotes46> + Arrays.toString(chars) + <doubleQuotes46>) = <doubleQuotes46> + indexOf(one, chars));<newline46mondego>    System.out.println(one + <doubleQuotes46>.indexOf(<doubleQuotes46> + str + <doubleQuotes46>) = <doubleQuotes46> + one.indexOf(str));<newline46mondego>    System.out.println(<doubleQuotes46>indexOf(<doubleQuotes46> + two+<doubleQuotes46>, <doubleQuotes46> + Arrays.toString(chars) + <doubleQuotes46>) = <doubleQuotes46> + indexOf(two, chars));<newline46mondego>    System.out.println(two + <doubleQuotes46>.indexOf(<doubleQuotes46> + str + <doubleQuotes46>) = <doubleQuotes46> + two.indexOf(str));<newline46mondego><newline46mondego>    char[] chars2 = { '\uffff', '\uFeFF' };<newline46mondego>    String test = <doubleQuotes46>qqw\uffff\uFeFFq<doubleQuotes46>;<newline46mondego>    String str2 = new String(chars2);<newline46mondego>    System.out.println(<doubleQuotes46>indexOf(<doubleQuotes46> + test+<doubleQuotes46>, <doubleQuotes46> + Arrays.toString(chars2) + <doubleQuotes46>) = <doubleQuotes46> + indexOf(test, chars2));<newline46mondego>    System.out.println(test + <doubleQuotes46>.indexOf(<doubleQuotes46> + str2 + <doubleQuotes46>) = <doubleQuotes46> + test.indexOf(str2));<newline46mondego>}<newline46mondego>"
"5splitHere46","5458080splitHere46","indexOf(qqwtestq, [t, e, s, t]) = 3<newline46mondego>qqwtestq.indexOf(test) = 3<newline46mondego>indexOf(qwqtqwe, [t, e, s, t]) = -1<newline46mondego>qwqtqwe.indexOf(test) = -1<newline46mondego>indexOf(qqw??q, [?, ?]) = 3<newline46mondego>qqw??q.indexOf(??) = 3<newline46mondego>"
"6splitHere46","5458080splitHere46","for(int i=Character.MIN_VALUE;i<= Character.MAX_VALUE;i++) {<newline46mondego>    String find = new String(new char[] {(char) i});<newline46mondego>    String str = new String(new char[] {(char) (i+1), (char) i});<newline46mondego>    String str1 = new String(new char[] {(char) (i+1)});<newline46mondego><newline46mondego>    int test1 = str.indexOf(find);<newline46mondego>    if (test1 != 1)<newline46mondego>        throw new AssertionError(<doubleQuotes46>test1 failed i=<doubleQuotes46>+i);<newline46mondego><newline46mondego>    int test2 = str1.indexOf(find);<newline46mondego>    if (test2 != -1)<newline46mondego>        throw new AssertionError(<doubleQuotes46>test2 failed i=<doubleQuotes46>+i);<newline46mondego>}<newline46mondego>"
"7splitHere46","5458867splitHere46","Reader"
"8splitHere46","5458867splitHere46","JAXBContext jaxbContext = JAXBContext.newInstance(Person.class);<newline46mondego>Unmarshaller unmarshaller = jaxbContext.createUnmarshaller();<newline46mondego><newline46mondego>StringReader reader = new StringReader(<doubleQuotes46>xml string here<doubleQuotes46>);<newline46mondego>Person person = (Person) unmarshaller.unmarshal(reader);<newline46mondego>"
"9splitHere46","5459078splitHere46","final"
"10splitHere46","5459078splitHere46","final"
"11splitHere46","5459153splitHere46","Transactional behavior<newline46mondego><newline46mondego>Similar to undo, a database engine or software installer may keep a list of operations that have been or will be performed. Should one of them fail, all others can be reverted or discarded (usually called rollback). For example, if two database tables which refer to each other must be updated, and the second update fails, the transaction can be rolled back, so that the first table does not now contain an invalid reference.<newline46mondego>"
