"1splitHere46","6843305splitHere46","MouseEvent me = new MouseEvent(tree, 0, 0, 0, 100, 100, 1, false);<newline46mondego>for(MouseListener ml: tree.getMouseListeners()){<newline46mondego>    ml.mousePressed(me);<newline46mondego>}<newline46mondego>"
"2splitHere46","6843616splitHere46","MyInterface"
"3splitHere46","6843616splitHere46","UnsupportedOperationException"
"4splitHere46","6843616splitHere46","public interface Driveable {<newline46mondego>  public Position accelerate(Vector v, Time t);<newline46mondego>  public String getVehicleIdentificationNumber();<newline46mondego>}<newline46mondego>"
"5splitHere46","6843616splitHere46","MyClass1"
"6splitHere46","6843616splitHere46","Boat"
"7splitHere46","6843616splitHere46","public interface Driveable {<newline46mondego>  public Position accelerate(Vector v, Time t);<newline46mondego>}<newline46mondego><newline46mondego>public interface Vehicle extends Driveable {<newline46mondego>  public String getVehicleIdentificationNumber();<newline46mondego>}<newline46mondego><newline46mondego>public class Boat implements Driveable { ... }<newline46mondego>public class Car implements Vehicle { ... }<newline46mondego>"
"8splitHere46","6843616splitHere46","public String getVehicleIdentificationNumber() {<newline46mondego>  return <doubleQuotes46><doubleQuotes46>;<newline46mondego>}<newline46mondego>"
"9splitHere46","6843616splitHere46","public String getVehicleIdentificationNumber() {<newline46mondego>  throw new UnsupportedOperationException(<doubleQuotes46>vehicle identification<newline46mondego>    number not supported on boats<doubleQuotes46>);<newline46mondego>}<newline46mondego>"
"10splitHere46","6843709splitHere46","moveToFirst"
"11splitHere46","6843709splitHere46","moveToNext"
"12splitHere46","6843709splitHere46","c.moveToNext();"
"13splitHere46","6843918splitHere46","<?xml version=<doubleQuotes46>1.0<doubleQuotes46> encoding=<doubleQuotes46>utf-8<doubleQuotes46>?><newline46mondego><resources><newline46mondego>    <style name=<doubleQuotes46>CodeFont<doubleQuotes46> parent=<doubleQuotes46>@android:style/TextAppearance.Medium<doubleQuotes46>><newline46mondego>        <item name=<doubleQuotes46>android:layout_width<doubleQuotes46>>fill_parent</item><newline46mondego>        <item name=<doubleQuotes46>android:layout_height<doubleQuotes46>>wrap_content</item><newline46mondego>        <item name=<doubleQuotes46>android:textColor<doubleQuotes46>>#00FF00</item><newline46mondego>        <item name=<doubleQuotes46>android:typeface<doubleQuotes46>>monospace</item><newline46mondego>    </style><newline46mondego></resources><newline46mondego>"
"14splitHere46","6843919splitHere46","roo> focus --class ~.LaserCannon<newline46mondego>~.LaserCannon roo> field number --fieldName strength --type double<newline46mondego>Updated SRC_MAIN_JAVA/com/stackoverflow/LaserCannon.java<newline46mondego>Updated SRC_MAIN_JAVA/com/stackoverflow/LaserCannon_Roo_JavaBean.aj<newline46mondego>Updated SRC_MAIN_JAVA/com/stackoverflow/LaserCannon_Roo_ToString.aj<newline46mondego>"
"15splitHere46","6843977splitHere46","SoapObject soap = (SoapObject)ks.getProperty(i);<newline46mondego>    String tmp = soap.getProperty(0).toString();<newline46mondego>"
"16splitHere46","6843977splitHere46","SoapObject soap = (SoapObject)ks.getProperty(i);<newline46mondego>    SoapObject tmp = soap.getProperty(0);<newline46mondego>    String foo = tmp.getProperty(0).toString();<newline46mondego>"
"17splitHere46","6843977splitHere46","HttpTransportSE"
"18splitHere46","6843977splitHere46","AndroidHttpTransport"
"19splitHere46","6844012splitHere46","cur"
"20splitHere46","6844012splitHere46","first"
"21splitHere46","6844012splitHere46","first"
"22splitHere46","6844012splitHere46","cur"
"23splitHere46","6844012splitHere46","first"
"24splitHere46","6844012splitHere46","display()"
