"1splitHere46","8938876splitHere46","new EventHandler<ActionEvent>() {<newline46mondego>        @Override // <- notice the annotation, it overrides from the interface.<newline46mondego>        public void handle(ActionEvent event) {<newline46mondego>                System.out.print(<doubleQuotes46>Hello World !!<doubleQuotes46>);<newline46mondego>        }<newline46mondego>    }<newline46mondego>"
"2splitHere46","8938949splitHere46","log4j.logger.org.apache.commons.httpclient=WARN<newline46mondego>"
"3splitHere46","8938949splitHere46","com.foo"
"4splitHere46","8938949splitHere46","com.foo.Bar"
"5splitHere46","8938949splitHere46","log4j.logger"
"6splitHere46","8938949splitHere46","log4j.logger.com.foo=MYLEVEL<newline46mondego>log4j.logger.com.foo.Bar=DEBUG<newline46mondego>"
"7splitHere46","8938972splitHere46","ActionListener"
"8splitHere46","8938982splitHere46","@ECHO OFF<newline46mondego>set CLASSPATH=.<newline46mondego>set CLASSPATH=%CLASSPATH%;path/to/needed/jars/my.jar<newline46mondego><newline46mondego>%JAVA_HOME%\bin\java -Xms128m -Xmx384m -Xnoclassgc ro.my.class.MyClass<newline46mondego>"
"9splitHere46","8939039splitHere46","dialog.setVisible(true);<newline46mondego>// blocked here until the dialog is closed. The dialog stores the input in a<newline46mondego>// field when OK is clicked in the dialog<newline46mondego>if (dialog.getTextInputtedByTheUser() != null) {<newline46mondego>    ...<newline46mondego>"
"10splitHere46","8939039splitHere46","private void showDialog(<newline46mondego>    MyDialog dialog = new MyDialog(this);<newline46mondego>    dialog.setVisible(true);<newline46mondego>}<newline46mondego><newline46mondego>public void userHasInputSomeText(String text) {<newline46mondego>    // do whatever you want with the text<newline46mondego>    System.out.println(<doubleQuotes46>User has entered this text in the dialog: <doubleQuotes46> + text);<newline46mondego>}<newline46mondego>"
"11splitHere46","8939039splitHere46","private MyFrame frame;<newline46mondego>public MyDialog(MyFrame frame) {<newline46mondego>    super(frame);<newline46mondego>    this.frame = frame;<newline46mondego>}<newline46mondego>...<newline46mondego>private void okButtonClicked() {<newline46mondego>    String text = textField.getText();<newline46mondego>    frame.userHasInputSomeText(text);<newline46mondego>}<newline46mondego>"
"12splitHere46","8939279splitHere46","final"
"13splitHere46","8939279splitHere46","final int my_var = 3;<newline46mondego>"
"14splitHere46","8939307splitHere46","/images"
"15splitHere46","8939368splitHere46","libsvm-3.11.tar.gz\libsvm-3.11.tar\libsvm-3.11\java"
"16splitHere46","8939454splitHere46","ProcessBuilder builder = new ProcessBuilder(<doubleQuotes46>/bin/sh<doubleQuotes46>, <doubleQuotes46>-c<doubleQuotes46>, <doubleQuotes46>mysql -u root -p password db-name <  b_script.sql<doubleQuotes46>);<newline46mondego>"
"17splitHere46","8939454splitHere46","ProcessBuilder builder = new ProcessBuilder(<newline46mondego>        <doubleQuotes46>mysql<doubleQuotes46>, <doubleQuotes46>-u<doubleQuotes46>, <doubleQuotes46>root<doubleQuotes46>, <doubleQuotes46>-p<doubleQuotes46>, <doubleQuotes46>password<doubleQuotes46>, <doubleQuotes46>db-name<doubleQuotes46>);<newline46mondego>builder.redirectInput(ProcessBuilder.Redirect.from(new File(<doubleQuotes46>b_script.sql<doubleQuotes46>)));<newline46mondego>"
"18splitHere46","8939553splitHere46","if ( s2.equals ( <doubleQuotes46>Both<doubleQuotes46> ) )<newline46mondego>{<newline46mondego>}<newline46mondego>"
"19splitHere46","8939553splitHere46","s2 == <doubleQuotes46>Both<doubleQuotes46>"
"20splitHere46","8939553splitHere46","if ( s2.equalsIgnoreCase ( <doubleQuotes46>Both<doubleQuotes46> ) ) <newline46mondego>{<newline46mondego>}<newline46mondego>"
