"1splitHere46","11522953splitHere46","<?xml version=<doubleQuotes46>1.0<doubleQuotes46> encoding=<doubleQuotes46>UTF-8<doubleQuotes46>?><newline46mondego><faces-config<newline46mondego>        xmlns=<doubleQuotes46>http://java.sun.com/xml/ns/javaee<doubleQuotes46><newline46mondego>        xmlns:xsi=<doubleQuotes46>http://www.w3.org/2001/XMLSchema-instance<doubleQuotes46><newline46mondego>        xsi:schemaLocation=<doubleQuotes46>http://java.sun.com/xml/ns/javaee<newline46mondego>            http://java.sun.com/xml/ns/javaee/web-facesconfig_2_0.xsd<doubleQuotes46><newline46mondego>        version=<doubleQuotes46>2.0<doubleQuotes46>><newline46mondego><newline46mondego>    <!-- JSF and Spring are integrated --><newline46mondego>    <application><newline46mondego>        <el-resolver><newline46mondego>            org.springframework.web.jsf.el.SpringBeanFacesELResolver<newline46mondego>        </el-resolver><newline46mondego>    </application><newline46mondego><newline46mondego>    <!-- configuration of navigation rules --><newline46mondego>    <navigation-rule><newline46mondego>        <from-view-id>pages/index.xhtml</from-view-id><newline46mondego>        <navigation-case><newline46mondego>            <from-outcome>success</from-outcome><newline46mondego>            <to-view-id>pages/success.xhtml</to-view-id><newline46mondego>        </navigation-case><newline46mondego>        <navigation-case><newline46mondego>            <from-outcome>error</from-outcome><newline46mondego>            <to-view-id>pages/error.xhtml</to-view-id><newline46mondego>        </navigation-case><newline46mondego>    </navigation-rule><newline46mondego><newline46mondego></faces-config><newline46mondego>"
"2splitHere46","11522977splitHere46","for (int FIx = 0; FIx <= img.getWidth(); FIx++) {<newline46mondego>    for (int FIy = 0; FIy <= img.getHeight(); FIy++) {<newline46mondego>"
"3splitHere46","11522977splitHere46","getWidth"
"4splitHere46","11522977splitHere46","getHeight"
"5splitHere46","11522977splitHere46","for (int FIx = 0; FIx < img.getWidth(); FIx++) {<newline46mondego>    for (int FIy = 0; FIy < img.getHeight(); FIy++) {<newline46mondego>"
"6splitHere46","11522977splitHere46","org.newdawn.slick.Image"
"7splitHere46","11523373splitHere46","out.toString()"
"8splitHere46","11523373splitHere46","public static void testCase() throws NullPointerException{<newline46mondego>        try{<newline46mondego>            System.out.println(<doubleQuotes46>Start<doubleQuotes46>);<newline46mondego>            String out = null;<newline46mondego>            out.toString();<newline46mondego>            System.out.println(<doubleQuotes46>Stop<doubleQuotes46>);<newline46mondego><newline46mondego>        }catch(NullPointerException e){<newline46mondego>            System.out.println(<doubleQuotes46>Stop<doubleQuotes46>);<newline46mondego>            System.out.println(<doubleQuotes46>Exception<doubleQuotes46>);<newline46mondego>        }<newline46mondego>    }<newline46mondego>"
"9splitHere46","11523373splitHere46","public static void testCase() throws NullPointerException{<newline46mondego>        try{<newline46mondego>            System.out.println(<doubleQuotes46>Start<doubleQuotes46>);<newline46mondego>            String out = null;<newline46mondego>            Exception e = null;<newline46mondego><newline46mondego>            try<newline46mondego>            {<newline46mondego>                out.toString();<newline46mondego>            }<newline46mondego>            catch(Exception ex)<newline46mondego>            {<newline46mondego>                e = ex;<newline46mondego>            }<newline46mondego>            System.out.println(<doubleQuotes46>Stop<doubleQuotes46>);<newline46mondego><newline46mondego>            if(e != null)<newline46mondego>                throw e;<newline46mondego><newline46mondego>        }catch(Exception e){<newline46mondego>            System.out.println(<doubleQuotes46>Exception<doubleQuotes46>);<newline46mondego>        }<newline46mondego>    }<newline46mondego>"
"10splitHere46","11523390splitHere46","List<CategoryUsage>"
"11splitHere46","11523390splitHere46","CategoryUsage"
"12splitHere46","11523390splitHere46","Category"
"13splitHere46","11523456splitHere46","main"
"14splitHere46","11523456splitHere46","main"
"15splitHere46","11523503splitHere46","SimpleDateFormat"
"16splitHere46","11523531splitHere46","Collections.sort(loginArrayList )<newline46mondego>"
"17splitHere46","11523534splitHere46","@TargetApi(14)<newline46mondego>public void useSomeNewApis() {<newline46mondego>   ...<newline46mondego>}<newline46mondego>"
"18splitHere46","11523534splitHere46","add @TargetApi(14) to useSomeNewApis"
"19splitHere46","11523588splitHere46","}catch (Exception e){<newline46mondego>  e.printStackTrace();<newline46mondego>}<newline46mondego>"
"20splitHere46","11523588splitHere46","@RunWith(SpringJUnit4ClassRunner.class)<newline46mondego>@ContextConfiguration(locations={<doubleQuotes46>applicationcontext-Service.xml<doubleQuotes46>,<doubleQuotes46>applicationcontext-Hibernate.xml<doubleQuotes46>,<doubleQuotes46>applicationContext-dao.xml<doubleQuotes46>})<newline46mondego>public class BookingProcessServiceTest {<newline46mondego><newline46mondego>    @Autowired<newline46mondego>    private BookingProcessService bookingProcessService;<newline46mondego><newline46mondego>}<newline46mondego>"
"21splitHere46","11523588splitHere46","static"
"22splitHere46","11523614splitHere46","public class MapSerializationTest {<newline46mondego>    private static class Foo implements Serializable {<newline46mondego>    }<newline46mondego><newline46mondego>    public static void main(String[] args) throws Exception {<newline46mondego>        Foo foo = new Foo();<newline46mondego><newline46mondego>        Map<String, Foo> map1 = new HashMap<String, Foo>();<newline46mondego>        map1.put(<doubleQuotes46>foo<doubleQuotes46>, foo);<newline46mondego>        Map<String, Foo> map2 = new HashMap<String, Foo>();<newline46mondego>        map2.put(<doubleQuotes46>foo<doubleQuotes46>, foo);<newline46mondego><newline46mondego>        ByteArrayOutputStream baos = new ByteArrayOutputStream();<newline46mondego>        ObjectOutputStream oos = new ObjectOutputStream(baos);<newline46mondego>        oos.writeObject(map1);<newline46mondego>        oos.writeObject(map2);<newline46mondego>        oos.close();<newline46mondego><newline46mondego>        byte[] bytes = baos.toByteArray();<newline46mondego><newline46mondego>        ByteArrayInputStream bais = new ByteArrayInputStream(bytes);<newline46mondego>        ObjectInputStream ois = new ObjectInputStream(bais);<newline46mondego>        map1 = (Map<String, Foo>) ois.readObject();<newline46mondego>        map2 = (Map<String, Foo>) ois.readObject();<newline46mondego>        System.out.println(map1.get(<doubleQuotes46>foo<doubleQuotes46>) == map2.get(<doubleQuotes46>foo<doubleQuotes46>)); // prints true<newline46mondego>    }<newline46mondego>}<newline46mondego>"
"23splitHere46","11523614splitHere46","reset()"
"24splitHere46","11524126splitHere46","toString()"
"25splitHere46","11524126splitHere46","public class MyClass {<newline46mondego>    private String message;<newline46mondego>    public MyClass(String message) {<newline46mondego>        this.message = message;<newline46mondego>    }<newline46mondego>    @Override<newline46mondego>    public String toString() {<newline46mondego>        return message;<newline46mondego>    }<newline46mondego>}<newline46mondego>"
"26splitHere46","11524129splitHere46","display.setText(<doubleQuotes46><doubleQuotes46>+counter);<newline46mondego> //OR<newline46mondego>display.setText(String.valueOf(counter));<newline46mondego>"
"27splitHere46","11524129splitHere46","display.setText(counter);<newline46mondego>"
"28splitHere46","11524240splitHere46","getDistinctMonths()"
"29splitHere46","11524240splitHere46","monthArray"
"30splitHere46","11524240splitHere46","monthArray"
"31splitHere46","11524343splitHere46","RestTemplate restTemplate = new RestTemplate();<newline46mondego>String response = restTemplate.getForObject(<doubleQuotes46>http://web-server.com/item/3455<doubleQuotes46>, String.class);<newline46mondego>"
"32splitHere46","11524406splitHere46","startMethod1"
"33splitHere46","11524406splitHere46","startmethod2"
"34splitHere46","11524406splitHere46","startMethod2"
"35splitHere46","11524406splitHere46","startMethod1"
"36splitHere46","11524406splitHere46","startMethod1"
"37splitHere46","11524406splitHere46","startMethod2"
"38splitHere46","11524406splitHere46","Thread.join()"
"39splitHere46","11524406splitHere46","ExecutorService.awaitTermination()"
"40splitHere46","11524608splitHere46","routes"
"41splitHere46","11524608splitHere46","String"
"42splitHere46","11524608splitHere46","routes"
"43splitHere46","11524608splitHere46","GET     /some/*path    controllers.Application.resolvePath(path: String)<newline46mondego>"
"44splitHere46","11524608splitHere46","http://domain.tld/some/a       it will pass 'a' String as a path param<newline46mondego>http://domain.tld/some/a/b     it will pass 'a/b'<newline46mondego>http://domain.tld/some/a/b/c   it will pass 'a/b/c'<newline46mondego>"
"45splitHere46","11524608splitHere46","GET  /send/request/:to/:from  controllers.Req_controller.sendRequest(to: Integer, from:Integer)<newline46mondego>"
"46splitHere46","11524608splitHere46","onBadRequest()"
"47splitHere46","11524608splitHere46","*path"
"48splitHere46","11524608splitHere46","a/b/c"
"49splitHere46","11524706splitHere46","RuntimeException"
"50splitHere46","11524706splitHere46","Exception"
