"1splitHere46","12471528splitHere46","private float readUsage() {<newline46mondego>try {<newline46mondego>    RandomAccessFile reader = new RandomAccessFile(<doubleQuotes46>/proc/stat<doubleQuotes46>, <doubleQuotes46>r<doubleQuotes46>);<newline46mondego>    String load = reader.readLine();<newline46mondego><newline46mondego>    String[] toks = load.split(<doubleQuotes46> <doubleQuotes46>);<newline46mondego><newline46mondego>    long idle1 = Long.parseLong(toks[5]);<newline46mondego>    long cpu1 = Long.parseLong(toks[2]) + Long.parseLong(toks[3]) + Long.parseLong(toks[4])<newline46mondego>          + Long.parseLong(toks[6]) + Long.parseLong(toks[7]) + Long.parseLong(toks[8]);<newline46mondego><newline46mondego>    try {<newline46mondego>        Thread.sleep(360);<newline46mondego>    } catch (Exception e) {}<newline46mondego><newline46mondego>    reader.seek(0);<newline46mondego>    load = reader.readLine();<newline46mondego>    reader.close();<newline46mondego><newline46mondego>    toks = load.split(<doubleQuotes46> <doubleQuotes46>);<newline46mondego><newline46mondego>    long idle2 = Long.parseLong(toks[5]);<newline46mondego>    long cpu2 = Long.parseLong(toks[2]) + Long.parseLong(toks[3]) + Long.parseLong(toks[4])<newline46mondego>        + Long.parseLong(toks[6]) + Long.parseLong(toks[7]) + Long.parseLong(toks[8]);<newline46mondego><newline46mondego>    return (float)(cpu2 - cpu1) / ((cpu2 + idle2) - (cpu1 + idle1));<newline46mondego><newline46mondego>} catch (IOException ex) {<newline46mondego>    ex.printStackTrace();<newline46mondego>   }<newline46mondego><newline46mondego>    return 0;<newline46mondego>} <newline46mondego>"
"2splitHere46","12471867splitHere46","<c:forEach var=<doubleQuotes46>item<doubleQuotes46> items=<doubleQuotes46>${myList}<doubleQuotes46>><newline46mondego>   <div>${item}</div><newline46mondego> </c:forEach><newline46mondego>"
"3splitHere46","12471867splitHere46","${myList}"
"4splitHere46","12471867splitHere46","getMyList()"
"5splitHere46","12472042splitHere46","JTree#setExpandsSelectedPaths"
"6splitHere46","12472262splitHere46","run"
"7splitHere46","12472262splitHere46","wait"
"8splitHere46","12472262splitHere46","Runnable"
"9splitHere46","12472262splitHere46","close"
"10splitHere46","12472262splitHere46","dt"
"11splitHere46","12472262splitHere46","IOException"
"12splitHere46","12472262splitHere46","dt = new DataTransmitter(hostName,epnId);<newline46mondego>new Thread(dt).start();<newline46mondego>"
"13splitHere46","12472355splitHere46","String Key=null;<newline46mondego><newline46mondego>    if(request.getParameter(<doubleQuotes46>project<doubleQuotes46>)!=null){ <newline46mondego>        Key=request.getParameter(<doubleQuotes46>project<doubleQuotes46>).trim();<newline46mondego>     }<newline46mondego><newline46mondego>if (AM == null) {<newline46mondego>        response.sendRedirect(<doubleQuotes46>../portal/login.jsp?from=index.jsp&project=<doubleQuotes46>+Key);<newline46mondego>    }<newline46mondego>"
"14splitHere46","12472513splitHere46","ResultSet.getBigDecimal()"
"15splitHere46","12472513splitHere46","java.math.BigDecimal"
"16splitHere46","12472514splitHere46","File fMysqlPath = new File(<doubleQuotes46>C:\\Program Files\\MySQL\\MySQL Server 5.1\\bin\\<doubleQuotes46>);<newline46mondego>String executeCmd = <doubleQuotes46>mysqldump -u <doubleQuotes46> + dbUser<newline46mondego>            + <doubleQuotes46> -p<doubleQuotes46> + dbPass + <doubleQuotes46> <doubleQuotes46> + dbName + <doubleQuotes46> -r <doubleQuotes46> + FilePath + <doubleQuotes46>\\<doubleQuotes46><newline46mondego>            + FileName;<newline46mondego><newline46mondego>System.out.println(executeCmd);<newline46mondego>Process runtimeProcess = Runtime.getRuntime().exec(executeCmd, null, fMysqlPath);<newline46mondego>"
"17splitHere46","12472516splitHere46","customerInfo = customerInfo + result.getString(<doubleQuotes46>orderid<doubleQuotes46>) + <doubleQuotes46>&<doubleQuotes46> + result.getString(<doubleQuotes46>status<doubleQuotes46>);<newline46mondego>"
"18splitHere46","12472516splitHere46","customerInfo = customerInfo <newline46mondego>    + result.getString(<doubleQuotes46>orderid<doubleQuotes46>) <newline46mondego>    + <doubleQuotes46> <doubleQuotes46>   // this to separate order id from status<newline46mondego>    + result.getString(<doubleQuotes46>status<doubleQuotes46>) <newline46mondego>    + <doubleQuotes46>&<doubleQuotes46> ; // this is where you split in your android code<newline46mondego>"
"19splitHere46","12472516splitHere46","1 F<newline46mondego>2 Q<newline46mondego>3 P<newline46mondego>"
"20splitHere46","12472622splitHere46","JList"
"21splitHere46","12472622splitHere46","JTextArea/JTextPane"
"22splitHere46","12472674splitHere46","static public boolean deleteDirectory(File path) {<newline46mondego>    if( path.exists() ) {<newline46mondego>        File[] files = path.listFiles();<newline46mondego>        if (files == null) {<newline46mondego>            return true;<newline46mondego>        }<newline46mondego>        for(int i = 0; i < files.length; i++) {<newline46mondego>            if(files[i].isDirectory()) {<newline46mondego>                deleteDirectory(files[i]);<newline46mondego>            }<newline46mondego>            else {<newline46mondego>                files[i].delete();<newline46mondego>            }<newline46mondego>            Log.d(<doubleQuotes46>Deleting Files<doubleQuotes46>, files[i].getPath());<newline46mondego>        }<newline46mondego>    }<newline46mondego><newline46mondego>    return( path.delete() );<newline46mondego>}<newline46mondego>"
"23splitHere46","12472674splitHere46","Environment.getDownloadCacheDirectory()<newline46mondego>"
"24splitHere46","12472822splitHere46","private static final int FLAG1 = 0x01;<newline46mondego>private static final int FLAG2 = 0x02;<newline46mondego><newline46mondego>callFunc(FLAG1|FLAG2); // (passes 0x03)<newline46mondego>"
"25splitHere46","12472822splitHere46","callFunc(0x03|0x01); // passes 0x03 - so the 0x01 does nothing.<newline46mondego>"
"26splitHere46","12472860splitHere46","x"
"27splitHere46","12472860splitHere46","SortingTest"
"28splitHere46","12472860splitHere46","public class SortingTest {  <newline46mondego><newline46mondego>    private String[] x; <newline46mondego><newline46mondego>    @SetUp<newline46mondego>    public void init() {<newline46mondego>      x = new String {<doubleQuotes46>Ludo<doubleQuotes46>, <doubleQuotes46>Chesstitans<doubleQuotes46>, <doubleQuotes46>Palle<doubleQuotes46>, <doubleQuotes46>Monkey<doubleQuotes46>};<newline46mondego>    }<newline46mondego>}<newline46mondego>"
"29splitHere46","12472889splitHere46","public class PHPDataChecker implements Runnable {<newline46mondego>    public void run() {<newline46mondego>       // Paste here all the code in your question<newline46mondego>    }<newline46mondego>}<newline46mondego>"
