"1splitHere46","17981343splitHere46","curl -v -X PUT -H <doubleQuotes46>Content-Type: text/uri-list<doubleQuotes46> \<newline46mondego>-d <doubleQuotes46>http://localhost:7070/study-spring-data/teacher/1<doubleQuotes46> http://localhost:7070/study-spring-data/course/123/teacher<newline46mondego>"
"2splitHere46","17981362splitHere46","java"
"3splitHere46","17981523splitHere46","String template = <doubleQuotes46>[chicken]<doubleQuotes46>;<newline46mondego>String pattern = <doubleQuotes46>\\G(?<!\\[)(\\w+)(?!\\])<doubleQuotes46>;<newline46mondego>Pattern p = Pattern.compile(pattern);<newline46mondego>Matcher m = p.matcher(template);<newline46mondego><newline46mondego>while (m.find()) <newline46mondego>{<newline46mondego>     System.out.println(m.group());<newline46mondego>}<newline46mondego>"
"4splitHere46","17981523splitHere46","(?<!\\[) //negative look behind<newline46mondego>(?!\\])  //negative look ahead<newline46mondego>(\\w+)   //capture group for the word<newline46mondego>\\G      //is a boundary matcher for marking the end of the previous match <newline46mondego>"
"5splitHere46","17981523splitHere46","<doubleQuotes46>chicken [chicken] chicken [chicken]<doubleQuotes46><newline46mondego>"
"6splitHere46","17981523splitHere46","String regex = <doubleQuotes46>(?<!\\[)\\b(\\w+)\\b(?!\\])<doubleQuotes46>;<newline46mondego>"
"7splitHere46","17981523splitHere46","<doubleQuotes46>[chicken<doubleQuotes46><newline46mondego><doubleQuotes46>chicken]<doubleQuotes46><newline46mondego>"
"8splitHere46","17981523splitHere46","<doubleQuotes46>chicken<doubleQuotes46>"
"9splitHere46","17981523splitHere46","String pattern = <doubleQuotes46>(?<!\\[)?\\b(\\w+)\\b(?!\\])|(?<!\\[)\\b(\\w+)\\b(?!\\])?<doubleQuotes46>;<newline46mondego>"
"10splitHere46","17981523splitHere46","|"
"11splitHere46","17981523splitHere46","?"
"12splitHere46","17981523splitHere46","?"
"13splitHere46","17981676splitHere46","paintComponent()"
"14splitHere46","17981676splitHere46","JPanel background = new JPanel()<newline46mondego>{<newline46mondego>    @Override<newline46mondego>    public void paintComponent(Graphics g)<newline46mondego>    {<newline46mondego>        super.paintComponent(g);<newline46mondego>        Graphics2D g2d = (Graphics2D) g;<newline46mondego>        g2d.setColor(Color.BLACK);<newline46mondego>        g2d.drawRect(0, 0, 800, 600);<newline46mondego>    }<newline46mondego>};<newline46mondego>"
"15splitHere46","17981818splitHere46","compareTo"
"16splitHere46","17981818splitHere46","AnimalCard"
"17splitHere46","17981818splitHere46","compareTo"
"18splitHere46","17981818splitHere46","AnimalCard"
"19splitHere46","17981818splitHere46","0"
"20splitHere46","17981818splitHere46","TreeMap"
"21splitHere46","17981818splitHere46","put()"
"22splitHere46","17981848splitHere46","// Alternatively, you could use clone()<newline46mondego>Map<String, Object> myMap = new HashMap<String, Object>(defaults);<newline46mondego>myMap.putAll(someMap);<newline46mondego>"
"23splitHere46","17982025splitHere46","public interface FileStructureLevel<E extends FileStructureLevel><newline46mondego>    extends NodeStructureLevel<FileStructureLevel><newline46mondego>"
"24splitHere46","17982025splitHere46","public interface FileStructureLevel<E extends FileStructureLevel><newline46mondego>    extends NodeStructureLevel<E><newline46mondego>"
"25splitHere46","17982025splitHere46","FileStructureLevel<L>"
"26splitHere46","17982025splitHere46","NodeStructureLevel<L>"
"27splitHere46","17982025splitHere46","NodeStructure"
"28splitHere46","17982025splitHere46","NodeStructureLevel<FileStructureLevel>"
"29splitHere46","17982294splitHere46","public class Library{<newline46mondego><newline46mondego>    private Song[] arr = new Song[10];<newline46mondego>    private int songNumber = 0; //the number of Songs already stored in your array<newline46mondego><newline46mondego>    public void addSong(Song s){<newline46mondego>        arr[songNumber++] = s;<newline46mondego>    }<newline46mondego>}<newline46mondego>"
"30splitHere46","17982294splitHere46","public void addSong(Song s){<newline46mondego>    if(songNumber<10)<newline46mondego>    {<newline46mondego>       arr[songNumber++] = s;<newline46mondego>    }else{<newline46mondego>       //what to do if more then 10 songs are added<newline46mondego>    }<newline46mondego>}<newline46mondego>"
"31splitHere46","17982411splitHere46","if (input[i] < 0 && input[i] > 9)<newline46mondego>"
"32splitHere46","17982411splitHere46","if (input[i] < 0 || input[i] > 9)<newline46mondego>"
"33splitHere46","17982411splitHere46","int[] garbage = new int[input.length];<newline46mondego>int j = 0;<newline46mondego>for (int i=0; i < input.length; i++){<newline46mondego>    if (input[i] >= 0 && input[i] <= 9){<newline46mondego>        garbage[j] = input[i];<newline46mondego>        j++;<newline46mondego>        System.out.print(garbage[j]);<newline46mondego>    }<newline46mondego>"
"34splitHere46","17982565splitHere46","List"
"35splitHere46","17982565splitHere46","public static void doI1Stuff(List<I1> implementorsOfI1)<newline46mondego> ...<newline46mondego> C3.doI1Stuff(c2L);<newline46mondego>"
"36splitHere46","17982565splitHere46","doI1Stuff"
"37splitHere46","17982565splitHere46","List<I1>"
"38splitHere46","17982565splitHere46","List<I2>"
"39splitHere46","17982565splitHere46","class C1 extends I1"
"40splitHere46","17982565splitHere46","doI1Stuff"
"41splitHere46","17982565splitHere46","C3"
"42splitHere46","17982565splitHere46","listOfImplementorsOfT1"
"43splitHere46","17982565splitHere46","public static void doI1Stuff(List<? extends I1> implementorsOfI1)<newline46mondego>"
"44splitHere46","17982565splitHere46","extends I1"
"45splitHere46","17982565splitHere46","List<I2>"
"46splitHere46","17982565splitHere46","List<C2>"
"47splitHere46","17982565splitHere46","List<C1>"
"48splitHere46","17982736splitHere46","HashSet"
"49splitHere46","17982736splitHere46","Set.add"
"50splitHere46","17982736splitHere46","false"
"51splitHere46","17982736splitHere46","addAll"
"52splitHere46","17982736splitHere46","containsAll"
"53splitHere46","17982736splitHere46","true"
"54splitHere46","17982736splitHere46","true"
"55splitHere46","17982736splitHere46","Set<T> set1 = new HashSet<>();<newline46mondego>Set<T> set2 = new HashSet<>();<newline46mondego>// Add stuff to the sets<newline46mondego>set1.addAll(set2);<newline46mondego>System.out.println(set1.containsAll(set2));<newline46mondego>"
"56splitHere46","17982821splitHere46","Intent intent = new Intent(Intent.ACTION_SEND);  <newline46mondego><newline46mondego>intent.putExtra(Intent.EXTRA_EMAIL, new String[]{<doubleQuotes46>mail@mail.com<doubleQuotes46>});<newline46mondego>intent.putExtra(Intent.EXTRA_SUBJECT, <doubleQuotes46>email subject<doubleQuotes46>); // optional<newline46mondego>intent.putExtra(Intent.EXTRA_TEXT, <doubleQuotes46>email body<doubleQuotes46>); // optional<newline46mondego>intent.setType(<doubleQuotes46>message/rfc822<doubleQuotes46>); // useful define which kind of app to perform the action <newline46mondego><newline46mondego>startActivity(Intent.createChooser(intent, <doubleQuotes46>Send Email<doubleQuotes46>));<newline46mondego>"
"57splitHere46","17982821splitHere46","Uri uri = Uri.parse(<doubleQuotes46>mailto:mail@mail.com<doubleQuotes46>);<newline46mondego>Intent intent = new Intent(Intent.ACTION_SENDTO, uri);<newline46mondego><newline46mondego>intent.putExtra(Intent.EXTRA_SUBJECT, <doubleQuotes46>email subject<doubleQuotes46>); // optional<newline46mondego>intent.putExtra(Intent.EXTRA_TEXT, <doubleQuotes46>email body<doubleQuotes46>); // optional<newline46mondego><newline46mondego>startActivity(intent);<newline46mondego>"
"58splitHere46","17982885splitHere46","Object a = new Object(); <newline46mondego>method(a);<newline46mondego>public void method(Object a){<newline46mondego>        // do operation on Object a <newline46mondego>}<newline46mondego>"
"59splitHere46","17982885splitHere46","An enum type is a special data type that enables for a variable to be a set of predefined constants. The variable must be equal to one of the values that have been predefined for it. Common examples include compass directions (values of NORTH, SOUTH, EAST, and WEST) and the days of the week.<newline46mondego><newline46mondego>Because they are constants, the names of an enum type's fields are in uppercase letters.<newline46mondego>"
"60splitHere46","17982885splitHere46","public static final"
"61splitHere46","17982889splitHere46",":"
"62splitHere46","17982889splitHere46","-javaagent"
"63splitHere46","17982889splitHere46","-javaagent:/Developer/aspectj-1.6/aspectjweaver.jar<newline46mondego>"
