"1splitHere46","19157638splitHere46","setMaximizable(bool enabled)"
"2splitHere46","19157703splitHere46","testDate()"
"3splitHere46","19157703splitHere46","public static String testDate() throws ClassNotFoundException,<newline46mondego>    ReflectiveOperationException, Exception {<newline46mondego><newline46mondego>    if (getDayId() == 1) {<newline46mondego>        DateFormat dateFormat = new SimpleDateFormat(<doubleQuotes46>yyyy/MM/dd<doubleQuotes46>);<newline46mondego>        Calendar cal = Calendar.getInstance();<newline46mondego>        cal.setTime(getdate()); // Calling getDate() method and setting the date before subtracting 2 days.<newline46mondego>        cal.add(Calendar.DATE, -2);<newline46mondego>        return dateFormat.format(cal.getTime());<newline46mondego>    }<newline46mondego>    return null;<newline46mondego>}<newline46mondego>"
"4splitHere46","19157703splitHere46","getDate()"
"5splitHere46","19157703splitHere46","String"
"6splitHere46","19157703splitHere46","Date"
"7splitHere46","19157832splitHere46","A"
"8splitHere46","19157832splitHere46","<aop:pointcut id=<doubleQuotes46>aMethods<doubleQuotes46> expression=<doubleQuotes46>execution(* com.mypackage.A+.*(..))<doubleQuotes46>/><newline46mondego>"
"9splitHere46","19157833splitHere46","String.format(Locale.US,PATTERN, no);<newline46mondego>"
"10splitHere46","19157880splitHere46","Game"
"11splitHere46","19157880splitHere46","setVisible"
"12splitHere46","19157880splitHere46","JPanel"
"13splitHere46","19157880splitHere46","frame.add(this);<newline46mondego>frame.setVisible(true);<newline46mondego>"
"14splitHere46","19158352splitHere46","android:layout_weight=<doubleQuotes46>0.5<doubleQuotes46>"
