"1splitHere46","21514988splitHere46","List<Point> points = new ArrayList<Point>();<newline46mondego><newline46mondego>Point pointOne = new Point(x,y);<newline46mondego>Point pointTwo = new Point(x+25,y);<newline46mondego>Point pointThree = new Point(x+25,y+5);<newline46mondego>Point pointFour = new Point(x,y+5);<newline46mondego>points.add(pointOne );<newline46mondego>points.add(pointTwo );<newline46mondego>points.add(pointThree );<newline46mondego>points.add(pointFour);<newline46mondego><newline46mondego><newline46mondego><newline46mondego>Path path = new Path();<newline46mondego>path.moveTo(pointOne.x, pointOne.y);<newline46mondego>path.lineTo(pointTwo.x, pointTwo.y);<newline46mondego>//and so on<newline46mondego>path.close();<newline46mondego><newline46mondego>//and then<newline46mondego>pList.add(points); <newline46mondego>"
"2splitHere46","21515207splitHere46","// Your JSON represents an array of objects<newline46mondego>JSONArray jsonArray= new JSONArray(yourString);<newline46mondego><newline46mondego>// Now you have the array, iterate and get the objects<newline46mondego>for (int i = 0; i < jsonArray.length(); i++)<newline46mondego>{<newline46mondego>    JSONObject obj = jsonArray.getJSONObject(i);<newline46mondego><newline46mondego>    System.out.println(<doubleQuotes46>Name<doubleQuotes46> + i + <doubleQuotes46>= <doubleQuotes46> + obj.getString(<doubleQuotes46>name<doubleQuotes46>));<newline46mondego>    System.out.println(<doubleQuotes46>Link<doubleQuotes46> + i + <doubleQuotes46>= <doubleQuotes46> + obj.getString(<doubleQuotes46>link<doubleQuotes46>));<newline46mondego>} <newline46mondego>"
"3splitHere46","21515241splitHere46","null"
"4splitHere46","21515241splitHere46","@JsonProperty"
"5splitHere46","21515241splitHere46","public Business(@JsonProperty(<doubleQuotes46>id<doubleQuotes46>) int idBusiness, @JsonProperty(<doubleQuotes46>type<doubleQuotes46>) String type,@JsonProperty(<doubleQuotes46>pos<doubleQuotes46>) int pos) {<newline46mondego>    this.setId(idBusiness);<newline46mondego>    this.type = type;<newline46mondego>    this.pos = pos;<newline46mondego>}<newline46mondego>"
"6splitHere46","21515241splitHere46","id"
"7splitHere46","21515241splitHere46","idBusiness"
"8splitHere46","21515241splitHere46","@JsonProperty(<doubleQuotes46>id<doubleQuotes46>)"
"9splitHere46","21515272splitHere46","equals()"
"10splitHere46","21515272splitHere46","Object.equals()"
"11splitHere46","21515272splitHere46","equals()"
"12splitHere46","21515272splitHere46","hashCode()"
"13splitHere46","21515272splitHere46","equals()"
"14splitHere46","21515272splitHere46","new Fraction(5, 4).equals(new Fraction(20, 16)) == true"
"15splitHere46","21515359splitHere46","Caused by: java.lang.NullPointerException<newline46mondego>    at me.jrneulight.bedrockbreaker.Main.onPlayerUse(Main.java:54)<newline46mondego>"
