"1splitHere46","2439788splitHere46","public int foo() {...}<newline46mondego>public float foo() {..}<newline46mondego><newline46mondego>...<newline46mondego>foo(); // which one?<newline46mondego>"
"2splitHere46","2439888splitHere46","Comparable<MyClass>"
"3splitHere46","2439888splitHere46","Comparable"
"4splitHere46","2439888splitHere46","compareTo"
"5splitHere46","2439888splitHere46","MyClass"
"6splitHere46","2439888splitHere46","Object"
"7splitHere46","2439888splitHere46","public int compareTo(MyClass other) {<newline46mondego>    if (this == other) {<newline46mondego>        return 0;<newline46mondego>    } else {<newline46mondego>        int c = foo.CompareTo(other.foo)<newline46mondego>        if (c == 0) {<newline46mondego>            // what here?<newline46mondego>        } else {<newline46mondego>            return c;<newline46mondego>        }<newline46mondego>    }<newline46mondego>}<newline46mondego>"
"8splitHere46","2439888splitHere46","compareTo"
"9splitHere46","2439888splitHere46","equals"
"10splitHere46","2439977splitHere46","TableCellRenderer"
"11splitHere46","2439977splitHere46","final JCheckBox checkBox = new JCheckBox();<newline46mondego>jTable1.getColumn(<doubleQuotes46>Include<doubleQuotes46>).setCellRenderer(new DefaultTableCellRenderer() {<newline46mondego>    public Component getTableCellRendererComponent(JTable table, Object value, boolean isSelected, boolean hasFocus, int row, int column)<newline46mondego>    {<newline46mondego>      check.setSelected(((Boolean)value).booleanValue()) ;<newline46mondego>      return check;<newline46mondego>    }<newline46mondego>});<newline46mondego>"
"12splitHere46","2440028splitHere46","package com.stackoverflow.q2439984;<newline46mondego><newline46mondego>import java.io.File;<newline46mondego>import java.util.Iterator;<newline46mondego><newline46mondego>import ca.beq.util.win32.registry.RegistryKey;<newline46mondego>import ca.beq.util.win32.registry.RootKey;<newline46mondego><newline46mondego>public class Test {<newline46mondego><newline46mondego>    public static void main(String... args) throws Exception {<newline46mondego>        RegistryKey.initialize(Test.class.getResource(<doubleQuotes46>jRegistryKey.dll<doubleQuotes46>).getFile());<newline46mondego>        RegistryKey key = new RegistryKey(RootKey.HKLM, <doubleQuotes46>Software\\Mozilla<doubleQuotes46>);<newline46mondego>        for (Iterator<RegistryKey> subkeys = key.subkeys(); subkeys.hasNext();) {<newline46mondego>            RegistryKey subkey = subkeys.next();<newline46mondego>            System.out.println(subkey.getName()); // You need to check here if there's anything which matches <doubleQuotes46>Mozilla FireFox<doubleQuotes46>.<newline46mondego>        }<newline46mondego>    }<newline46mondego><newline46mondego>}<newline46mondego>"
"13splitHere46","2440028splitHere46","System#exit()"
"14splitHere46","2440028splitHere46","System.getProperty(<doubleQuotes46>os.name<doubleQuotes46>)"
"15splitHere46","2440070splitHere46","System.out"
"16splitHere46","2440070splitHere46","Runtime()"
"17splitHere46","2440281splitHere46","public class Sync {<newline46mondego>    public static int waiting = 0;<newline46mondego>    private Object mutex = new Object();<newline46mondego><newline46mondego>    public void sync() {<newline46mondego>        waiting++;<newline46mondego>        synchronized (mutex) {<newline46mondego>            waiting--;<newline46mondego>            long start = System.currentTimeMillis();<newline46mondego>            doWhatever();<newline46mondego>            System.out.println(<doubleQuotes46>duration:<doubleQuotes46><newline46mondego>                    + (System.currentTimeMillis() - start));<newline46mondego>        }<newline46mondego>    }<newline46mondego>}<newline46mondego>"
"18splitHere46","2440304splitHere46","HtmlOutputTag"
"19splitHere46","2440304splitHere46","HtmlOutputText"
"20splitHere46","2440304splitHere46","value"
"21splitHere46","2440304splitHere46","ValueExpression"
"22splitHere46","2440304splitHere46","value"
"23splitHere46","2440304splitHere46","ExpressionFactory#createValueExpression()"
"24splitHere46","2440304splitHere46","HtmlOutputText text = new HtmlOutputText();<newline46mondego>text.setValueExpression(<doubleQuotes46>value<doubleQuotes46>, createValueExpression(<doubleQuotes46>#{bean.property}<doubleQuotes46>, String.class));<newline46mondego>"
"25splitHere46","2440304splitHere46","createValueExpression()"
"26splitHere46","2440304splitHere46","private static ValueExpression createValueExpression(String valueExpression, Class<?> valueType) {<newline46mondego>    FacesContext context = FacesContext.getCurrentInstance();<newline46mondego>    return context.getApplication().getExpressionFactory()<newline46mondego>        .createValueExpression(context.getELContext(), valueExpression, valueType);<newline46mondego>}<newline46mondego>"
"27splitHere46","2440304splitHere46","valueType"
"28splitHere46","2440304splitHere46","<h:outputText value=<doubleQuotes46>#{bean.property}<doubleQuotes46> /><newline46mondego>"
"29splitHere46","2440369splitHere46","class"
"30splitHere46","2440369splitHere46","extends Thread"
