"1splitHere46","2912173splitHere46","SimpleDateFormat formatter = new SimpleDateFormat(<doubleQuotes46>EEE, d MMM yyyy 'at' hh:mma<doubleQuotes46>);<newline46mondego>"
"2splitHere46","2912312splitHere46","enum"
"3splitHere46","2912312splitHere46","public enum Elvis {<newline46mondego>   INSTANCE;<newline46mondego><newline46mondego>   public void leaveTheBuilding() { ... }<newline46mondego>}<newline46mondego>"
"4splitHere46","2912312splitHere46","enum"
"5splitHere46","2912312splitHere46","final clone"
"6splitHere46","2912312splitHere46","Enum"
"7splitHere46","2912312splitHere46","public class LazyElvis {<newline46mondego>    enum Elvis {<newline46mondego>        THE_ONE;<newline46mondego>        Elvis() {<newline46mondego>            System.out.println(<doubleQuotes46>I'M STILL ALIVE!!!<doubleQuotes46>);<newline46mondego>        }       <newline46mondego>    }<newline46mondego>    public static void main(String[] args) {<newline46mondego>        System.out.println(<doubleQuotes46>La-dee-daaa...<doubleQuotes46>);<newline46mondego>        System.out.println(Elvis.THE_ONE);<newline46mondego>    }<newline46mondego>}<newline46mondego>"
"8splitHere46","2912312splitHere46","La-dee-daaa...<newline46mondego>I'M STILL ALIVE!!!<newline46mondego>THE_ONE<newline46mondego>"
"9splitHere46","2912312splitHere46","THE_ONE"
"10splitHere46","2912364splitHere46","import net.rim.device.api.system.Bitmap;<newline46mondego>import net.rim.device.api.ui.Graphics;<newline46mondego>import net.rim.device.api.ui.component.ButtonField;<newline46mondego><newline46mondego>/**<newline46mondego> * Button field with a bitmap as its label.<newline46mondego> */<newline46mondego>public class BitmapButtonField extends ButtonField {<newline46mondego>        private Bitmap bitmap;<newline46mondego>        private Bitmap bitmapHighlight;<newline46mondego>        private boolean highlighted = false;<newline46mondego><newline46mondego>        /**<newline46mondego>         * Instantiates a new bitmap button field.<newline46mondego>         * <newline46mondego>         * @param bitmap the bitmap to use as a label<newline46mondego>         */<newline46mondego>        public BitmapButtonField(Bitmap bitmap, Bitmap bitmapHighlight) {<newline46mondego>            this(bitmap, bitmapHighlight, ButtonField.CONSUME_CLICK|ButtonField.FIELD_HCENTER|ButtonField.FIELD_VCENTER);<newline46mondego>        }<newline46mondego><newline46mondego>        public BitmapButtonField(Bitmap bitmap, Bitmap bitmapHighlight, long style) {<newline46mondego>            super(style);<newline46mondego>            this.bitmap = bitmap;<newline46mondego>            this.bitmapHighlight = bitmapHighlight;<newline46mondego>        }<newline46mondego><newline46mondego>        /* (non-Javadoc)<newline46mondego>         * @see net.rim.device.api.ui.component.ButtonField#layout(int, int)<newline46mondego>         */<newline46mondego>        protected void layout(int width, int height) {<newline46mondego>                setExtent(getPreferredWidth(), getPreferredHeight());<newline46mondego>        }<newline46mondego><newline46mondego>        /* (non-Javadoc)<newline46mondego>         * @see net.rim.device.api.ui.component.ButtonField#getPreferredWidth()<newline46mondego>         */<newline46mondego>        public int getPreferredWidth() {<newline46mondego>                return bitmap.getWidth();<newline46mondego>        }<newline46mondego><newline46mondego>        /* (non-Javadoc)<newline46mondego>         * @see net.rim.device.api.ui.component.ButtonField#getPreferredHeight()<newline46mondego>         */<newline46mondego>        public int getPreferredHeight() {<newline46mondego>                return bitmap.getHeight();<newline46mondego>        }<newline46mondego><newline46mondego>        /* (non-Javadoc)<newline46mondego>         * @see net.rim.device.api.ui.component.ButtonField#paint(net.rim.device.api.ui.Graphics)<newline46mondego>         */<newline46mondego>        protected void paint(Graphics graphics) {<newline46mondego>                super.paint(graphics);<newline46mondego>                int width = bitmap.getWidth();<newline46mondego>                int height = bitmap.getHeight();<newline46mondego>                Bitmap b = bitmap;<newline46mondego>                if (highlighted)<newline46mondego>                    b = bitmapHighlight;<newline46mondego>                graphics.drawBitmap(0, 0, width, height, b, 0, 0);<newline46mondego>        }<newline46mondego><newline46mondego>        public void setHighlight(boolean highlight)<newline46mondego>        {<newline46mondego>            this.highlighted = highlight;           <newline46mondego>        }<newline46mondego>}<newline46mondego>"
"11splitHere46","2912450splitHere46","String customfield;<newline46mondego>            Pattern p = Pattern.compile(<doubleQuotes46>X-CUSTOMFIELD;(.+)$<doubleQuotes46>);<newline46mondego>            Matcher m = p.matcher(insertyourcomparestringhere);<newline46mondego><newline46mondego>            if (m.find()) customfield = m.group();<newline46mondego>"
"12splitHere46","2912691splitHere46","public class PostConstructListener implements TypeListener{<newline46mondego><newline46mondego>    private static Logger logger = Logger.getLogger(PostConstructListener.class);<newline46mondego><newline46mondego>    @Override<newline46mondego>    public <I> void hear(TypeLiteral<I> iTypeLiteral,final TypeEncounter<I> iTypeEncounter) {<newline46mondego><newline46mondego>        Class<? super I> type = iTypeLiteral.getRawType();<newline46mondego><newline46mondego>        ReflectionUtils.MethodFilter mf = new ReflectionUtils.MethodFilter() {<newline46mondego>            @Override<newline46mondego>            public boolean matches(Method method) {<newline46mondego>                return method.isAnnotationPresent(PostConstruct.class);<newline46mondego>            }<newline46mondego>        };<newline46mondego><newline46mondego>        ReflectionUtils.MethodCallback mc = new ReflectionUtils.MethodCallback() {<newline46mondego>            @Override<newline46mondego>            public void doWith(Method method) throws IllegalArgumentException, IllegalAccessException {<newline46mondego>                if (!(method.getReturnType().equals(Void.TYPE) && method.getParameterTypes().length == 0))<newline46mondego>                {<newline46mondego>                    logger.warn(<doubleQuotes46>Only VOID methods having 0 parameters are supported by the PostConstruct annotation!<doubleQuotes46> +<newline46mondego>                            <doubleQuotes46>method <doubleQuotes46> + method.getName() + <doubleQuotes46> skipped!<doubleQuotes46>);<newline46mondego>                    return;<newline46mondego><newline46mondego>                }<newline46mondego>                iTypeEncounter.register(new PostConstructInvoker<I>(method));<newline46mondego>            }<newline46mondego>        };<newline46mondego><newline46mondego>        ReflectionUtils.doWithMethods(type,mc,mf);<newline46mondego>    }<newline46mondego><newline46mondego>    class PostConstructInvoker<I> implements InjectionListener<I>{<newline46mondego><newline46mondego>        private Method method;<newline46mondego><newline46mondego>        public PostConstructInvoker(Method method) {<newline46mondego>            this.method = method;<newline46mondego>        }<newline46mondego><newline46mondego>        @Override<newline46mondego>        public void afterInjection(I o) {<newline46mondego>            try {<newline46mondego>                method.invoke(o);<newline46mondego>            } catch (Throwable e) {<newline46mondego>                logger.error(e);<newline46mondego>            }<newline46mondego>        }<newline46mondego>    }<newline46mondego>}<newline46mondego>"
"13splitHere46","2912691splitHere46","bindListener(Matchers.any(),new PostConstructListener());<newline46mondego>"
"14splitHere46","2912727splitHere46","<project name=<doubleQuotes46>Name<doubleQuotes46> default=<doubleQuotes46>compile<doubleQuotes46> basedir=<doubleQuotes46>/src<doubleQuotes46>><newline46mondego>"
"15splitHere46","2912751splitHere46","@Test<newline46mondego>public void testReceivePerson(){<newline46mondego>    context.checking(new Expectations() {{          <newline46mondego>        atLeast(1).of(person).getId();<newline46mondego>        will(returnValue(String.class));        <newline46mondego>    }});<newline46mondego>    receiver.get(person);<newline46mondego>}<newline46mondego>"
"16splitHere46","2912904splitHere46","."
"17splitHere46","2912904splitHere46","\."
"18splitHere46","2912904splitHere46",".?"
"19splitHere46","2912904splitHere46",".{0,1}"
"20splitHere46","2912904splitHere46",".*"
"21splitHere46","2912904splitHere46",".{0,}"
"22splitHere46","2912904splitHere46",".+"
"23splitHere46","2912904splitHere46",".{1,}"
"24splitHere46","2913026splitHere46","Scanner.hasNextInt()"
"25splitHere46","2913026splitHere46","true"
"26splitHere46","2913026splitHere46","int"
"27splitHere46","2913026splitHere46","nextInt()"
"28splitHere46","2913026splitHere46","Scanner sc = new Scanner(System.in);<newline46mondego>    System.out.print(<doubleQuotes46>Enter number 1: <doubleQuotes46>);<newline46mondego>    while (!sc.hasNextInt()) sc.next();<newline46mondego>    int num1 = sc.nextInt();<newline46mondego>    int num2;<newline46mondego>    System.out.print(<doubleQuotes46>Enter number 2: <doubleQuotes46>);<newline46mondego>    do {<newline46mondego>        while (!sc.hasNextInt()) sc.next();<newline46mondego>        num2 = sc.nextInt();<newline46mondego>    } while (num2 < num1);<newline46mondego>    System.out.println(num1 + <doubleQuotes46> <doubleQuotes46> + num2);<newline46mondego>"
"29splitHere46","2913026splitHere46","parseInt"
"30splitHere46","2913026splitHere46","NumberFormatException"
"31splitHere46","2913026splitHere46","hasNextXXX"
"32splitHere46","2913026splitHere46","next()"
"33splitHere46","2913268splitHere46","src/test/resources"
"34splitHere46","2913268splitHere46","src/main/resources"
"35splitHere46","2913319splitHere46","n"
"36splitHere46","2913319splitHere46","m"
"37splitHere46","2913319splitHere46","n = m*(m+1)/2"
"38splitHere46","2913319splitHere46","m"
