"1splitHere46","3612071splitHere46","JSONObject query = json.getJSONObject(<doubleQuotes46>query<doubleQuotes46>);<newline46mondego>JSONObject results = query.getJSONObject(<doubleQuotes46>results<doubleQuotes46>);<newline46mondego>JSONArray quotes = results.getJSONArray(<doubleQuotes46>quotes<doubleQuotes46>);<newline46mondego>"
"2splitHere46","3612157splitHere46","Object a;"
"3splitHere46","3612157splitHere46","Object"
"4splitHere46","3612157splitHere46","Integer b;"
"5splitHere46","3612157splitHere46","Integer"
"6splitHere46","3612157splitHere46","Object"
"7splitHere46","3612157splitHere46","List<String> c = new LinkedList<String>();"
"8splitHere46","3612157splitHere46","c.put(<doubleQuotes46>foo<doubleQuotes46>);"
"9splitHere46","3612157splitHere46","LinkedList"
"10splitHere46","3612157splitHere46","put()"
"11splitHere46","3612157splitHere46","List::put()"
"12splitHere46","3612157splitHere46","public void method1(Object obj)"
"13splitHere46","3612157splitHere46","obj"
"14splitHere46","3612157splitHere46","Integer"
"15splitHere46","3612157splitHere46","int value = ((Integer) obj).intValue();"
"16splitHere46","3612157splitHere46","String a = <doubleQuotes46>A<doubleQuotes46>;"
"17splitHere46","3612157splitHere46","Integer n1 = 1;<newline46mondego>Integer n2 = new Integer(1);  // same thing<newline46mondego>int n3 = n2;<newline46mondego>"
"18splitHere46","3612157splitHere46","String a = new String(<doubleQuotes46>A<doubleQuotes46>);<newline46mondego>String b = new String(<doubleQuotes46>A<doubleQuotes46>);<newline46mondego>String c = <doubleQuotes46>A<doubleQuotes46>;<newline46mondego>String d = <doubleQuotes46>A<doubleQuotes46>;<newline46mondego><newline46mondego>System.out.println(<doubleQuotes46>a:<doubleQuotes46> + a.hashCode() + <doubleQuotes46> = b:<doubleQuotes46> + b.hashCode() + <doubleQuotes46> == <doubleQuotes46> + (a == b));<newline46mondego>System.out.println(<doubleQuotes46>b:<doubleQuotes46> + b.hashCode() + <doubleQuotes46> = c:<doubleQuotes46> + c.hashCode() + <doubleQuotes46> == <doubleQuotes46> + (b == c));<newline46mondego>System.out.println(<doubleQuotes46>c:<doubleQuotes46> + c.hashCode() + <doubleQuotes46> = d:<doubleQuotes46> + d.hashCode() + <doubleQuotes46> == <doubleQuotes46> + (c == d));<newline46mondego>"
"19splitHere46","3612157splitHere46","a:65 = b:65 == false<newline46mondego>b:65 = c:65 == false<newline46mondego>c:65 = d:65 == true<newline46mondego>"
"20splitHere46","3612157splitHere46","a"
"21splitHere46","3612157splitHere46","b"
"22splitHere46","3612157splitHere46","String"
"23splitHere46","3612157splitHere46","c"
"24splitHere46","3612157splitHere46","d"
"25splitHere46","3612157splitHere46","String"
"26splitHere46","3612416splitHere46","UniqueConstraint.name()"
"27splitHere46","3612416splitHere46","WebLogic"
"28splitHere46","3612416splitHere46","weblogic-application.xml"
"29splitHere46","3612416splitHere46","<prefer-application-packages><newline46mondego>  <package-name>javax.persistence.*</package-name><newline46mondego></prefer-application-packages><newline46mondego>"
"30splitHere46","3612501splitHere46","JTextArea.setText(String)"
"31splitHere46","3612501splitHere46","JTextArea.append(String)"
"32splitHere46","3612549splitHere46","String username = user.getName();<newline46mondego>SomeMethod1(a, b, username, c);<newline46mondego>SomeMethod2(b, username, c);<newline46mondego>SomeMethod3(username);<newline46mondego>"
