"1splitHere46","4540662splitHere46","-Djava.awt.headless=true"
"2splitHere46","4540664splitHere46","Date date = new Date(1293253200L*1000L);<newline46mondego>Sat Dec 25 06:00:00 CET 2010<newline46mondego>"
"3splitHere46","4540700splitHere46","Math.ceil()"
"4splitHere46","4540700splitHere46","a"
"5splitHere46","4540700splitHere46","int"
"6splitHere46","4540700splitHere46","a / 100"
"7splitHere46","4540700splitHere46","Math.ceil(a / 100.0)"
"8splitHere46","4540700splitHere46","int a = 142;<newline46mondego>System.out.println(a / 100);<newline46mondego>System.out.println(Math.ceil(a / 100));<newline46mondego>System.out.println(a / 100.0);<newline46mondego>System.out.println(Math.ceil(a / 100.0));<newline46mondego>System.out.println((int) Math.ceil(a / 100.0));<newline46mondego>"
"9splitHere46","4540700splitHere46","1<newline46mondego>1.0<newline46mondego>1.42<newline46mondego>2.0<newline46mondego>2<newline46mondego>"
"10splitHere46","4540762splitHere46","BeanDefinitionRegistryPostProcessor"
"11splitHere46","4540762splitHere46","BeanDefinitionRegistry"
"12splitHere46","4540762splitHere46","BeanFactoryPostProcessor"
"13splitHere46","4540762splitHere46","BeanFactory"
"14splitHere46","4540762splitHere46","BeanDefinitionRegistry"
"15splitHere46","4540853splitHere46","import"
"16splitHere46","4541062splitHere46","http://www.snee.com/xml/crud/posttest.html<newline46mondego>"
"17splitHere46","4541062splitHere46","http://www.snee.com/xml/crud/posttest.cgi"
"18splitHere46","4541062splitHere46","fname"
"19splitHere46","4541062splitHere46","lname"
"20splitHere46","4541062splitHere46","<html> <newline46mondego><title>POST test</title> <newline46mondego><body> <newline46mondego><newline46mondego><h1>posttest.html</h1> <newline46mondego><newline46mondego><form action=<doubleQuotes46>posttest.cgi<doubleQuotes46> method=<doubleQuotes46>post<doubleQuotes46>> <newline46mondego><p>This form invokes an existing script called posttest.cgi:</p> <newline46mondego><newline46mondego><p>first name <input type=<doubleQuotes46>text<doubleQuotes46> name=<doubleQuotes46>fname<doubleQuotes46> size=<doubleQuotes46>40<doubleQuotes46>/></p> <newline46mondego><p>last name <input type=<doubleQuotes46>text<doubleQuotes46> name=<doubleQuotes46>lname<doubleQuotes46> size=<doubleQuotes46>40<doubleQuotes46>/></p> <newline46mondego><newline46mondego><input type=<doubleQuotes46>submit<doubleQuotes46> value=<doubleQuotes46>  go  <doubleQuotes46> /> <newline46mondego><newline46mondego></form> <newline46mondego><newline46mondego></body></html><newline46mondego>"
"21splitHere46","4541062splitHere46","try{<newline46mondego>HttpClient client = new DefaultHttpClient();<newline46mondego>HttpPost request = new HttpPost(<newline46mondego><doubleQuotes46>http://www.snee.com/xml/crud/posttest.cgi<doubleQuotes46>);<newline46mondego><newline46mondego>List<NameValuePair> postParameters = new ArrayList<NameValuePair>();<newline46mondego><newline46mondego>postParameters.add(new BasicNameValuePair(<doubleQuotes46>fname<doubleQuotes46>, <doubleQuotes46>First name<doubleQuotes46>));<newline46mondego>postParameters.add(new BasicNameValuePair(<doubleQuotes46>lname<doubleQuotes46>, <doubleQuotes46>Last name<doubleQuotes46>));<newline46mondego><newline46mondego>UrlEncodedFormEntity formEntity = new UrlEncodedFormEntity(<newline46mondego>postParameters);<newline46mondego><newline46mondego>request.setEntity(formEntity);<newline46mondego><newline46mondego>HttpResponse response = client.execute(request);<newline46mondego><newline46mondego>in = new BufferedReader(new InputStreamReader(response.getEntity()<newline46mondego>.getContent()));<newline46mondego><newline46mondego>StringBuffer sb = new StringBuffer(<doubleQuotes46><doubleQuotes46>);<newline46mondego>String line = <doubleQuotes46><doubleQuotes46>;<newline46mondego>String NL = System.getProperty(<doubleQuotes46>line.separator<doubleQuotes46>);<newline46mondego>while ((line = in.readLine()) != null) {<newline46mondego>sb.append(line + NL);<newline46mondego>}<newline46mondego>in.close();}catch(Exception ex){}<newline46mondego>"
"22splitHere46","4541071splitHere46","JComboBox"
"23splitHere46","4541071splitHere46","getJBox()"
"24splitHere46","4541071splitHere46","Class A {<newline46mondego><newline46mondego>    private JComboBox jBox;<newline46mondego><newline46mondego>    public void intitialize() {<newline46mondego>        jBox = new JComboBox()<newline46mondego><newline46mondego>        formatBox.addItem(//some objects added here))<newline46mondego>        //I do the rest of my business in this intitialize method<newline46mondego><newline46mondego>    }<newline46mondego><newline46mondego>    public JComboBox() getJBox() {<newline46mondego>        return jBox;<newline46mondego>    }<newline46mondego><newline46mondego>}<newline46mondego>"
"25splitHere46","4541093splitHere46","table.repaint();<newline46mondego>"
"26splitHere46","4541239splitHere46","StartActivityForResult"
"27splitHere46","4541239splitHere46","Intent contactPickerIntent = new Intent(Intent.ACTION_PICK,  <newline46mondego>        Contacts.CONTENT_URI);  <newline46mondego>startActivityForResult(contactPickerIntent, CONTACT_PICKER_RESULT);<newline46mondego>"
"28splitHere46","4541330splitHere46","ExecutorService es = Executors.newCachedThreadPool();<newline46mondego>// pool is reusable<newline46mondego><newline46mondego>List<Callable<Void>> callables = new ArrayList<Callable<Void>>();<newline46mondego>for(int i=0;i<sth;i++) callables.add(new MyCallable(i));<newline46mondego>for(Future<Void> futures : es.invokeAll(callables))<newline46mondego>    futures.get();<newline46mondego>"
"29splitHere46","4541492splitHere46","row = texNo / 16;<newline46mondego>col = texNo % 16;<newline46mondego>"
"30splitHere46","4541492splitHere46","u0 = row / 16;<newline46mondego>u1 = (row + 1) / 16;<newline46mondego><newline46mondego>v0 = col / 16;<newline46mondego>v1 = (col + 1) / 16; <newline46mondego>"
"31splitHere46","4541624splitHere46","http://www.snee.com/xml/crud/posttest.cgi"
"32splitHere46","4541624splitHere46","DefaultHttpClient"
"33splitHere46","4541624splitHere46","DefaultHttpClient"
"34splitHere46","4541624splitHere46","client.getConnectionManager().shutdown()"
"35splitHere46","4541624splitHere46","tv.setText(line)"
"36splitHere46","4541624splitHere46","Log.d"
"37splitHere46","4541624splitHere46","readLine()"
"38splitHere46","4541742splitHere46","DateUtils"
"39splitHere46","4541742splitHere46","parseDate"
"40splitHere46","4541742splitHere46","SimpleDateFormat"
"41splitHere46","4541742splitHere46","DateFormat"
"42splitHere46","4541742splitHere46","Date"
"43splitHere46","4541742splitHere46","Calendar"
"44splitHere46","4541742splitHere46","DateTimeFormatter"
"45splitHere46","4541742splitHere46","DateTime"
"46splitHere46","4541742splitHere46","Date"
