"1splitHere46","6611642splitHere46","rename"
"2splitHere46","6611725splitHere46","<plugin><newline46mondego>    <groupId>org.codehaus.mojo</groupId><newline46mondego>    <artifactId>aspectj-maven-plugin</artifactId><newline46mondego>    <version>1.3.1</version><newline46mondego>    <executions><newline46mondego>        <execution><newline46mondego>            <goals><newline46mondego>                <goal>compile</goal><newline46mondego>                <!-- use this goal to weave all your main classes --><newline46mondego>                <goal>test-compile</goal><newline46mondego>                <!-- use this goal to weave all your test classes --><newline46mondego>            </goals><newline46mondego>        </execution><newline46mondego>    </executions><newline46mondego></plugin><newline46mondego>"
"3splitHere46","6611755splitHere46","DataOutputStream"
"4splitHere46","6611755splitHere46","DataInputStream"
"5splitHere46","6611840splitHere46","DomainBean"
"6splitHere46","6611840splitHere46","@MappedSuperclass"
"7splitHere46","6611847splitHere46","Handler<String>"
"8splitHere46","6611847splitHere46","handler.handle(new Object())"
"9splitHere46","6611847splitHere46","Handler<String>"
"10splitHere46","6611847splitHere46","private final Handler<? super T> handler;<newline46mondego>private final T info;<newline46mondego><newline46mondego>public Event(Handler<? super T> handler, T info) {<newline46mondego>    this.handler = handler;<newline46mondego>    this.info = info;<newline46mondego>}<newline46mondego>"
"11splitHere46","6611950splitHere46","java.util.Date"
"12splitHere46","6611950splitHere46","DateTime dateTime = new DateTime(date.getTime(), timeZone);<newline46mondego>LocalDate localDate = dateTime.ToLocalDate();<newline46mondego><newline46mondego>DateTime startOfDay = localDate.toDateTimeAtStartOfDay(timeZone);<newline46mondego>DateTime startOfNextDay = localDate.plusDays(1).toDateTimeAtStartOfDay(timeZone);<newline46mondego>"
"13splitHere46","6611950splitHere46","java.util.Date"
"14splitHere46","6612187splitHere46","loadOnStartup"
"15splitHere46","6612187splitHere46","init(..)"
"16splitHere46","6612187splitHere46","init(..)"
"17splitHere46","6612187splitHere46","destroy()"
"18splitHere46","6612235splitHere46","iterator.remove()"
"19splitHere46","6612235splitHere46","availableNumsInRows.get(row).remove(new Integer(num));"
"20splitHere46","6612377splitHere46","^\\*?[^*]+\\*?$<newline46mondego>"
"21splitHere46","6612391splitHere46","Location locat = new Location();<newline46mondego>List<Location> locations = ...;<newline46mondego>for (int j = 0; j < coordinate.length; j++) {<newline46mondego>    // ...<newline46mondego>    locat.setCoordinate(loc);<newline46mondego>    locations.add(locat);<newline46mondego>}<newline46mondego>"
"22splitHere46","6612391splitHere46","List<Location> locations = ...;<newline46mondego>for (int j = 0; j < coordinate.length; j++) {<newline46mondego>    // ...<newline46mondego>    Location locat = new Location();<newline46mondego>    locat.setCoordinate(loc);<newline46mondego>    locations.add(locat);<newline46mondego>}<newline46mondego>"
"23splitHere46","6612796splitHere46","fork=yes"
"24splitHere46","6612796splitHere46","file.encoding"
"25splitHere46","6612803splitHere46","startX"
"26splitHere46","6612803splitHere46","startY"
"27splitHere46","6612803splitHere46","endX"
"28splitHere46","6612803splitHere46","endY"
"29splitHere46","6612803splitHere46","Runnable"
"30splitHere46","6612803splitHere46","...<newline46mondego>private static final int STEPS = 40;<newline46mondego>private static final long INTERVAL = 500;//msec<newline46mondego>private static final long STEP_INTERVAL = INTERVAL / STEPS;<newline46mondego>...<newline46mondego>private int stepX, stepY;<newline46mondego>...<newline46mondego>public void computeMovement() {<newline46mondego> stepX = (endX - startX) / STEPS;<newline46mondego> stepY = (endY - startY) / STEPS;<newline46mondego>}<newline46mondego>...<newline46mondego>public void run() {<newline46mondego> int currX = startX;<newline46mondego> int currY = startY;<newline46mondego> computeMovement();<newline46mondego> for( int i = 0; i < STEPS; i++ ) {<newline46mondego>   currX += stepX;<newline46mondego>   currY += stepY;<newline46mondego>   //move image to (currX, currY)<newline46mondego>   TimeUnit.MILISECONDS.sleep( STEP_INTERVAL );<newline46mondego> }<newline46mondego>}<newline46mondego>"
