"1splitHere46","9873383splitHere46","final ClientBootstrap bs = new ClientBootstrap(...);<newline46mondego>final InetSocketAddress address = new InetSocketAddress(<doubleQuotes46>remoteip<doubleQuotes46>, 110);<newline46mondego>final int maxretries = 5;<newline46mondego>final AtomicInteger count = new AtomicInteger();<newline46mondego>bs.connect(address).addListener(new ChannelFutureListener() {<newline46mondego><newline46mondego>    public void operationComplete(ChannelFuture future) throws Exception {<newline46mondego>        if (!future.isSuccess()) {<newline46mondego>            if (count.incrementAndGet() > maxretries) {<newline46mondego>                // fails to connect even after maxretries do something<newline46mondego>            } else {<newline46mondego>                // retry<newline46mondego>                bs.connect(address).addListener(this);<newline46mondego>            }<newline46mondego>        }<newline46mondego>    }<newline46mondego>});<newline46mondego>"
"2splitHere46","9873395splitHere46","(\me?access_token=)"
"3splitHere46","9873395splitHere46","OAuthException"
"4splitHere46","9873395splitHere46","get userData with old access token <newline46mondego><newline46mondego>if exception is thrown => Redo authentication process<newline46mondego>else => continue with old token<newline46mondego>"
"5splitHere46","9873710splitHere46","test.split(<doubleQuotes46>\\(<doubleQuotes46>, 2);<newline46mondego>"
"6splitHere46","9873710splitHere46","String.split(String,int)"
"7splitHere46","9873710splitHere46","limit"
"8splitHere46","9873902splitHere46","ConnectTimeoutException"
"9splitHere46","9873902splitHere46","SocketTimeoutException"
"10splitHere46","9873902splitHere46","Future<T> future = null;<newline46mondego>future = pool.submit(new Callable<T>() {<newline46mondego>    public T call() {<newline46mondego>        return executeImpl(url);<newline46mondego>    }   <newline46mondego>}); <newline46mondego><newline46mondego>try {<newline46mondego>    return future.get(10000, TimeUnit.SECONDS);<newline46mondego>}   <newline46mondego>catch (InterruptedException e) {<newline46mondego>    log.warn(<doubleQuotes46>task interrupted<doubleQuotes46>, name);<newline46mondego>}   <newline46mondego>catch (ExecutionException e) {<newline46mondego>    log.error(name + <doubleQuotes46> execution exception<doubleQuotes46>, e); <newline46mondego>}   <newline46mondego>catch (TimeoutException e) {<newline46mondego>    log.debug(<doubleQuotes46>future timed out<doubleQuotes46>, name);<newline46mondego>}<newline46mondego>"
"11splitHere46","9873902splitHere46","params.setConnectionTimeout(10000);<newline46mondego>params.setSoTimeout(10000);<newline46mondego>"
