"1splitHere46","10578007splitHere46","java -help<newline46mondego>"
"2splitHere46","10578039splitHere46","-startup<newline46mondego>plugins/org.eclipse.equinox.launcher_1.0.100.v20080501.jar<newline46mondego>--launcher.library<newline46mondego>plugins/org.eclipse.equinox.launcher.gtk.linux.x86_64_1.0.100.v20080428-1330<newline46mondego>-showsplash<newline46mondego>org.eclipse.platform<newline46mondego>-vm<newline46mondego>/usr/lib/jvm/java-1.5.0-sun/jre/bin/java<newline46mondego>-vmargs<newline46mondego>-Xms512m<newline46mondego>-Xmx1024m<newline46mondego>-XX:+UseParallelGC<newline46mondego>-XX:PermSize=256M<newline46mondego>-XX:MaxPermSize=512M<newline46mondego>"
"3splitHere46","10578087splitHere46","A.M"
"4splitHere46","10578087splitHere46","A"
"5splitHere46","10578087splitHere46","B"
"6splitHere46","10578087splitHere46","A.M"
"7splitHere46","10578087splitHere46","A.M"
"8splitHere46","10578087splitHere46","this"
"9splitHere46","10578087splitHere46","A"
"10splitHere46","10578087splitHere46","object"
"11splitHere46","10578087splitHere46","XMethod(A)"
"12splitHere46","10578087splitHere46",".method public hidebysig newslot virtual instance void M(class X x) cil managed<newline46mondego>{<newline46mondego>    .maxstack 8<newline46mondego>    L_0000: ldarg.0 <newline46mondego>    L_0001: call instance class [mscorlib]System.Type [mscorlib]System.Object::GetType()<newline46mondego>    L_0006: call void [mscorlib]System.Console::WriteLine(object)<newline46mondego>    L_000b: ldarg.1 <newline46mondego>    L_000c: ldarg.0 <newline46mondego>    L_000d: callvirt instance void X::XMethod(class A)<newline46mondego>    L_0012: ret <newline46mondego>}<newline46mondego>"
"13splitHere46","10578087splitHere46","dynamic"
"14splitHere46","10578177splitHere46","The Java RMI system allows an object running in one Java Virtual Machine (VM) to invoke methods on an object running in another Java VM. RMI provides for remote communication between programs written in the Java programming language via the Java Remote Method Protocol (JRMP).<newline46mondego>"
"15splitHere46","10578477splitHere46","Rule Engine"
"16splitHere46","10578477splitHere46","Dynamic Language"
"17splitHere46","10578477splitHere46","Script Language"
"18splitHere46","10578477splitHere46","Script"
"19splitHere46","10578477splitHere46","Groovy"
"20splitHere46","10578477splitHere46","Spring Expression Language"
"21splitHere46","10578477splitHere46","Spring"
"22splitHere46","10578477splitHere46","BeanShell"
"23splitHere46","10578477splitHere46","JRuby"
"24splitHere46","10578477splitHere46","Script"
"25splitHere46","10578477splitHere46","BeanShell Script Language"
"26splitHere46","10578477splitHere46","test.bsh"
"27splitHere46","10578477splitHere46","if(variable_1 == 100 )<newline46mondego>{<newline46mondego>   System.out.println(<doubleQuotes46>Sample condition checked and is true.<doubleQuotes46>);<newline46mondego>}<newline46mondego>else<newline46mondego>{<newline46mondego>   System.out.println(<doubleQuotes46>Sample condition checked and is false.<doubleQuotes46>);<newline46mondego>}<newline46mondego>"
"28splitHere46","10578477splitHere46","variable_1"
"29splitHere46","10578477splitHere46","import bsh.*;<newline46mondego><newline46mondego>Interpreter bsh = new Interpreter ();<newline46mondego>bsh.set (<doubleQuotes46>variable_1<doubleQuotes46>, 100);<newline46mondego>"
"30splitHere46","10578477splitHere46","bsh.source (script);<newline46mondego>"
"31splitHere46","10578477splitHere46","Sample condition checked and is true.<newline46mondego>"
"32splitHere46","10578477splitHere46","test.bsh"
"33splitHere46","10578504splitHere46","for(int i = 0; i < myArray.length; i++)   <newline46mondego>{   <newline46mondego>    System.out.println(i + <doubleQuotes46> - <doubleQuotes46> + myArray[i]); <newline46mondego>    myArray[i] = myArray[i] * 2;<newline46mondego>    System.out.println(i + <doubleQuotes46> after multiplication - <doubleQuotes46> + myArray[i]); <newline46mondego>}<newline46mondego>"
"34splitHere46","10578504splitHere46","int i = 0;<newline46mondego>return myArray[i];<newline46mondego>"
"35splitHere46","10578519splitHere46","matches"
"36splitHere46","10578519splitHere46","Matcher"
"37splitHere46","10578519splitHere46","matches()"
"38splitHere46","10578519splitHere46","find()"
"39splitHere46","10578519splitHere46","find()"
"40splitHere46","10578519splitHere46","Pattern p = Pattern<newline46mondego>    .compile(<doubleQuotes46>\\(|\\)|\\\\[a-z]+<doubleQuotes46>);<newline46mondego>Matcher m = p.matcher(text);<newline46mondego>while(m.find()){<newline46mondego>    System.out.println(m.group(0));<newline46mondego>}<newline46mondego>"
"41splitHere46","10578519splitHere46","if (m.find()) {<newline46mondego>    System.out.println(m.group());<newline46mondego>} else {<newline46mondego>    System.out.println(<doubleQuotes46>not found<doubleQuotes46>);<newline46mondego>}<newline46mondego>"
"42splitHere46","10578676splitHere46","<td><newline46mondego>               <c:forEach items=<doubleQuotes46>${names}<doubleQuotes46> var=<doubleQuotes46>allnames<doubleQuotes46>>  <newline46mondego>                   <br/>                 <newline46mondego>                   <c:out value=<doubleQuotes46>${allnames} <doubleQuotes46> ></c:out>                           <newline46mondego>               </c:forEach><newline46mondego>            </td><newline46mondego><newline46mondego>      </tr><newline46mondego>"
"43splitHere46","10578841splitHere46","public void postData() {<newline46mondego>// Create a new HttpClient and Post Header<newline46mondego>HttpClient httpclient = new DefaultHttpClient();<newline46mondego>HttpPost httppost = new HttpPost(<doubleQuotes46>http://184.82.158.234/~store/rest/system/connect.json<doubleQuotes46>);<newline46mondego><newline46mondego>try {<newline46mondego>    // Add your data<newline46mondego>    List<NameValuePair> nameValuePairs = new ArrayList<NameValuePair>(2);<newline46mondego>    nameValuePairs.add(new BasicNameValuePair(<doubleQuotes46>id<doubleQuotes46>, <doubleQuotes46>12345<doubleQuotes46>));<newline46mondego>    httppost.setEntity(new UrlEncodedFormEntity(nameValuePairs));<newline46mondego><newline46mondego>    // Execute HTTP Post Request<newline46mondego>    HttpResponse response = httpclient.execute(httppost);<newline46mondego><newline46mondego>} catch (ClientProtocolException e) {<newline46mondego>    // TODO Auto-generated catch block<newline46mondego>} catch (IOException e) {<newline46mondego>    // TODO Auto-generated catch block<newline46mondego>}<newline46mondego>} <newline46mondego>"
"44splitHere46","10579113splitHere46","failonerror"
"45splitHere46","10579113splitHere46","resultproperty"
"46splitHere46","10579145splitHere46","JFileChooser .getFileFilter()"
"47splitHere46","10579192splitHere46","select * from Stops stops<newline46mondego>inner join Stop_Times stopTimes on stopTimes.stop_id = stops.stop_id<newline46mondego>where stops.stop_id = ? <newline46mondego>  and stops.agency_id = ? <newline46mondego>  and stops.location_type = 0 <newline46mondego>  and stopTimes.agency_id = ? <newline46mondego>  and stopTimes.route_type = ?<newline46mondego>order by stops.stop_name<newline46mondego>"
"48splitHere46","10579247splitHere46","int highest = Integer.MIN_VALUE;<newline46mondego>int lowest = Integer.MAX_VALUE;<newline46mondego>"
"49splitHere46","10579374splitHere46","run()"
"50splitHere46","10579390splitHere46","<html><newline46mondego><head><newline46mondego><title>ViewImage</title><newline46mondego><script type=<doubleQuotes46>text/javascript<doubleQuotes46> src=<doubleQuotes46>/jquery-1.4.2.min.js<doubleQuotes46>></script><newline46mondego><newline46mondego><script><newline46mondego>var img_num = 1;<newline46mondego>$(function(){<newline46mondego>window.setInterval(function(){<newline46mondego>    var img = $('#hiden-img');<newline46mondego>    if(img[0].complete==true)<newline46mondego>        $('#real-image').attr('src', img.attr('src'));<newline46mondego>    img_num++;<newline46mondego>    if(img_num>10000)img_num=1;<newline46mondego>    img.attr('src', '/img/'+img_num+'.jpg');<newline46mondego><newline46mondego>}, 500);<newline46mondego>});<newline46mondego></script><newline46mondego></head><newline46mondego><body><newline46mondego><img id=<doubleQuotes46>hiden-img<doubleQuotes46> style=<doubleQuotes46>display:none;<doubleQuotes46>/><newline46mondego><img id=<doubleQuotes46>real-image<doubleQuotes46> src=<doubleQuotes46>/img/1.jpg<doubleQuotes46>/><newline46mondego></body><newline46mondego></html><newline46mondego>"
"51splitHere46","10579765splitHere46","public static void test1() {<newline46mondego>    class Chk {<newline46mondego>        boolean c(int [] b, int val, int pos) {<newline46mondego>            if (pos >= b.length) {<newline46mondego>                return true;<newline46mondego>            }<newline46mondego>            if (b[pos] != val) {<newline46mondego>                return false;<newline46mondego>            }<newline46mondego>            return c(b, val, pos + 1);<newline46mondego>        }<newline46mondego>    }<newline46mondego>    Chk test = new Chk();<newline46mondego><newline46mondego>    System.out.println(test.c(new int [] {0xff, 0xff}, 0xff, 0));<newline46mondego><newline46mondego>    System.out.println(test.c(new int [] {0xff, 0xff, 0xff, 0xfe}, 0xff, 0));<newline46mondego><newline46mondego>    System.out.println(test.c(new int [] {0x01, 0x01, 0x01, 0x01}, 0xff, 0));<newline46mondego><newline46mondego>    System.out.println(test.c(new int [] {0x01, 0x01, 0x01, 0x01}, 0x01, 0));<newline46mondego>}<newline46mondego>"
"52splitHere46","10579782splitHere46","result = ((s1==null)?<doubleQuotes46><doubleQuotes46>:(s1+<doubleQuotes46>/<doubleQuotes46>))+((s2==null)?<doubleQuotes46><doubleQuotes46>:(s2+<doubleQuotes46>/<doubleQuotes46>))+((s3==null)?<doubleQuotes46><doubleQuotes46>:s3);<newline46mondego>"
"53splitHere46","10579861splitHere46","TableModel"
"54splitHere46","10579861splitHere46","DefaultTableModel"
"55splitHere46","10579861splitHere46","TableModel"
"56splitHere46","10579861splitHere46","HashMap"
"57splitHere46","10579861splitHere46","TableModel"
"58splitHere46","10579881splitHere46","proc_open"
"59splitHere46","10579881splitHere46","<?php<newline46mondego>    $desc = array(array('pipe','r'),array('pipe','w'));<newline46mondego>    $resource= proc_open('bash',$desc,$pipes);<newline46mondego>    if (!is_resource($resource))<newline46mondego>    {<newline46mondego>        throw new Exception('PDF stream creation failed');<newline46mondego>    }<newline46mondego>    usleep(5);//for safety<newline46mondego>    fwrite($pipes[0],'java mkPDF paras'.<doubleQuotes46>\n<doubleQuotes46>);//double quoted \n is crucial<newline46mondego>    fclose($pipes[0]);<newline46mondego>    usleep(100);//while java app is running;<newline46mondego>    $pdf = stream_get_contents($pipes[1]);<newline46mondego>    fclose($pipes[1]);<newline46mondego>    proc_close($resource);<newline46mondego>?><newline46mondego>"
"60splitHere46","10579881splitHere46","usleep(100);//while java app is running;<newline46mondego>$pdf = stream_get_contents($pipes[1]);<newline46mondego>"
"61splitHere46","10579881splitHere46","usleep(10);//while java app is running;<newline46mondego>$pdf = '';<newline46mondego>while (($pdfBuff = fgets($pipes[1],1024)) !== null)<newline46mondego>{<newline46mondego>    $pdf.=$pdfBuff;//or echo, or whatever<newline46mondego>}<newline46mondego>fclose($pipes[1]);<newline46mondego>"
"62splitHere46","10579884splitHere46","setValueAt()"
"63splitHere46","10579884splitHere46","public MyTableModel extends AbstractTableModel() {<newline46mondego>    // ...<newline46mondego><newline46mondego>    // modifies the value for the given cell<newline46mondego>    @Override<newline46mondego>    public void setValueAt(Object value, int row, int column) {<newline46mondego>        Foo foo = this.list.get(row);<newline46mondego>        if (column == INDEX_OF_ID_COLUMN) {<newline46mondego>            foo.setId(value); // change the ID<newline46mondego>            fireTableCellUpdated(row, column); // signal the the ID has changed<newline46mondego>            // and now also change the description<newline46mondego>            String newDescription = createNewDescription(value);<newline46mondego>            foo.setDescription(newDescription);<newline46mondego>            fireTableCellUpdated(row, INDEX_OF_DESCRIPTION_COLUMN); // signal the the description has changed  <newline46mondego>        }<newline46mondego>        // ...<newline46mondego>    }<newline46mondego>}<newline46mondego>"
"64splitHere46","10579950splitHere46","@Override<newline46mondego>public TipoCaratteristica find(Object id) {<newline46mondego>    TipoCaratteristica result = super.find(id);<newline46mondego>    Hibernate.initialize(result.getTraduzioni());<newline46mondego>    return result;<newline46mondego>}<newline46mondego>"
"65splitHere46","10579950splitHere46","em.find()"
"66splitHere46","10579950splitHere46","select distinct tc from TipoCaratteristica <newline46mondego>left join fetch tc.traduzioni<newline46mondego>where tc.id = :id<newline46mondego>"
"67splitHere46","10580100splitHere46","contains"
"68splitHere46","10580359splitHere46","rt.jar"
"69splitHere46","10580359splitHere46","lib"
"70splitHere46","10580359splitHere46","hashCode"
"71splitHere46","10580359splitHere46","getClass"
"72splitHere46","10580359splitHere46","vtbl"
"73splitHere46","10580444splitHere46","(Success|Loading\\.\\.\\.|Loaded"
"74splitHere46","10580444splitHere46","Process.exec(String)"
"75splitHere46","10580444splitHere46","exec()"
"76splitHere46","10580444splitHere46","ProcessBuilder"
"77splitHere46","10580471splitHere46","put"
"78splitHere46","10580471splitHere46","class NoDupBlockingQueue<T> extends LinkedBlockingQueue<T> {<newline46mondego>    @Override<newline46mondego>    public void put(T e) throws InterruptedException {<newline46mondego>        if (!contains(e))<newline46mondego>            super.put(e);<newline46mondego>    }<newline46mondego>}<newline46mondego>"
"79splitHere46","10580471splitHere46","Comparator"
"80splitHere46","10580471splitHere46","class NoDupBlockingQueue<T> extends LinkedBlockingQueue<T> {<newline46mondego><newline46mondego>    Comparator<T> comp;<newline46mondego><newline46mondego>    public NoDupBlockingQueue(Comparator<T> comp) {<newline46mondego>        this.comp = comp;<newline46mondego>    }<newline46mondego><newline46mondego>    @Override<newline46mondego>    public void put(T e) throws InterruptedException {<newline46mondego>        for (T e2 : this)<newline46mondego>            if (comp.compare(e, e2) == 0)<newline46mondego>                return;<newline46mondego>        super.put(e);<newline46mondego>    }<newline46mondego>}<newline46mondego>"
"81splitHere46","10580528splitHere46","PreparedStatement"
"82splitHere46","10580528splitHere46","PreparedStatement pstmt = connection.prepareStatement(<doubleQuotes46>select * from ... where time = ?<doubleQuotes46>);<newline46mondego>pstmt.setTimestamp(1, timestamp);<newline46mondego>ResultSet rs = pstmt.executeQuery;<newline46mondego>"
"83splitHere46","10580595splitHere46","byte[] getit = new byte[1000];<newline46mondego>int readed = pipedinputstream.read(getit);<newline46mondego>print(new String(getit, 0, readed));<newline46mondego>"
"84splitHere46","10580627splitHere46","/*<newline46mondego>  OrderService<newline46mondego> */<newline46mondego>public OrderService ()<newline46mondego>{<newline46mondego>     orderDAO = DAOFactory.getDAOFactory().getOrderDAO();<newline46mondego>}<newline46mondego><newline46mondego>public setItemService (ItemService service)<newline46mondego>{<newline46mondego>     itemService = service;<newline46mondego>}<newline46mondego><newline46mondego>/*<newline46mondego>  ItemService<newline46mondego> */<newline46mondego>public ItemService ()<newline46mondego>{<newline46mondego>     itemDAO = DAOFactory.getDAOFactory().getItemDAO();<newline46mondego>}<newline46mondego><newline46mondego>public setOrderService (OrderService service)<newline46mondego>{<newline46mondego>     orderService = service;<newline46mondego>}<newline46mondego><newline46mondego>/*<newline46mondego>   Bring it together in some other class<newline46mondego> */<newline46mondego>...<newline46mondego>// instantiate singletons<newline46mondego>orderService = new OrderService ();<newline46mondego>itemService = new ItemService ();<newline46mondego><newline46mondego>// inject dependencies<newline46mondego>orderService.setItemService (itemService);<newline46mondego>itemService.setOrderService (orderService);<newline46mondego>"
"85splitHere46","10580632splitHere46","public DerivedClass1 implements BaseClass{<newline46mondego>    public DerivedClass1() {<newline46mondego>        this.flag = Util.FLAG1;<newline46mondego>    }<newline46mondego>}<newline46mondego>"
"86splitHere46","10580632splitHere46","flag"
"87splitHere46","10580632splitHere46","FLAG"
"88splitHere46","10580703splitHere46","Matcher.appendReplacement"
"89splitHere46","10580703splitHere46","Matcher.appendTail"
