"1splitHere46","11286360splitHere46","if(arg0.getId() == R.id.buttonId)<newline46mondego>{<newline46mondego>//Code for this button<newline46mondego>}<newline46mondego>else if(arg0.getId() == R.id.buttonId2)<newline46mondego>{<newline46mondego>//Code for second button<newline46mondego>}<newline46mondego>"
"2splitHere46","11286494splitHere46","CursorLoader"
"3splitHere46","11286494splitHere46","AsyncTask"
"4splitHere46","11286744splitHere46","returningAttributes"
"5splitHere46","11286744splitHere46","SearchControl"
"6splitHere46","11286744splitHere46","new String[]{_roleNameAttribute}"
"7splitHere46","11286744splitHere46","getUserRolesByDn()"
"8splitHere46","11286744splitHere46","memberOf"
"9splitHere46","11286778splitHere46","<doubleQuotes46> <doubleQuotes46>"
"10splitHere46","11286778splitHere46","' '"
"11splitHere46","11286778splitHere46","char"
"12splitHere46","11286778splitHere46","char"
"13splitHere46","11286778splitHere46","char"
"14splitHere46","11286778splitHere46","' '"
"15splitHere46","11286849splitHere46","new Square(5,5);"
"16splitHere46","11286849splitHere46","new Square(5,5);"
"17splitHere46","11286849splitHere46","onSurfaceCreated"
