"1splitHere46","11994883splitHere46","ServletFilter"
"2splitHere46","11994906splitHere46","aList"
"3splitHere46","11994906splitHere46","aList.add(line.replaceAll(<doubleQuotes46>\t<doubleQuotes46>, <doubleQuotes46>    <doubleQuotes46>));<newline46mondego>"
"4splitHere46","11994910splitHere46","String myDateString = <doubleQuotes46>13:24:40<doubleQuotes46>;<newline46mondego>//SimpleDateFormat sdf = new SimpleDateFormat(<doubleQuotes46>hh:mm:ss<doubleQuotes46>);<newline46mondego>//the above commented line was changed to the one below, as per Grodriguez's pertinent comment:<newline46mondego>SimpleDateFormat sdf = new SimpleDateFormat(<doubleQuotes46>HH:mm:ss<doubleQuotes46>);<newline46mondego>Date date = sdf.parse(myDateString);<newline46mondego><newline46mondego>Calendar calendar = GregorianCalendar.getInstance(); // creates a new calendar instance<newline46mondego>calendar.setTime(date);   // assigns calendar to given date <newline46mondego>int hour = calendar.get(Calendar.HOUR);<newline46mondego>int minute; /... similar methods for minutes and seconds<newline46mondego>"
"5splitHere46","11994975splitHere46","char sqrt = '\u221a';<newline46mondego>"
"6splitHere46","11994975splitHere46","String s = <doubleQuotes46>The square root of 2 (\u221a2) is approximately 1.4142<doubleQuotes46>;<newline46mondego>"
"7splitHere46","11994975splitHere46","The square root of 2 (√2) is 1.4142<newline46mondego>"
"8splitHere46","11995134splitHere46","imageView.setImageMatrix(matrix);<newline46mondego>"
"9splitHere46","11995134splitHere46","Drawable drawable = getResources().getDrawables(R.drawable.android);<newline46mondego>Bitmap existingBitmap = ((BitmapDrawable) drawable).getBitmap();<newline46mondego>Bitmap rotated = Bitmap.createBitmap(existingBitmap, 0, 0, existingBitmap.getWidth(), existingBitmap.getHeight(), matrix, true);<newline46mondego>imageView.setImageBitmap(rotated);<newline46mondego>"
"10splitHere46","11995136splitHere46","decision-state"
"11splitHere46","11995136splitHere46","<decision-state id=<doubleQuotes46>myDecisionState<doubleQuotes46>><newline46mondego>    <if test=<doubleQuotes46>myBooleanFunction()<doubleQuotes46> then=<doubleQuotes46>resultIsTrueState<doubleQuotes46> else=<doubleQuotes46>resultIsFalseState<doubleQuotes46> /><newline46mondego></decision-state><newline46mondego>"
"12splitHere46","11995136splitHere46","action-state"
"13splitHere46","11995136splitHere46","<action-state id=<doubleQuotes46>myActionState<doubleQuotes46>><newline46mondego>    <evaluate expression=<doubleQuotes46>myBooleanFunction()<doubleQuotes46> /><newline46mondego>    <transition on=<doubleQuotes46>yes<doubleQuotes46> to=<doubleQuotes46>resultIsTrueState<doubleQuotes46> /><newline46mondego>    <transition on=<doubleQuotes46>no<doubleQuotes46> to=<doubleQuotes46>resultIsFalseState<doubleQuotes46> /><newline46mondego></action-state><newline46mondego>"
"14splitHere46","11995136splitHere46","action-state"
"15splitHere46","11995136splitHere46","String (string value)"
"16splitHere46","11995136splitHere46","Boolean (yes/no)"
"17splitHere46","11995136splitHere46","Enum (enum name)"
"18splitHere46","11995136splitHere46","success"
"19splitHere46","11995136splitHere46","decision-state"
"20splitHere46","11995136splitHere46","action-state"
"21splitHere46","11995136splitHere46","<action-state id=<doubleQuotes46>myActionState<doubleQuotes46>><newline46mondego>    <evaluate expression=<doubleQuotes46>myFunction()<doubleQuotes46> /><newline46mondego>    <transition on=<doubleQuotes46>success<doubleQuotes46> to=<doubleQuotes46>myNextState<doubleQuotes46> /><newline46mondego></action-state><newline46mondego>"
"22splitHere46","11995229splitHere46","MyTree current = this.getChildOne();<newline46mondego>current = new MyTree();<newline46mondego>"
"23splitHere46","11995229splitHere46","current"
"24splitHere46","11995229splitHere46","if ( i == i ) {<newline46mondego>   this.childOne = // assign it here<newline46mondego>}<newline46mondego>"
"25splitHere46","11995348splitHere46","-encoding"
"26splitHere46","11995348splitHere46","javac"
"27splitHere46","11995348splitHere46","-encoding"
"28splitHere46","11995348splitHere46","\u00a5123"
"29splitHere46","11995600splitHere46","facebook.authorize(...)"
"30splitHere46","11995600splitHere46","facebook"
"31splitHere46","11995600splitHere46","onCreate"
"32splitHere46","11995600splitHere46","Facebook facebook = new Facebook(<doubleQuotes46>YOUR_APP_ID<doubleQuotes46>);<newline46mondego>"
"33splitHere46","11995651splitHere46","JScrollPane"
"34splitHere46","11995651splitHere46","setLayout(null)"
"35splitHere46","11995651splitHere46","JPanel"
"36splitHere46","11995651splitHere46","setLayout(null)"
"37splitHere46","11995651splitHere46","JPanel"
"38splitHere46","11995651splitHere46","JScrollPane"
"39splitHere46","11995651splitHere46","JPanel"
"40splitHere46","11995651splitHere46","Scrollable"
"41splitHere46","11995651splitHere46","JScrollPane"
"42splitHere46","11995722splitHere46","String dateStr = <doubleQuotes46>16.Aug.2012 07:15:00<doubleQuotes46>;<newline46mondego>        Date datex = null;<newline46mondego>        DateFormat formatter = new SimpleDateFormat(<doubleQuotes46>dd.MMM.yyyy hh:mm:ss<doubleQuotes46>);<newline46mondego>        try {<newline46mondego>            datex = (Date) formatter.parse(dateStr);<newline46mondego>            System.out.println(datex);<newline46mondego>            //Log.w(<doubleQuotes46>TIME: <doubleQuotes46>, datex.toString());<newline46mondego>        } catch (ParseException e) {<newline46mondego>            // TODO Auto-generated catch block<newline46mondego>            e.printStackTrace();<newline46mondego>        }<newline46mondego>"
"43splitHere46","11995773splitHere46","long"
"44splitHere46","11995788splitHere46","h:"
"45splitHere46","11995788splitHere46","<h:xxx>"
"46splitHere46","11995788splitHere46","<html ... xmlns:h=<doubleQuotes46>http://java.sun.com/jsf/html<doubleQuotes46>><newline46mondego>"
