"1splitHere46","12709445splitHere46","Path file = ...<newline46mondego>BasicFileAttributes attrs = Files.readAttributes(file, BasicFileAttributes.class);<newline46mondego>FileTime time = attrs.lastModifiedTime();<newline46mondego>"
"2splitHere46","12709650splitHere46","Handler mHandler = new Handler();<newline46mondego>"
"3splitHere46","12709650splitHere46","mHandler.post(new Runnable() {<newline46mondego><newline46mondego>   gameActivity.spawnNewMoleAt(location);<newline46mondego><newline46mondego><newline46mondego> });<newline46mondego>"
"4splitHere46","12709746splitHere46","^[_A-Za-z0-9-]+(\\.[_A-Za-z0-9-]+)*@[A-Za-z0-9]+(\\.[A-Za-z0-9]+)*(\\.[A-Za-z]{2,})$"
"5splitHere46","12709766splitHere46","+-------- HashMap<String, String> map = new HashMap<String, String>();<newline46mondego>   |<newline46mondego>   |            for (int i = 0; i < dealList.size(); i++) {<newline46mondego>   +--------------->  <newline46mondego>                    map.put(DealItem.DEAL_ID, dealList.get(i).deal_id);<newline46mondego>                    map.put(DealItem.DEAL_NAME, dealList.get(i).deal_name);<newline46mondego>                    System.out.println(<doubleQuotes46>DEAL NAME = <doubleQuotes46>+dealList.get(i).deal_name);<newline46mondego>                    placesListItems.add(map);<newline46mondego><newline46mondego>                }<newline46mondego>"
"6splitHere46","12709906splitHere46","foo()"
"7splitHere46","12709906splitHere46","super.foo()"
"8splitHere46","12709928splitHere46","SocketTimeoutException"
"9splitHere46","12710098splitHere46","HTTPRequest<List<String>><newline46mondego>"
"10splitHere46","12710098splitHere46","T <=> List<String> <newline46mondego>"
"11splitHere46","12710098splitHere46","//Class HTTPRequest<newline46mondego>    public class HTTPRequest<List<String>> {<newline46mondego><newline46mondego>    private LinkedHashMap<List<List<String>>, Double> tableOfInitProbList = new LinkedHashMap<List<List<String>>, Double>();<newline46mondego><newline46mondego>    public HTTPRequest(){<newline46mondego>        }<newline46mondego><newline46mondego>    public HTTPRequest(List<List<String>> entry, Double value){<newline46mondego>            tableOfInitProbList.put(entry, value);<newline46mondego>        }<newline46mondego><newline46mondego>    public void putListHTTPCharTable(List<List<String>> uri, Double value){<newline46mondego>            tableOfInitProbList.put(uri, value);<newline46mondego>        }<newline46mondego><newline46mondego>    }<newline46mondego>"
"12splitHere46","12710109splitHere46","Create = PUT with a new URI<newline46mondego>         POST to a base URI returning a newly created URI  <newline46mondego>Read   = GET  <newline46mondego>Update = PUT with an existing URI  <newline46mondego>Delete = DELETE<newline46mondego>"
"13splitHere46","12710109splitHere46","http://serverName/PersonServices/Person/123456"
"14splitHere46","12710109splitHere46","http://serverName/PersonServices/RevokePerson/123456"
"15splitHere46","12710142splitHere46","public MyBaseClass extends BaseClass { <newline46mondego>    @Override<newline46mondego>    protected void protectedMethod(OtherObject object) {<newline46mondego>        super.protectedMethod(object);<newline46mondego>    }<newline46mondego> }<newline46mondego><newline46mondego> public Child1 extends MyBaseClass { ... }<newline46mondego> public Child2 extends MyBaseClass { ... }<newline46mondego>"
"16splitHere46","12710142splitHere46","NyBaseClass[] objects = {<newline46mondego>    new Child1(),<newline46mondego>    new Child2()<newline46mondego> }<newline46mondego><newline46mondego> for (MyBaseClass object : objects) {<newline46mondego>    object.protectedMethod(other); <newline46mondego> }   <newline46mondego>"
"17splitHere46","12710310splitHere46","RequestContext"
"18splitHere46","12710310splitHere46","RequestContext"
"19splitHere46","12710310splitHere46","edit()"
"20splitHere46","12710310splitHere46","fire()"
"21splitHere46","12710310splitHere46","edit()"
"22splitHere46","12710530splitHere46","/register?name=myname&phone=mynumber"
"23splitHere46","12710530splitHere46","@ModelAttribute"
"24splitHere46","12710530splitHere46","@ModelAttribute"
"25splitHere46","12710746splitHere46","MultiMap"
"26splitHere46","12710746splitHere46","Map<Integer, String> map = new HashMap<Integer, String>();<newline46mondego>map.put(1, <doubleQuotes46>x<doubleQuotes46>);<newline46mondego>map.put(2, <doubleQuotes46>y<doubleQuotes46>);<newline46mondego>map.put(2, <doubleQuotes46>z<doubleQuotes46>);<newline46mondego>map.put(3, <doubleQuotes46>x<doubleQuotes46>);<newline46mondego>map.put(4, <doubleQuotes46>y<doubleQuotes46>);<newline46mondego>map.put(5, <doubleQuotes46>z<doubleQuotes46>);<newline46mondego>map.put(6, <doubleQuotes46>x<doubleQuotes46>);<newline46mondego>map.put(7, <doubleQuotes46>y<doubleQuotes46>);<newline46mondego><newline46mondego>System.out.println(<doubleQuotes46>Original map: <doubleQuotes46> + map);<newline46mondego><newline46mondego>Multimap<String, Integer> multiMap = HashMultimap.create();<newline46mondego>for (Entry<Integer, String> entry : map.entrySet()) {<newline46mondego>  multiMap.put(entry.getValue(), entry.getKey());<newline46mondego>}<newline46mondego>System.out.println();<newline46mondego><newline46mondego>for (Entry<String, Collection<Integer>> entry : multiMap.asMap().entrySet()) {<newline46mondego>  System.out.println(<doubleQuotes46>Original value: <doubleQuotes46> + entry.getKey() + <doubleQuotes46> was mapped to keys: <doubleQuotes46><newline46mondego>      + entry.getValue());<newline46mondego>}<newline46mondego>"
"27splitHere46","12710746splitHere46","Original map: {1=x, 2=z, 3=x, 4=y, 5=z, 6=x, 7=y}<newline46mondego><newline46mondego>Original value: z was mapped to keys: [2, 5]<newline46mondego>Original value: y was mapped to keys: [4, 7]<newline46mondego>Original value: x was mapped to keys: [1, 3, 6]<newline46mondego>"
"28splitHere46","12710746splitHere46","forMap"
"29splitHere46","12710746splitHere46","invertFrom"
"30splitHere46","12710746splitHere46","HashMultimap<String, Integer> multiMap =<newline46mondego>    Multimaps.invertFrom(Multimaps.forMap(map), <newline46mondego>        HashMultimap.<String, Integer> create());<newline46mondego>"
"31splitHere46","12710746splitHere46","Multimap<String, Integer> multiMap = HashMultimap.create();<newline46mondego>for (Entry<Integer, String> entry : map.entrySet()) {<newline46mondego>  multiMap.put(entry.getValue(), entry.getKey());<newline46mondego>}<newline46mondego>"
"32splitHere46","12711007splitHere46","-Xmx1600m"
"33splitHere46","12711186splitHere46","initializeJNIVars()"
"34splitHere46","12711186splitHere46","GetMethodID(...)"
"35splitHere46","12711186splitHere46","OuterClassName.this"
"36splitHere46","12711217splitHere46","client = new HttpClient(new SimpleHttpConnectionManager()); <newline46mondego>"
"37splitHere46","12711403splitHere46","public class MainActivity extends Activity {<newline46mondego><newline46mondego>Ponto2D patual = new Ponto2D(); <---- here<newline46mondego>//...<newline46mondego>}<newline46mondego>"
"38splitHere46","12711403splitHere46","public Ponto2D()<newline46mondego>{<newline46mondego>   x = -1;<newline46mondego>   y = -1;<newline46mondego>}<newline46mondego><newline46mondego>public Ponto2D(int x, int y)<newline46mondego>{<newline46mondego>   this();<newline46mondego>   this.x = x;<newline46mondego>   this.y = y;<newline46mondego>}<newline46mondego>"
"39splitHere46","12711403splitHere46","public float X=0;<newline46mondego>   public float Y=0;<newline46mondego>"
