"1splitHere46","15840399splitHere46","String ms[] = msgTime.split(<doubleQuotes46>\\.<doubleQuotes46>);"
"2splitHere46","15840445splitHere46","jcommon-1.0.14.jar"
"3splitHere46","15840484splitHere46","<build><newline46mondego>    <plugins><newline46mondego>      <plugin><newline46mondego>         <artifactId>maven-jar-plugin</artifactId><newline46mondego>         <configuration><newline46mondego>           <archive><newline46mondego>             <manifest><newline46mondego>               <addClasspath>true</addClasspath><newline46mondego>               <classpathPrefix>lib/</classpathPrefix><newline46mondego>               <mainClass>com.something.YourMainClass</mainClass><newline46mondego>             </manifest><newline46mondego>           </archive><newline46mondego>         </configuration><newline46mondego>      </plugin><newline46mondego>    </plugins><newline46mondego>  </build><newline46mondego>"
"4splitHere46","15840484splitHere46","<plugin><newline46mondego>        <groupId>org.apache.maven.plugins</groupId><newline46mondego>        <artifactId>maven-dependency-plugin</artifactId><newline46mondego>        <version>2.1</version><newline46mondego>        <executions><newline46mondego>          <execution><newline46mondego>            <id>copy-dependencies</id><newline46mondego>            <phase>package</phase><newline46mondego>            <goals><newline46mondego>              <goal>copy-dependencies</goal><newline46mondego>            </goals><newline46mondego>            <configuration><newline46mondego>              <outputDirectory>${project.build.directory}/lib</outputDirectory><newline46mondego>              <overWriteReleases>false</overWriteReleases><newline46mondego>              <overWriteSnapshots>false</overWriteSnapshots><newline46mondego>              <overWriteIfNewer>true</overWriteIfNewer><newline46mondego>            </configuration><newline46mondego>          </execution><newline46mondego>        </executions><newline46mondego>      </plugin><newline46mondego>"
"5splitHere46","15840609splitHere46","<a href=<doubleQuotes46><c:url value=<doubleQuotes46>/servletpath<doubleQuotes46>><c:param name=<doubleQuotes46>id<doubleQuotes46> value=<doubleQuotes46>${festival.id}<doubleQuotes46>/></c:url><doubleQuotes46>>View Your Festivals</a><newline46mondego>"
"6splitHere46","15840619splitHere46","else"
"7splitHere46","15840619splitHere46","if"
"8splitHere46","15840619splitHere46","else"
"9splitHere46","15840619splitHere46","AppleFragment"
"10splitHere46","15840619splitHere46","BerryFragment"
"11splitHere46","15840619splitHere46","if(tabId.equalsIgnoreCase(<doubleQuotes46>android<doubleQuotes46>)){<newline46mondego><newline46mondego>  ...<newline46mondego>}else{  <newline46mondego><newline46mondego>    ...<newline46mondego><newline46mondego>}else{  <newline46mondego><newline46mondego>    ...<newline46mondego><newline46mondego>}<newline46mondego>"
"12splitHere46","15840619splitHere46","} else if {<newline46mondego>"
"13splitHere46","15840619splitHere46","else if"
"14splitHere46","15840619splitHere46","} else if (/*another boolean condition here for AppleFragment*/) {<newline46mondego>"
"15splitHere46","15840694splitHere46","enum Example {<newline46mondego>    Cat, Dog, Fish, Goat<newline46mondego>}<newline46mondego>"
"16splitHere46","15840694splitHere46","Cat.ordinal()"
"17splitHere46","15840694splitHere46","Dog.ordinal()"
"18splitHere46","15840694splitHere46","Fish.ordinal()"
"19splitHere46","15840713splitHere46","File file = new File(location + filename);<newline46mondego>"
"20splitHere46","15840713splitHere46","String location = <doubleQuotes46>C:/opt/files/<doubleQuotes46>;<newline46mondego>String filename = <doubleQuotes46>abc.txt<doubleQuotes46>;<newline46mondego><newline46mondego>File file = new File(location + filename);<newline46mondego>"
"21splitHere46","15840713splitHere46","String location = <doubleQuotes46>/opt/files/<doubleQuotes46>;<newline46mondego>"
"22splitHere46","15840895splitHere46","ImageIcon icon = new ImageIcon(<doubleQuotes46>images/middle.gif<doubleQuotes46>,<doubleQuotes46>this is a caption<doubleQuotes46>);<newline46mondego>"
"23splitHere46","15841136splitHere46","MouseAdapter"
"24splitHere46","15841136splitHere46","btnExit.addMouseListener(new MouseAdapter() {<newline46mondego><newline46mondego>    @Override public void mousePressed(MouseEvent arg0) {System.exit(0);}<newline46mondego><newline46mondego>});<newline46mondego>"
"25splitHere46","15841147splitHere46","for (JLabel label : labelsP1) {<newline46mondego>        pieces.add(label);<newline46mondego>    }<newline46mondego>"
"26splitHere46","15841147splitHere46","for(int i = 0 ; i < labelsP1.length ; i++)<newline46mondego>{<newline46mondego>    labelsP1[i] = new JLabel(B1); <newline46mondego>    for(int j = 0 ; j < labelsP2.length ; j++)<newline46mondego>    {<newline46mondego>        labelsP2[j] = new JLabel(B2); <newline46mondego>    }<newline46mondego>    for (JLabel label : labelsP1)   // null only labelsP1[0] is initialized<newline46mondego>    {<newline46mondego>        pieces.add(label);        <newline46mondego>    }<newline46mondego><newline46mondego>    Container c = b.getContentPane();<newline46mondego>    c.setLayout(new GridLayout(13,3)); <newline46mondego>    c.add(pieces);<newline46mondego>}<newline46mondego>"
"27splitHere46","15841258splitHere46","Caused by: java.lang.ClassCastException: com.rb.hellojson.EstablishmentGoogleMapFragment cannot be cast to android.app.Activity"
"28splitHere46","15841258splitHere46","mMap = getMap();"
"29splitHere46","15841283splitHere46","p.c[targs, t , targs ] forSome { type t >: L <: U }"
"30splitHere46","15841283splitHere46","p.c[targs, t forSome { type t >: L <: U } , targs ]"
"31splitHere46","15841283splitHere46","Class"
"32splitHere46","15841283splitHere46","Class[_ >: scala.Nothing <: String]"
"33splitHere46","15841283splitHere46","Class[t] forSome { type t  >: scala.Nothing <: String}"
"34splitHere46","15841283splitHere46","Class[t forSome { type t >: scala.Nothing <: String }]"
"35splitHere46","15841283splitHere46","val c: Class[t] forSome { type t >: scala.Nothing <: String } = <doubleQuotes46>foo<doubleQuotes46>.getClass<newline46mondego>"
"36splitHere46","15841322splitHere46","Thread.run()"
"37splitHere46","15841322splitHere46","Thread.start()"
"38splitHere46","15841322splitHere46","Thread.run"
"39splitHere46","15841322splitHere46","Thread.start()"
"40splitHere46","15841386splitHere46","CardLayout cl = (CardLayout) cards.getLayout();<newline46mondego>cl.show(cards, <doubleQuotes46>SIM<doubleQuotes46>);<newline46mondego>"
"41splitHere46","15841649splitHere46","OnResume"
"42splitHere46","15841649splitHere46","OnCreate"
"43splitHere46","15841649splitHere46","OnResume"
"44splitHere46","15841649splitHere46","msg()"
"45splitHere46","15841649splitHere46","onWindowFocusChanged"
"46splitHere46","15841686splitHere46","run"
"47splitHere46","15841686splitHere46",".start()"
"48splitHere46","15841686splitHere46","final Runnable myRunnable = new Runnable() {<newline46mondego>    public boolean running = true;<newline46mondego>    public void run() {<newline46mondego>        while(running){<newline46mondego>            doSomething();<newline46mondego>        }<newline46mondego>    }<newline46mondego>};<newline46mondego>"
"49splitHere46","15841686splitHere46","updateGame()"
"50splitHere46","15841686splitHere46","run()"
"51splitHere46","15841686splitHere46","while(running){...}"
"52splitHere46","15841686splitHere46","final Runnable updateRunnable = new Runnable() {<newline46mondego>    public void run() {<newline46mondego>        //call the activity method that updates the UI<newline46mondego>        updateGame();<newline46mondego>    }<newline46mondego>};<newline46mondego>"
"53splitHere46","15841686splitHere46","new Thread(new Runnable() { onServer( ); } ).start( );<newline46mondego>"
"54splitHere46","15841686splitHere46","Runnable server = new Runnable() {<newline46mondego>    public boolean running = true;<newline46mondego>    public void run() {<newline46mondego>        while(running){<newline46mondego>            onServer();  // Make sure this blocks in some way<newline46mondego>        }<newline46mondego>    }<newline46mondego>}<newline46mondego>new Thread(server).start();<newline46mondego>"
"55splitHere46","15841817splitHere46","class"
"56splitHere46","15841817splitHere46","Java"
"57splitHere46","15841817splitHere46","Activity"
"58splitHere46","15841817splitHere46","Activity"
"59splitHere46","15841817splitHere46","Intents"
"60splitHere46","15841817splitHere46","Activity"
"61splitHere46","15841817splitHere46","class"
"62splitHere46","15841817splitHere46","class"
"63splitHere46","15841817splitHere46","class"
