"1splitHere46","16802813splitHere46","JDialog dialog = new JDialog(parentFrame, true); // owner, modal<newline46mondego>"
"2splitHere46","16802867splitHere46","subList"
"3splitHere46","16802867splitHere46","int i = 0;<newline46mondego>for (myObj o1 : myObjList) {<newline46mondego>    for (myObj o2 : myObjList.subList(i, myObjList.size())) {<newline46mondego>        // do something<newline46mondego>    }<newline46mondego>    i++;<newline46mondego>}<newline46mondego>"
"4splitHere46","16802867splitHere46","for"
"5splitHere46","16802867splitHere46","List<E>"
"6splitHere46","16802867splitHere46","subList"
"7splitHere46","16802867splitHere46","List<E>"
"8splitHere46","16802875splitHere46","import java.io.*;<newline46mondego>import java.util.Scanner;<newline46mondego><newline46mondego>public class ScanXan {<newline46mondego>public static void main(String[] args) throws IOException {<newline46mondego><newline46mondego>    Scanner s = null;<newline46mondego><newline46mondego>    try {<newline46mondego>        s = new Scanner(new BufferedReader(new FileReader(<doubleQuotes46>xanadu.txt<doubleQuotes46>)));<newline46mondego><newline46mondego>        while (s.hasNext()) {<newline46mondego>            System.out.println(s.next());<newline46mondego>        }<newline46mondego>    } finally {<newline46mondego>        if (s != null) {<newline46mondego>            s.close();<newline46mondego>        }<newline46mondego>    }<newline46mondego>}<newline46mondego>}<newline46mondego>"
"9splitHere46","16802886splitHere46","KeyListener"
"10splitHere46","16802893splitHere46","ArrayAdapter<CharSequence> adapter = ArrayAdapter.createFromResource(this, R.array.units, android.R.layout.simple_spinner_item);<newline46mondego>"
"11splitHere46","16802893splitHere46","this"
"12splitHere46","16802893splitHere46","this"
"13splitHere46","16802935splitHere46","@InitBinder<newline46mondego>public void registerDateBinder(WebDataBinder binder) {<newline46mondego>  DateFormat dateFormat = new SimpleDateFormat(<doubleQuotes46>dd/MM/yyyy<doubleQuotes46>);<newline46mondego>  binder.registerCustomEditor(Date.class, new CustomDateEditor(dateFormat, true));<newline46mondego>}<newline46mondego>"
"14splitHere46","16803230splitHere46","@Path(<doubleQuotes46>/{year:\\d{4}}/{month:\\d{2}}{noop0:%20-%20\\w+}/{day:\\d{2}}{noop1:%20-%20\\w+}/{id:\\w{11}}<doubleQuotes46>)<newline46mondego>"
"15splitHere46","16803230splitHere46","{ }"
"16splitHere46","16803230splitHere46","noop0"
"17splitHere46","16803230splitHere46","noop1"
"18splitHere46","16803230splitHere46","no operation"
"19splitHere46","16803236splitHere46","X"
"20splitHere46","16803236splitHere46","Y"
"21splitHere46","16803236splitHere46","int"
"22splitHere46","16803236splitHere46","float"
"23splitHere46","16803236splitHere46","Z"
"24splitHere46","16803236splitHere46","Math.round"
"25splitHere46","16803236splitHere46","X"
"26splitHere46","16803236splitHere46","float"
"27splitHere46","16803236splitHere46","float Z =((float) X + Y)/6;<newline46mondego>"
"28splitHere46","16803236splitHere46","Math.round"
"29splitHere46","16803236splitHere46","float"
"30splitHere46","16803236splitHere46","6"
"31splitHere46","16803236splitHere46","X"
"32splitHere46","16803236splitHere46","Y"
"33splitHere46","16803236splitHere46","float"
"34splitHere46","16803236splitHere46","float Z = (X + Y)/6.0f;<newline46mondego>"
"35splitHere46","16803236splitHere46","6.0"
"36splitHere46","16803236splitHere46","double"
"37splitHere46","16803236splitHere46","double"
"38splitHere46","16803236splitHere46","float"
"39splitHere46","16803382splitHere46","-> done (process FIRST done)<newline46mondego>  -> 0/before<newline46mondego>    -> modal dialog event loop (process NEXT done)<newline46mondego>      -> 1/before<newline46mondego>        -> modal dialog event loop (TOP DIALOG)<newline46mondego>        <- OK PRESSED<newline46mondego>      <- 1/after<newline46mondego>    <- OK PRESSED<newline46mondego>  <- 0/after <newline46mondego><- back to normal EDT event loop<newline46mondego>"
"40splitHere46","16803401splitHere46","server.xml"
"41splitHere46","16803401splitHere46","context.xml"
"42splitHere46","16803401splitHere46","connectionSource"
"43splitHere46","16803401splitHere46","<connectionSource class=<doubleQuotes46>ch.qos.logback.core.db.DriverManagerConnectionSource<doubleQuotes46>><newline46mondego>  <driverClass>com.mysql.jdbc.Driver</driverClass><newline46mondego>  <url>jdbc:mysql://host_name:3306/datebase_name</url><newline46mondego>  <user>username</user><newline46mondego>  <password>password</password><newline46mondego></connectionSource><newline46mondego>"
"44splitHere46","16803467splitHere46","if (!AABB.checkCollisionCB(world, position[0] += velocity[0], ...<newline46mondego>"
"45splitHere46","16803467splitHere46","position[0] += velocity[0]"
"46splitHere46","16803467splitHere46","if"
"47splitHere46","16803467splitHere46","true"
"48splitHere46","16803533splitHere46","View"
"49splitHere46","16803533splitHere46","ViewGroup"
"50splitHere46","16803533splitHere46","addView(view, position)"
"51splitHere46","16803533splitHere46","main_interface"
"52splitHere46","16803533splitHere46","View"
"53splitHere46","16803533splitHere46","main_layout.addView(bar, 0)"
"54splitHere46","16803533splitHere46","FrameLayout"
"55splitHere46","16803533splitHere46","main_layout"
"56splitHere46","16803533splitHere46","main_interface"
"57splitHere46","16803533splitHere46","match_parent"
"58splitHere46","16803533splitHere46","main_layout"
"59splitHere46","16803533splitHere46","LinearLayout"
"60splitHere46","16803533splitHere46","android:orientation=<doubleQuotes46>vertical<doubleQuotes46>"
"61splitHere46","16803533splitHere46","View"
"62splitHere46","16803537splitHere46","roomView = new RoomView(newropc,<doubleQuotes46>Default<doubleQuotes46>);<newline46mondego>"
"63splitHere46","16803537splitHere46","public RoomView(RoomPController newRpc, String newRoomName) {<newline46mondego>    setPreferredSize(new Dimension(600,350));<newline46mondego>    rpc = newRpc;<newline46mondego>    w = 0;<newline46mondego>    h = 0;<newline46mondego>    qFactor = 1;<newline46mondego>    v = new Vector();<newline46mondego>    roomName = newRoomName;<newline46mondego>    getPreferredSize();<newline46mondego>}<newline46mondego>"
"64splitHere46","16803537splitHere46","DrawingPaneVector"
"65splitHere46","16803537splitHere46","RoomView"
"66splitHere46","16803537splitHere46","paint"
"67splitHere46","16803537splitHere46","super.paint"
"68splitHere46","16803537splitHere46","paintComponent"
"69splitHere46","16803537splitHere46","super.paintComponent"
"70splitHere46","16803537splitHere46","paintComponent"
"71splitHere46","16803537splitHere46","@Override<newline46mondego>protected void paintComponent(Graphics g) {<newline46mondego>    super.paintComponent(g);<newline46mondego>    Drawable dib;<newline46mondego>    Iterator it;<newline46mondego>    it = v.iterator();<newline46mondego>    while (it.hasNext()) {<newline46mondego>        dib = (Drawable) it.next();<newline46mondego>        dib.draw(g);<newline46mondego>    }<newline46mondego>}<newline46mondego>"
"72splitHere46","16803537splitHere46","setPreferredSize"
"73splitHere46","16803537splitHere46","getPreferredSize"
"74splitHere46","16803537splitHere46","Vector"
"75splitHere46","16803537splitHere46","List"
"76splitHere46","16803537splitHere46","ArrayList"
"77splitHere46","16803537splitHere46","Vector"
"78splitHere46","16803537splitHere46","synchronized"
"79splitHere46","16803537splitHere46","DrawingPanelVector"
"80splitHere46","16803537splitHere46","List"
"81splitHere46","16803537splitHere46","public class DrawingPanelVector extends JPanel {<newline46mondego><newline46mondego>    private List<Drawable> drawables;<newline46mondego><newline46mondego>    public DrawingPanelVector() {<newline46mondego>        drawables = new ArrayList<>(25);<newline46mondego>    }<newline46mondego><newline46mondego>    public void add(Drawable drawable) {<newline46mondego>        drawables.add(drawable);<newline46mondego>        repaint();<newline46mondego>    }<newline46mondego><newline46mondego>    @Override<newline46mondego>    public Dimension getPreferredSize() {<newline46mondego>        return new Dimension(600, 350);<newline46mondego>    }<newline46mondego><newline46mondego>    // redefiniciÃ³n del mÃ©todo paint()<newline46mondego>    @Override<newline46mondego>    protected void paintComponent(Graphics g) {<newline46mondego>        super.paintComponent(g);<newline46mondego>        for (Drawable drawable : drawables) {<newline46mondego>            drawable.draw(g);<newline46mondego>        }<newline46mondego>    }<newline46mondego>}<newline46mondego>"
"82splitHere46","16803568splitHere46","select * from user_events where<newline46mondego>  (day = ? and month = ? and repeat = 'year')<newline46mondego>or<newline46mondego>  (day = ? and repeat = 'month')<newline46mondego>"
"83splitHere46","16803574splitHere46","Button"
"84splitHere46","16803574splitHere46","Button"
"85splitHere46","16803574splitHere46","CountDownTimers"
"86splitHere46","16803574splitHere46","Button"
"87splitHere46","16803689splitHere46","votePanel = new ResultsView(aState);<newline46mondego>"
"88splitHere46","16803689splitHere46","panel.remove(exisiting ResultsView panel);<newline46mondego>panel.add( new ResultsView panel );<newline46mondego>panel.revalidate();<newline46mondego>panel.repaint();<newline46mondego>"
"89splitHere46","16803740splitHere46","<ul id=<doubleQuotes46>yourlist<doubleQuotes46>><newline46mondego><li>list item</li> ... etc<newline46mondego>"
"90splitHere46","16803740splitHere46","$(<doubleQuotes46>#yourlist li<doubleQuotes46>).slice(20).hide();<newline46mondego>"
"91splitHere46","16803740splitHere46","var mincount = 20;<newline46mondego>var maxcount = 40;<newline46mondego><newline46mondego><newline46mondego>$(window).scroll(function() <newline46mondego>                    {<newline46mondego>                    if($(window).scrollTop() + $(window).height() >= $(document).height() - 400) {<newline46mondego>                            $(<doubleQuotes46>#yourlist li<doubleQuotes46>).slice(mincount,maxcount).fadeIn(1200);<newline46mondego><newline46mondego>mincount = mincount+20;<newline46mondego>maxcount = maxcount+20;<newline46mondego><newline46mondego>}<newline46mondego>});<newline46mondego>"
"92splitHere46","16803943splitHere46","JButton"
"93splitHere46","16803943splitHere46","JPanel"
"94splitHere46","16803943splitHere46","KeyListener"
"95splitHere46","16803943splitHere46","KeyListener"
"96splitHere46","16803943splitHere46","KeyListener"
"97splitHere46","16803943splitHere46","JLabel"
"98splitHere46","16803943splitHere46","JButton"
"99splitHere46","16803943splitHere46","MouseListener"
"100splitHere46","16804109splitHere46","A<B<C>> i;"
"101splitHere46","16804109splitHere46","A, <, B, <, C, >>, i, ;"
"102splitHere46","16804109splitHere46",">"
"103splitHere46","16804109splitHere46",">"
"104splitHere46","16804109splitHere46",">>"
"105splitHere46","16804109splitHere46",">>>"
"106splitHere46","16804109splitHere46",">="
"107splitHere46","16804109splitHere46",">>="
"108splitHere46","16804109splitHere46",">>>="
"109splitHere46","16804109splitHere46",">"
"110splitHere46","16804109splitHere46",">>, i, ;"
"111splitHere46","16804109splitHere46",">, i, ;"
"112splitHere46","16804109splitHere46",">"
"113splitHere46","16804109splitHere46",">>"
"114splitHere46","16804195splitHere46","HttpServletRequestWrapper"
"115splitHere46","16804701splitHere46","paintComponent(...)"
"116splitHere46","16804701splitHere46","paint(...)"
"117splitHere46","16804701splitHere46","super.paintComponent(g)"
"118splitHere46","16804701splitHere46","repaint()"
"119splitHere46","16804777splitHere46","dialog.findViewById(R.id.dlg_add_proj_test_text)"
"120splitHere46","16804777splitHere46","findViewById"
"121splitHere46","16804777splitHere46","findViewById"
"122splitHere46","16804777splitHere46","dialog.findViewById"
"123splitHere46","16804934splitHere46","List<WebElement> linkElements = driver.findElements(By.cssSelector(<doubleQuotes46>table tr.r1 > td.i1<doubleQuotes46>)); <newline46mondego>"
"124splitHere46","16804934splitHere46","driver.get(<doubleQuotes46>http://www.redbus.in/Booking/SelectBus.aspx?fromCityId=124&fromCityName=Hyderabad&toCityId=462&toCityName=Mumbai&doj=30-May-2013&busType=Any&opId=0<doubleQuotes46>);<newline46mondego><newline46mondego>//Find's the elements using a CSS selector: all td's (with class <doubleQuotes46>i1<doubleQuotes46>), directly inside a tr (with class r1) which are inside a table.<newline46mondego>List<WebElement> linkElements = driver.findElements(By.cssSelector(<doubleQuotes46>table tr.r1 > td.i1<doubleQuotes46>));<newline46mondego>String[] linksText = new String[linkElements.size()];<newline46mondego>int index = 0;<newline46mondego>for(WebElement element : linkElements){<newline46mondego>    linksText[index++] = element.getText();<newline46mondego>}<newline46mondego>"
"125splitHere46","16804991splitHere46","public Query where(String selection, String operator, Object value) <newline46mondego>{<newline46mondego>    ArrayList<Object> list = new ArrayList<Object>();<newline46mondego>    list.add( value );<newline46mondego>    return where(selection, operator, list);<newline46mondego>}<newline46mondego>"
"126splitHere46","16804991splitHere46","List<Object> list = Collections.singletonList(value)<newline46mondego>return where(selection, operator, list);<newline46mondego>"
"127splitHere46","16805143splitHere46","Map<Key,Value>[] dictonaires = new HashMap<Key,Value>[20];<newline46mondego>for (int i=0; i<dictionaries.length; i++) {<newline46mondego>    dictionaries[i] = new Hashmap<Key,Value>();<newline46mondego>}<newline46mondego><newline46mondego>// Any time later, refer to a dictionary by index <newline46mondego>Map<Key,Value> currentDictionary = dictionaries[10];<newline46mondego>// Can call currentDictionar.put/get/remove to create or update/read/delete <newline46mondego>// entries, but can't add/remove entire dictionaries<newline46mondego>"
"128splitHere46","16805143splitHere46","List<Map<Key,Value>>"
"129splitHere46","16805143splitHere46","List"
"130splitHere46","16805143splitHere46","ArrayList"
"131splitHere46","16805143splitHere46","List<Map<Key,Value>> dictionaryList = new ArrayList<Map<Key,Value>>();<newline46mondego><newline46mondego>// Then add new dictionary anytime later:<newline46mondego>dictionaryList.add(new HashMap<Key,Value>());    <newline46mondego><newline46mondego>// Access by index (index matches order of adding):<newline46mondego>Map<Key,Value> currentDictionary = dictionaryList.get(10);    <newline46mondego>// Can call currentDictionar.put/get/remove to create or update/read/delete <newline46mondego>// entries, but can't add/remove entire dictionaries<newline46mondego><newline46mondego>// Or even remove entire dictionary by index:<newline46mondego>dictionaryList.remove(10);    <newline46mondego>"
"132splitHere46","16805168splitHere46","private Properties properties = new Properties();<newline46mondego>"
"133splitHere46","16805168splitHere46","public Test() {<newline46mondego>    properties = new Properties();<newline46mondego> }<newline46mondego>"
"134splitHere46","16805168splitHere46","private static Properties properties = new Properties();<newline46mondego>"
"135splitHere46","16805492splitHere46","FrameLayout"
"136splitHere46","16805492splitHere46","android:background=<doubleQuotes46>@drawable/ic_launcher<doubleQuotes46>"
"137splitHere46","16805505splitHere46","<dependency><newline46mondego>    <groupId>org.codehaus.jettison</groupId><newline46mondego>    <artifactId>jettison</artifactId><newline46mondego>    <version>1.3.1</version><newline46mondego></dependency><newline46mondego>"
"138splitHere46","16805725splitHere46","setAccessible"
"139splitHere46","16805725splitHere46","true"
"140splitHere46","16805725splitHere46","Method myMethod = obj.getClass.getDeclaredMethod(<doubleQuotes46>myPrivateMethod<doubleQuotes46>,String.class);<newline46mondego> method.setAccessible(true);<newline46mondego> Object r = myMethod.invoke(obj,<doubleQuotes46>myParameter<doubleQuotes46>);<newline46mondego>"
"141splitHere46","16805779splitHere46","return rusCharString.toString();<newline46mondego>"
"142splitHere46","16805779splitHere46","char[]"
"143splitHere46","16805779splitHere46","return new String(rusCharString);<newline46mondego>"
"144splitHere46","16805797splitHere46","chmod"
"145splitHere46","16805797splitHere46","SftpClient"
"146splitHere46","16805797splitHere46","SftpClient.ls()"
"147splitHere46","16805797splitHere46","SftpClient"
"148splitHere46","16805797splitHere46","SftpClient.umask()"
"149splitHere46","16805797splitHere46","chmod"
"150splitHere46","16805817splitHere46","ratio"
