"1splitHere46","22676917splitHere46","File listnames = new File(this.getFilesDir() + File.separator + <doubleQuotes46>Lists<doubleQuotes46>);<newline46mondego>if( !listnames.exists() )<newline46mondego>    listnames.mkdirs();<newline46mondego>else if( !listnames.isDirectory() && listnames.canWrite() ){<newline46mondego>    listnames.delete();<newline46mondego>    listnames.mkdirs();<newline46mondego>}<newline46mondego>else{<newline46mondego>    //you can't access there with write permission.<newline46mondego>    //Try other way.<newline46mondego>}<newline46mondego>"
"2splitHere46","22676943splitHere46","String[] words = line.split(<doubleQuotes46> <doubleQuotes46>);<newline46mondego>for(int i = 0; i < words.length; i++) {<newline46mondego>    System.out.print(words[i]);<newline46mondego>    if ((i + 1) % 3 != 0) {<newline46mondego>        System.out.print(<doubleQuotes46> <doubleQuotes46>);<newline46mondego>    } else {<newline46mondego>        System.out.println();<newline46mondego>    }<newline46mondego>}<newline46mondego>"
"3splitHere46","22676954splitHere46","do ... while"
"4splitHere46","22676954splitHere46","num"
"5splitHere46","22676954splitHere46","||"
"6splitHere46","22676954splitHere46","int num = 0;<newline46mondego>do<newline46mondego>{<newline46mondego>    //<newline46mondego>    // your loop contents here<newline46mondego>    //<newline46mondego>} while(num<1 || num>4);<newline46mondego>"
"7splitHere46","22676981splitHere46","pageContext"
"8splitHere46","22676981splitHere46","<%<newline46mondego>  pageContext.setAttribute(<doubleQuotes46>gn<doubleQuotes46>, gn);<newline46mondego>%><newline46mondego>"
"9splitHere46","22676981splitHere46","${gn}"
"10splitHere46","22676981splitHere46","<%<newline46mondego>String gn = generateKey(SelectedIndex, key, itt);<newline46mondego>%><newline46mondego>"
"11splitHere46","22676981splitHere46","<!%<newline46mondego>String gn = generateKey(SelectedIndex, key, itt);<newline46mondego>%><newline46mondego>"
"12splitHere46","22677093splitHere46","Log.w(<doubleQuotes46>test<doubleQuotes46>,<doubleQuotes46>Cases cochés<doubleQuotes46>+lesCasesCoches.get(f));<newline46mondego>"
