"1splitHere46","1970159splitHere46","while(br.ready()){<newline46mondego>     System.out.println(br.readLine());<newline46mondego>}<newline46mondego>"
"2splitHere46","1970266splitHere46","Date d1 = ...;<newline46mondego>Date d2 = ...;<newline46mondego>long seconds = (d2.getTime()-d1.getTime())/1000;<newline46mondego>"
"3splitHere46","1970266splitHere46","c.getTimeInMillis()<newline46mondego>"
"4splitHere46","1970592splitHere46","executeUpdate()"
"5splitHere46","1970597splitHere46","java"
"6splitHere46","1970615splitHere46","clip.addLineListener(new LineListener() {<newline46mondego>    public void update(LineEvent event) {<newline46mondego>        if (event.getType() == LineEvent.Type.STOP) {<newline46mondego>            event.getLine().close();<newline46mondego>        }<newline46mondego>    }<newline46mondego>});<newline46mondego>"
"7splitHere46","1970833splitHere46","List<String> l = new ArrayList<String>();<newline46mondego>l.add(<doubleQuotes46>foo<doubleQuotes46>);<newline46mondego>l.add(<doubleQuotes46>bar<doubleQuotes46>);<newline46mondego>"
"8splitHere46","1970833splitHere46","List<String> l = new LinkedList<String>();<newline46mondego>"
"9splitHere46","1970841splitHere46","Circuit myCircuit = new Circuit() {<newline46mondego>   public CircuitType getCircuitType() {<newline46mondego>      return XXX;<newline46mondego>   }<newline46mondego>}<newline46mondego>"
"10splitHere46","1970841splitHere46","javap"
"11splitHere46","1970841splitHere46","JD"
"12splitHere46","1970841splitHere46","switch"
"13splitHere46","1970841splitHere46","Auditor"
"14splitHere46","1970841splitHere46","private int[] counters = new int[CircuitType.values().length];<newline46mondego><newline46mondego>   public void tallySomething() {<newline46mondego>      Circuit newCircuit = new Circuit();<newline46mondego>      counters[newCircuit.getType().ordinal()]++;<newline46mondego>  }<newline46mondego>"
"15splitHere46","1970841splitHere46","javap"
"16splitHere46","1970841splitHere46","switch"
"17splitHere46","1970841splitHere46","make"
"18splitHere46","1970841splitHere46","ant"
"19splitHere46","1970947splitHere46","public static BufferedImage createTransparentMonochromeBufferedImage(int w, int h)<newline46mondego>{<newline46mondego>    // The color map contains the colors black and white<newline46mondego>    byte[] cMap = {0, 0, 0, (byte)255, (byte)255, (byte)255};<newline46mondego>    // Create an IndexColorModel setting white as the transparent color<newline46mondego>    IndexColorModel monochrome = new IndexColorModel(8, 2, cMap, 0, false, 1);<newline46mondego>    // Return a new BufferedImage using that color model <newline46mondego>    return new BufferedImage(w, h, BufferedImage.TYPE_BYTE_INDEXED, monochrome);<newline46mondego>}<newline46mondego>"
"20splitHere46","1970947splitHere46","public static void saveBufferedImageAsPNG(BufferedImage img, String filename)<newline46mondego>                                                             throws IOException{<newline46mondego>    File file = new File(filename); <newline46mondego>    ImageIO.write(img, <doubleQuotes46>png<doubleQuotes46>, file);<newline46mondego>}<newline46mondego>"
"21splitHere46","1970951splitHere46","public void setAge(int a) throws Exception {<newline46mondego>  if (this.validAge(a))<newline46mondego>    age =a ;<newline46mondego>  else <newline46mondego>    throw new Exception(<doubleQuotes46>...<doubleQuotes46>)<newline46mondego>}<newline46mondego>"
"22splitHere46","1971197splitHere46","JTabbedPaneUI"
"23splitHere46","1971197splitHere46","JTabbedPane"
"24splitHere46","1971197splitHere46","setUI"
"25splitHere46","1971197splitHere46","ComponentUI"
"26splitHere46","1971197splitHere46","JButton"
"27splitHere46","1971197splitHere46","JLabel"
"28splitHere46","1971280splitHere46","TrayIcon"
"29splitHere46","1971280splitHere46","java.awt.SystemTray.getSystemTray().add(new java.awt.TrayIcon(java.awt.Toolkit.getDefaultToolkit().getImage(<doubleQuotes46>foo.png<doubleQuotes46>)));<newline46mondego>"
"30splitHere46","1971375splitHere46","public abstract class A {<newline46mondego><newline46mondego>    protected abstract int getCounter();<newline46mondego><newline46mondego>    public void doStuff() {<newline46mondego>        int counter = getCounter();<newline46mondego>        for (int i=0; i < counter; i++) {<newline46mondego>            // do stuff<newline46mondego>        }<newline46mondego>    }<newline46mondego><newline46mondego>}<newline46mondego>"
"31splitHere46","1971446splitHere46","messages"
"32splitHere46","1971446splitHere46","messages"
"33splitHere46","1971530splitHere46","int"
"34splitHere46","1971530splitHere46","Object o = new  int[]{7, 9, 8};<newline46mondego>"
"35splitHere46","1971530splitHere46","new int[][]"
"36splitHere46","1971530splitHere46","Object[]"
"37splitHere46","1971530splitHere46","public static String arrayToString(Object o) {<newline46mondego>    if(o instanceof Object[])  {<newline46mondego>        return Arrays.deepToString((Object[]) o);<newline46mondego>    }<newline46mondego>    else if(o instanceof long[]) {<newline46mondego>        return Arrays.toString((long[]) o);<newline46mondego>    }<newline46mondego>    else if(o instanceof int[]) {<newline46mondego>        return Arrays.toString((int[]) o);<newline46mondego>    }<newline46mondego>    else if(o instanceof short[]) {<newline46mondego>        return Arrays.toString((short[]) o);<newline46mondego>    }<newline46mondego>    else if(o instanceof byte[]) {<newline46mondego>        return Arrays.toString((byte[]) o);<newline46mondego>    }<newline46mondego>    else if(o instanceof float[]) {<newline46mondego>        return Arrays.toString((float[]) o);<newline46mondego>    }<newline46mondego>    else if(o instanceof double[]) {<newline46mondego>        return Arrays.toString((double[]) o);<newline46mondego>    }<newline46mondego>    else if(o instanceof boolean[]) {<newline46mondego>        return Arrays.toString((boolean[]) o);<newline46mondego>    }<newline46mondego>    throw new IllegalArgumentException(<doubleQuotes46>input is not an array<doubleQuotes46>);<newline46mondego>}<newline46mondego>"
"38splitHere46","1971530splitHere46","Object intArray = new  int[]{7, 9, 8};<newline46mondego>Object[] intintArray  = new int[][]{{1, 2, 3}, {6, 5, 4}};<newline46mondego>Object[] intintintArray  = new int[][][]{{{1, 2, 3}, {6, 5, 4}},<newline46mondego>               {{1, 2, 3}, {6, 5, 4}}};<newline46mondego>System.out.println(arrayToString(intArray));<newline46mondego>System.out.println(arrayToString(intintArray));<newline46mondego>System.out.println(arrayToString(intintintArray));<newline46mondego>"
"39splitHere46","1971530splitHere46","[7, 9, 8]<newline46mondego>[[1, 2, 3], [6, 5, 4]]<newline46mondego>[[[1, 2, 3], [6, 5, 4]], [[1, 2, 3], [6, 5, 4]]]<newline46mondego>"
"40splitHere46","1971655splitHere46","<doubleQuotes46>Window<doubleQuotes46> -> <doubleQuotes46>Preferences...<doubleQuotes46> -> <doubleQuotes46>General<doubleQuotes46> -> <doubleQuotes46>Editors<doubleQuotes46> -> <doubleQuotes46>File Associations<doubleQuotes46>"
"41splitHere46","1971655splitHere46","File types"
"42splitHere46","1971655splitHere46","*.jsp"
"43splitHere46","1971655splitHere46","Associated editors"
"44splitHere46","1971655splitHere46","Web Page Editor"
"45splitHere46","1971655splitHere46","Default"
"46splitHere46","1971778splitHere46","<doubleQuotes46>(?<!((.{0,1}){0,1}))<doubleQuotes46><newline46mondego>"
"47splitHere46","1971778splitHere46","<doubleQuotes46>(?<!<doubleQuotes46>"
"48splitHere46","1971778splitHere46","()"
"49splitHere46","1971778splitHere46","<doubleQuotes46>(?<!.{0,1}{0,1})<doubleQuotes46><newline46mondego>"
"50splitHere46","1971778splitHere46","<doubleQuotes46>(?<!bad(?:\\s{1,99}(?:\\S{1,99}\\s{1,99})?(?:\\S{1,99}\\s{1,99})?(?:\\S{1,99}\\s{1,99})?(?:\\S{1,99}\\s{1,99})?(?:\\S{1,99}\\s{1,99})?(?:\\S{1,99}\\s{1,99})?))good<doubleQuotes46><newline46mondego>"
"51splitHere46","1971804splitHere46","classpath"
"52splitHere46","1971804splitHere46","package.ClassName"
"53splitHere46","1971804splitHere46","classpath"
"54splitHere46","1971804splitHere46","set classpath=c:\t<newline46mondego>"
"55splitHere46","1972069splitHere46","VideoEntry"
"56splitHere46","1972204splitHere46","Log4jConfigListener"
"57splitHere46","1972204splitHere46","Log4jConfigListener"
"58splitHere46","1972271splitHere46","getRequestURI"
"59splitHere46","1972271splitHere46","getPathInfo"
"60splitHere46","1972271splitHere46","getServletContextPath"
"61splitHere46","1972301splitHere46","portType"
"62splitHere46","1972301splitHere46","<wsdl:operation name=<doubleQuotes46>DictionaryList<doubleQuotes46>><newline46mondego>  <wsdl:documentation>Returns a list of available dictionaries</wsdl:documentation><newline46mondego>  <wsdl:input message=<doubleQuotes46>tns:DictionaryListSoapIn<doubleQuotes46>/><newline46mondego>  <wsdl:output message=<doubleQuotes46>tns:DictionaryListSoapOut<doubleQuotes46>/><newline46mondego></wsdl:operation><newline46mondego>"
"63splitHere46","1972301splitHere46","message"
"64splitHere46","1972301splitHere46","<wsdl:message name=<doubleQuotes46>DictionaryListSoapIn<doubleQuotes46>><newline46mondego>  <wsdl:part name=<doubleQuotes46>parameters<doubleQuotes46> element=<doubleQuotes46>tns:DictionaryList<doubleQuotes46>/><newline46mondego></wsdl:message><newline46mondego>"
"65splitHere46","1972301splitHere46","types"
"66splitHere46","1972301splitHere46","DictionaryList"
"67splitHere46","1972301splitHere46","<s:element name=<doubleQuotes46>DictionaryList<doubleQuotes46>><newline46mondego>  <s:complexType/><newline46mondego></s:element><newline46mondego>"
"68splitHere46","1972301splitHere46","$ mkdir generated<newline46mondego>$ wsimport -d generated http://services.aonaware.com/DictService/DictService.asmx?WSDL<newline46mondego>"
"69splitHere46","1972399splitHere46","values()"
"70splitHere46","1972399splitHere46","Random"
"71splitHere46","1972399splitHere46","public enum Letter {<newline46mondego>  A,<newline46mondego>  B,<newline46mondego>  C,<newline46mondego>  //...<newline46mondego><newline46mondego>  private static final List<Letter> VALUES =<newline46mondego>    Collections.unmodifiableList(Arrays.asList(values()));<newline46mondego>  private static final int SIZE = VALUES.size();<newline46mondego>  private static final Random RANDOM = new Random();<newline46mondego><newline46mondego>  public static Letter randomLetter()  {<newline46mondego>    return VALUES.get(RANDOM.nextInt(SIZE));<newline46mondego>  }<newline46mondego>}<newline46mondego>"
"72splitHere46","1972568splitHere46","my $val = $selenium->get_value(<doubleQuotes46>css=input[name='myInput']<doubleQuotes46>);<newline46mondego>"
"73splitHere46","1972662splitHere46","cd /usr/me/documents && ls<newline46mondego><newline46mondego>cd /usr/me/documents; ls<newline46mondego>"
"74splitHere46","1972787splitHere46","getWindow()"
"75splitHere46","1973034splitHere46","public class Main extends Activity implements OnClickListener {<newline46mondego><newline46mondego>      public void onCreate() {<newline46mondego>           button.setOnClickListener(this);<newline46mondego>           button2.setOnClickListener(this);<newline46mondego>      }<newline46mondego><newline46mondego>      public void onClick(View v) {<newline46mondego>           //Handle based on which view was clicked.<newline46mondego>      }<newline46mondego>}<newline46mondego>"
"76splitHere46","1973061splitHere46","double"
"77splitHere46","1973061splitHere46","BigDecimal"
"78splitHere46","1973061splitHere46","BigDecimal"
"79splitHere46","1973296splitHere46","List<Class> classes = new LinkedList<Class>();<newline46mondego>PathMatchingResourcePatternResolver scanner = new <newline46mondego>    PathMatchingResourcePatternResolver();<newline46mondego>// this should match the package and the class name. for example <doubleQuotes46>*.Bar<doubleQuotes46><newline46mondego>Resource[] resources = scanner.getResources(matchPattern); <newline46mondego><newline46mondego>for (Resource resource : resources) {<newline46mondego>    Class<?> clazz = getClassFromFileSystemResource(resource);<newline46mondego>    classes.add(clazz);<newline46mondego>}<newline46mondego><newline46mondego><newline46mondego>public static Class getClassFromFileSystemResource(Resource resource) throws Exception {<newline46mondego>    String resourceUri = resource.getURI().toString();<newline46mondego>    // finding the fully qualified name of the class<newline46mondego>    String classpathToResource = resourceUri.substring(resourceUri<newline46mondego>            .indexOf(<doubleQuotes46>com<doubleQuotes46>), resourceUri.indexOf(<doubleQuotes46>.class<doubleQuotes46>));<newline46mondego>    classpathToResource = classpathToResource.replace(<doubleQuotes46>/<doubleQuotes46>, <doubleQuotes46>.<doubleQuotes46>);<newline46mondego>    return Class.forName(classpathToResource);<newline46mondego>}<newline46mondego>"
"80splitHere46","1973296splitHere46","expectedSuperclass.isAssignableFrom(yourClass);<newline46mondego>"
"81splitHere46","1973381splitHere46","ServletResponse.reset"
"82splitHere46","1973381splitHere46","ServletOutputStream"
"83splitHere46","1973381splitHere46","flush"
"84splitHere46","1973470splitHere46","<context-param><newline46mondego>    <param-name>org.richfaces.LoadStyleStrategy</param-name><newline46mondego>    <param-value>ALL</param-value><newline46mondego></context-param><newline46mondego><context-param><newline46mondego>    <param-name>org.richfaces.LoadScriptStrategy</param-name><newline46mondego>    <param-value>ALL</param-value><newline46mondego></context-param><newline46mondego>"
