"1splitHere46","4308085splitHere46","msg.setRecipients()"
"2splitHere46","4308318splitHere46","BufferedInputStream origin = null;<newline46mondego>     FileOutputStream dest = new <newline46mondego>       FileOutputStream(<doubleQuotes46>c:\\zip\\myfigs.zip<doubleQuotes46>);<newline46mondego>     ZipOutputStream out = new ZipOutputStream(new <newline46mondego>       BufferedOutputStream(dest));<newline46mondego>     //out.setMethod(ZipOutputStream.DEFLATED);<newline46mondego>     byte data[] = new byte[BUFFER];<newline46mondego>     // get a list of files from current directory<newline46mondego>     File f = new File(<doubleQuotes46>.<doubleQuotes46>);<newline46mondego>     String files[] = f.list();<newline46mondego><newline46mondego>     for (int i=0; i<files.length; i++) {<newline46mondego>        System.out.println(<doubleQuotes46>Adding: <doubleQuotes46>+files[i]);<newline46mondego>        FileInputStream fi = new <newline46mondego>          FileInputStream(files[i]);<newline46mondego>        origin = new <newline46mondego>          BufferedInputStream(fi, BUFFER);<newline46mondego>        ZipEntry entry = new ZipEntry(files[i]);<newline46mondego>        out.putNextEntry(entry);<newline46mondego>        int count;<newline46mondego>        while((count = origin.read(data, 0, <newline46mondego>          BUFFER)) != -1) {<newline46mondego>           out.write(data, 0, count);<newline46mondego>        }<newline46mondego>        origin.close();<newline46mondego>     }<newline46mondego>     out.close();<newline46mondego>"
"3splitHere46","4308335splitHere46","java.lang.Object"
"4splitHere46","4308414splitHere46","startup.bat"
"5splitHere46","4308414splitHere46","startup.bat"
"6splitHere46","4308414splitHere46","set JAVA_OPTS=-Xms512m -Xmx512m<newline46mondego>"
"7splitHere46","4308449splitHere46","for"
"8splitHere46","4308449splitHere46","for (Object o : list)"
"9splitHere46","4308449splitHere46","for index, val in enumerate(someList):<newline46mondego>    # ....<newline46mondego>"
"10splitHere46","4308675splitHere46","JPanel displayPanel = new JPanel();<newline46mondego>    // JPanel displayPanel = new JPanel( new GridLayout( 4, 2 ) );<newline46mondego>    // JPanel displayPanel = new JPanel( new BorderLayout() );<newline46mondego>    // JPanel displayPanel = new JPanel( new GridBagLayout() );<newline46mondego><newline46mondego>    JTextField titleText = new JTextField( <doubleQuotes46>title<doubleQuotes46> );<newline46mondego><newline46mondego>    titleText.setPreferredSize( new Dimension( 200, 24 ) );<newline46mondego><newline46mondego>    // For FlowLayout and GridLayout, uncomment:<newline46mondego>    displayPanel.add( titleText );<newline46mondego><newline46mondego>    // For BorderLayout, uncomment:<newline46mondego>    // displayPanel.add( titleText, BorderLayout.NORTH );<newline46mondego><newline46mondego>    // For GridBagLayout, uncomment:<newline46mondego>    // displayPanel.add( titleText, new GridBagConstraints( 0, 0, 1, 1, 1.0,<newline46mondego>    // 1.0, GridBagConstraints.CENTER, GridBagConstraints.NONE,<newline46mondego>    // new Insets( 0, 0, 0, 0 ), 0, 0 ) );<newline46mondego>"
"11splitHere46","4308757splitHere46","class Node { ... }<newline46mondego><newline46mondego>class StringLiteral extends Node {<newline46mondego>  public String getValue() { ... }<newline46mondego>}<newline46mondego><newline46mondego>class Term extends Node {<newline46mondego>  public String getName() { ... }<newline46mondego>  public int getArity() { ... }<newline46mondego>  public Node getArgument(int index) { ... }<newline46mondego>}<newline46mondego>"
"12splitHere46","4308942splitHere46","listOfPrimeNumbers"
"13splitHere46","4308942splitHere46","Primes"
"14splitHere46","4308942splitHere46","listOfPrimeNumbers"
"15splitHere46","4308942splitHere46","print"
"16splitHere46","4308942splitHere46","Primes"
"17splitHere46","4308942splitHere46","listOfPrimeNumbers"
"18splitHere46","4308942splitHere46","listOfPrimeNumbers"
"19splitHere46","4308942splitHere46","print"
"20splitHere46","4309162splitHere46","BufferedOutputStream"
"21splitHere46","4309162splitHere46","ObjectOutputStream"
"22splitHere46","4309162splitHere46","BufferedOutputStream"
"23splitHere46","4309162splitHere46","BufferedOutputStream"
"24splitHere46","4309162splitHere46","flush()"
"25splitHere46","4309162splitHere46","flush()"
"26splitHere46","4309162splitHere46","ObjectOutputStream"
"27splitHere46","4309162splitHere46","flush()"
"28splitHere46","4309162splitHere46","BufferedOutputStream"
"29splitHere46","4309162splitHere46","BufferedOuputStream"
"30splitHere46","4309250splitHere46","Car car = new MazdaRX8();        <newline46mondego>FordGalaxy galaxy = car.<FordGalaxy>getCar();<newline46mondego>"
"31splitHere46","4309250splitHere46","MazdaRX8"
"32splitHere46","4309250splitHere46","Car<MazdaRX8>"
