"1splitHere46","4769825splitHere46","java -classpath . ServerMain<newline46mondego>"
"2splitHere46","4769847splitHere46","public class Demo {<newline46mondego>    private static void prn(int x) {<newline46mondego>        System.out.println(x);<newline46mondego>    }<newline46mondego>    public static void main(String[] args) {<newline46mondego>        prn(2);<newline46mondego>        prn(3);<newline46mondego>    }<newline46mondego>}<newline46mondego>"
"3splitHere46","4770033splitHere46",".replaceAll()"
"4splitHere46","4770033splitHere46","(\S+)\s*(?:of)?\s*(hearts|clubs|diamonds|spades)"
"5splitHere46","4770033splitHere46","9 of hearts"
"6splitHere46","4770033splitHere46","9hearts"
"7splitHere46","4770033splitHere46","aceofclubs"
"8splitHere46","4770121splitHere46","onClick()"
"9splitHere46","4770121splitHere46","Send()"
"10splitHere46","4770121splitHere46","Status()"
"11splitHere46","4770121splitHere46","AsyncTask"
"12splitHere46","4770186splitHere46","boolean [] output = new boolean[rgbarr.length];<newline46mondego>for ( int i=0; i<rgbarr.length; ++i ) {<newline46mondego>  int a = (rgbarr[i] >> 24 ) & 0x0FF;<newline46mondego>  int r = (rgbarr[i] >> 16 ) & 0x0FF;<newline46mondego>  int g = (rgbarr[i] >> 8  ) & 0x0FF;<newline46mondego>  int b = (rgbarr[i]       ) & 0x0FF;<newline46mondego>  output[i] = (0.30*r + 0.59*g + 0.11*b) > 127;<newline46mondego>}<newline46mondego>"
"13splitHere46","4770231splitHere46","public class Link <newline46mondego>{<newline46mondego>    public Link(string id, Action handleStuff) <newline46mondego>    { <newline46mondego>        ...<newline46mondego>    }<newline46mondego><newline46mondego>}<newline46mondego>"
"14splitHere46","4770231splitHere46","var link = new Link(<doubleQuotes46>id<doubleQuotes46>, () => do stuff);<newline46mondego>"
"15splitHere46","4770234splitHere46","Icon normal = new ImageIcon(...);<newline46mondego>Icon selected = new ImageIcon(...);<newline46mondego>JTable table = new JTable(...);<newline46mondego>table.setRowHeight(...);<newline46mondego><newline46mondego>TableCellRenderer renderer = table.getDefaultRenderer(Boolean.class);<newline46mondego>JCheckBox checkBoxRenderer = (JCheckBox)renderer;<newline46mondego>checkBoxRenderer.setIcon( normal );<newline46mondego>checkBoxRenderer.setSelectedIcon( selected );<newline46mondego><newline46mondego>DefaultCellEditor editor = (DefaultCellEditor)table.getDefaultEditor(Boolean.class);<newline46mondego>JCheckBox checkBoxEditor = (JCheckBox)editor.getComponent();<newline46mondego>checkBoxEditor.setIcon( normal );<newline46mondego>checkBoxEditor.setSelectedIcon( selected );<newline46mondego>"
"16splitHere46","4770429splitHere46","JComponent"
"17splitHere46","4770429splitHere46","Canvas"
"18splitHere46","4770429splitHere46","paintComponent(..)"
"19splitHere46","4770460splitHere46","Method m = MyClass.class.getDeclaredMethod(<doubleQuotes46>myMethod<doubleQuotes46>, Integer.TYPE);<newline46mondego>m.setAccessible(true); //if security settings allow this<newline46mondego>Object o = m.invoke(null, 23); //use null if the method is static<newline46mondego>"
"20splitHere46","4770586splitHere46","public static void copyFile(File src, File dst) throws IOException<newline46mondego>{<newline46mondego>    FileChannel inChannel = new FileInputStream(src).getChannel();<newline46mondego>    FileChannel outChannel = new FileOutputStream(dst).getChannel();<newline46mondego>    try<newline46mondego>    {<newline46mondego>        inChannel.transferTo(0, inChannel.size(), outChannel);<newline46mondego>    }<newline46mondego>    finally<newline46mondego>    {<newline46mondego>        if (inChannel != null)<newline46mondego>            inChannel.close();<newline46mondego>        if (outChannel != null)<newline46mondego>            outChannel.close();<newline46mondego>    }<newline46mondego>}<newline46mondego>"
"21splitHere46","4770614splitHere46","httpget.setHeader(<doubleQuotes46>charset<doubleQuotes46>, <doubleQuotes46>utf-8<doubleQuotes46>);"
"22splitHere46","4770614splitHere46","BasicResponseHandler"
"23splitHere46","4770614splitHere46","Content-Type"
"24splitHere46","4770614splitHere46","BasicResponseHandler"
"25splitHere46","4770614splitHere46","ISO-8859-1"
"26splitHere46","4770614splitHere46","ResponseHandler"
"27splitHere46","4770614splitHere46","ResponseHandler<String> responseHandler = new ResponseHandler<String>() {<newline46mondego>    public String handleResponse(final HttpResponse response)<newline46mondego>        throws HttpResponseException, IOException {<newline46mondego>        StatusLine statusLine = response.getStatusLine();<newline46mondego>        if (statusLine.getStatusCode() >= 300) {<newline46mondego>            throw new HttpResponseException(statusLine.getStatusCode(),<newline46mondego>                    statusLine.getReasonPhrase());<newline46mondego>        }<newline46mondego><newline46mondego>        HttpEntity entity = response.getEntity();<newline46mondego>        return entity == null ? null : EntityUtils.toString(entity, <doubleQuotes46>UTF-8<doubleQuotes46>);<newline46mondego>    }<newline46mondego>} <newline46mondego>"
"28splitHere46","4770857splitHere46","1. First see if Title1==Title2.<newline46mondego>    1.1 if YES then see if year1==year2<newline46mondego>            1.1.1 if YES then see if authorName1==authorName2<newline46mondego>              1.1.1.1 If YES then they are equal (return 0)<newline46mondego>              1.1.1.2 else if NO compare author1 and author2 (return 1 or -1)<newline46mondego>     1.2 else if NO then compare year1 and year2 (return 1 or -1)<newline46mondego>2. else if NO then compare title1 and title2 (return 1 or -1)<newline46mondego>"
"29splitHere46","4770943splitHere46","ArrayList"
"30splitHere46","4770943splitHere46","ArrayList"
"31splitHere46","4770943splitHere46","class NDimensionalArray {<newline46mondego>  private Object[] array; // internal representation of the N-dimensional array<newline46mondego>  private int[] dimensions; // dimensions of the array<newline46mondego>  private int[] multipliers; // used to calculate the index in the internal array<newline46mondego><newline46mondego>  NDimensionalArray(int... dimensions) {<newline46mondego>    int arraySize = 1;<newline46mondego><newline46mondego>    multipliers = new int[dimensions.length];<newline46mondego>    for (int idx = dimensions.length - 1; idx >= 0; idx--) {<newline46mondego>      multipliers[idx] = arraySize;<newline46mondego>      arraySize *= dimensions[idx];<newline46mondego>    }<newline46mondego>    array = new Object[arraySize];<newline46mondego>    this.dimensions = dimensions;<newline46mondego>  }<newline46mondego>  ...<newline46mondego>  public Object get(int... indices) {<newline46mondego>    assert indices.length == dimensions.length;<newline46mondego>    int internalIndex = 0;<newline46mondego><newline46mondego>    for (int idx = 0; idx < indices.length; idx++) {<newline46mondego>      internalIndex += indices[idx] * multipliers[idx];<newline46mondego>    }<newline46mondego>    return array[internalIndex];<newline46mondego>  }<newline46mondego>  ...<newline46mondego>}<newline46mondego>"
"32splitHere46","4771030splitHere46","Person {     String firstName     String lastName; }"
"33splitHere46","4771030splitHere46","public class Person<newline46mondego>{<newline46mondego>    private String firstName;<newline46mondego>    private String lastName;<newline46mondego><newline46mondego>    public String getFirstName()<newline46mondego>    {<newline46mondego>        return firstName;<newline46mondego>    }<newline46mondego><newline46mondego>    public String getLastName()<newline46mondego>    {<newline46mondego>        return lastName;<newline46mondego>    }<newline46mondego><newline46mondego>    public void setFirstName(final String newValue)<newline46mondego>    {<newline46mondego>        firstName = newValue;<newline46mondego>    }<newline46mondego><newline46mondego>    public void setLastName(final String newValue)<newline46mondego>    {<newline46mondego>        lastName = newValue;<newline46mondego>    }<newline46mondego>}"
"34splitHere46","4771030splitHere46","<resultMap id=<doubleQuotes46>theIdOfThisMap<doubleQuotes46><newline46mondego>           class=<doubleQuotes46>Person<doubleQuotes46>><newline46mondego>    <result property=<doubleQuotes46>firstName<doubleQuotes46> column=<doubleQuotes46>firstName<doubleQuotes46>/><newline46mondego>    <result property=<doubleQuotes46>lastName<doubleQuotes46> column=<doubleQuotes46>last_name<doubleQuotes46>/><newline46mondego></resultMap><newline46mondego><newline46mondego><select id=<doubleQuotes46>searchForEntities<doubleQuotes46><newline46mondego>        resultMap=<doubleQuotes46>theIdOfThisMap<doubleQuotes46>><newline46mondego>    select<newline46mondego>        firstName,<newline46mondego>        last_name<newline46mondego>    from<newline46mondego>        PERSON<newline46mondego></select>"
"35splitHere46","4771116splitHere46","Comparator<T> comparator = (Comparator<T>) ((SmartTable.ComparableColumn) column).comparator;<newline46mondego>"
"36splitHere46","4771116splitHere46","Comparator<T> comparator = ((SmartTable.ComparableColumn) column).comparator;<newline46mondego>"
"37splitHere46","4771116splitHere46","public class Main {<newline46mondego><newline46mondego>    public static <T> void main(String[] args) throws Exception {<newline46mondego>        SmartTable<T>.Column column = new SmartTable<T>().new Column();<newline46mondego>        Comparator<T> comparator = ((SmartTable.ComparableColumn) column).comparator;<newline46mondego><newline46mondego>    }<newline46mondego><newline46mondego>    static class SmartTable<T> {<newline46mondego>        class Column {<newline46mondego><newline46mondego>        }<newline46mondego>        class ComparableColumn extends Column {<newline46mondego>            Comparator<T> comparator;<newline46mondego>        }<newline46mondego>    }<newline46mondego><newline46mondego>}<newline46mondego>"
"38splitHere46","4771480splitHere46","regex =<doubleQuotes46>.*(fullname|email).*"
"39splitHere46","4771480splitHere46","String[] rattrs = attrs.split(<doubleQuotes46>\\|<doubleQuotes46>)"
"40splitHere46","4772140splitHere46","SwingWorker"
"41splitHere46","4772317splitHere46","private static int rosu = Color.Red.ToArgb();<newline46mondego>"
"42splitHere46","4772317splitHere46","Color"
"43splitHere46","4772317splitHere46","int"
"44splitHere46","4772317splitHere46","int"
"45splitHere46","4772317splitHere46","Color"
"46splitHere46","4772524splitHere46","foo"
"47splitHere46","4772524splitHere46","bar"
