"1splitHere46","10107861splitHere46","import java.awt.BorderLayout;<newline46mondego>import java.awt.Image;<newline46mondego>import java.io.File;<newline46mondego>import java.io.IOException;<newline46mondego><newline46mondego>import javax.imageio.ImageIO;<newline46mondego>import javax.swing.ImageIcon;<newline46mondego>import javax.swing.JFrame;<newline46mondego>import javax.swing.JLabel;<newline46mondego><newline46mondego>public class ShowImage {<newline46mondego>    public static void main(String[] args) {<newline46mondego>        JFrame frame = new JFrame(<doubleQuotes46>Debug Frame<doubleQuotes46>);<newline46mondego>        frame.setSize(200, 200);<newline46mondego>        frame.setLayout(new BorderLayout());<newline46mondego>        frame.setDefaultCloseOperation(JFrame.EXIT_ON_CLOSE);<newline46mondego><newline46mondego>        Image image = null;<newline46mondego>        JLabel label = null;<newline46mondego><newline46mondego>        try {<newline46mondego>            image = ImageIO.read(new File(<doubleQuotes46>c:/scratch/hotdog.jpg<doubleQuotes46>));<newline46mondego>            label = new JLabel(new ImageIcon(image));<newline46mondego>        } catch (IOException e) {<newline46mondego>            label.setText(<doubleQuotes46>Image loading failed<doubleQuotes46>);<newline46mondego>        }<newline46mondego><newline46mondego>        frame.add(label,BorderLayout.CENTER);<newline46mondego>        frame.setVisible(true);<newline46mondego>    }<newline46mondego>}<newline46mondego>"
"2splitHere46","10108143splitHere46","public class GenericList <T> extends ArrayList<T><newline46mondego>{<newline46mondego>     private Class<T> genericType;<newline46mondego><newline46mondego>     public GenericList(Class<T> c)<newline46mondego>     {<newline46mondego>          this.genericType = c;<newline46mondego>     }<newline46mondego><newline46mondego>     public Class<T> getGenericType()<newline46mondego>     {<newline46mondego>          return genericType;<newline46mondego>     }<newline46mondego>}<newline46mondego>"
"3splitHere46","10108207splitHere46","<URL | simple bundle location>[@ [<start-level>] [<doubleQuotes46>:start<doubleQuotes46>]]<newline46mondego>"
"4splitHere46","10108383splitHere46","com.foo.bar.A"
"5splitHere46","10108383splitHere46","com/foo/bar/"
"6splitHere46","10108383splitHere46","javac -d com/abc/customers/ CustomerAddress.java Customer.java CustomerMain.java<newline46mondego>"
"7splitHere46","10108414splitHere46","setAttribute"
"8splitHere46","10108414splitHere46","getAttribute"
"9splitHere46","10108414splitHere46","public class SomeServlet extends HttpServlet {<newline46mondego>    public void doGet(HttpServletRequest request, HttpServletResponse response)<newline46mondego>        throws ServletException, IOException {<newline46mondego>        ServletContext servletContext = getServletContext();<newline46mondego>        String someAttribute = servletContext.getAttribute(<doubleQuotes46>someAttribute<doubleQuotes46>);<newline46mondego>        System.out.println(<doubleQuotes46>someAttribute value: <doubleQuotes46> + someAttribute);<newline46mondego>    }<newline46mondego>}<newline46mondego>"
"10splitHere46","10108414splitHere46","public final class MyAppListener implements ServletContextListener {<newline46mondego>    public void contextInitialized(ServletContextEvent event) {<newline46mondego>        System.out.println(<doubleQuotes46>Application gets started.<doubleQuotes46>);<newline46mondego>        ServletContext servletContext = event..getServletContext();<newline46mondego>        servletContext.setAttribute(<doubleQuotes46>someAttribute<doubleQuotes46>, <doubleQuotes46>Hello world!<doubleQuotes46>);<newline46mondego>    }<newline46mondego><newline46mondego>    public void contextDestroyed(ServletContextEvent event) {<newline46mondego>        System.out.println(<doubleQuotes46>Application has finished.<doubleQuotes46>);<newline46mondego>    }<newline46mondego>}<newline46mondego>"
"11splitHere46","10108414splitHere46","<listener><newline46mondego>    <listener-class>mypackage.listener.MyAppListener</listener-class><newline46mondego></listener><newline46mondego>"
"12splitHere46","10108573splitHere46","tiles:importAttribute"
"13splitHere46","10108573splitHere46","request"
"14splitHere46","10108771splitHere46","Address"
"15splitHere46","10108771splitHere46","Customer.setAddress()"
"16splitHere46","10108771splitHere46","Customer"
"17splitHere46","10108771splitHere46","Address"
"18splitHere46","10108780splitHere46","mvn exec:exec -Dexec.args=<doubleQuotes46>arg1<doubleQuotes46>"
"19splitHere46","10108780splitHere46","mvn exec:java  -Dexec.mainClass=test.Main<newline46mondego>"
"20splitHere46","10108780splitHere46","-f"
"21splitHere46","10108780splitHere46","mvn exec:java -Dexec.mainClass=test.Main -f folder/pom.xm<newline46mondego>"
"22splitHere46","10108780splitHere46","mvn exec:java -Dexec.mainClass=test.Main -Dexec.args=<doubleQuotes46>arg1 arg2 arg3<doubleQuotes46><newline46mondego>"
"23splitHere46","10108780splitHere46","'argument separated with space'"
