"1splitHere46","14623876splitHere46","for(int year = 1900; year <= 2012; year++){<newline46mondego>if((year % 4 == 0 && year % 100 != 0) || year % 400 == 0){<newline46mondego>driver.findElement(By.id(<doubleQuotes46>DOB<doubleQuotes46>)).clear();<newline46mondego>driver.findElement(By.id(<doubleQuotes46>DOB<doubleQuotes46>)).sendKeys(<doubleQuotes46>29/02/<doubleQuotes46> + year);<newline46mondego>}<newline46mondego>}<newline46mondego>"
"2splitHere46","14623966splitHere46","<dependency>"
"3splitHere46","14623966splitHere46","<profile>"
"4splitHere46","14623966splitHere46","mvn clean ... package -PmyProfile"
"5splitHere46","14624058splitHere46","Policy"
"6splitHere46","14624058splitHere46","DepreciablePolicy"
"7splitHere46","14624058splitHere46","public class DepreciablePolicy extends Policy {    <newline46mondego>public DepreciablePolicy(double d){<newline46mondego>super(d)<newline46mondego>}<newline46mondego><newline46mondego>}<newline46mondego>"
"8splitHere46","14624322splitHere46","public class Tester4 {<newline46mondego><newline46mondego>    public static void main(String args[]) {<newline46mondego><newline46mondego>        Scanner input = new Scanner(System.in);<newline46mondego>        double num1, num2, answer = 0;<newline46mondego>        String operator;<newline46mondego><newline46mondego>        System.out.println(<doubleQuotes46>Enter first number: <doubleQuotes46>);<newline46mondego>        num1 = input.nextDouble();<newline46mondego><newline46mondego>        System.out.println(<doubleQuotes46>Enter operator: <doubleQuotes46>);<newline46mondego>        operator = input.next();<newline46mondego><newline46mondego>        System.out.println(<doubleQuotes46>Enter second number: <doubleQuotes46>);<newline46mondego>        num2 = input.nextDouble();<newline46mondego><newline46mondego>        if(operator.equals(<doubleQuotes46>+<doubleQuotes46>)) {<newline46mondego>            answer = num1 + num2;<newline46mondego>        } else if(operator.equals(<doubleQuotes46>-<doubleQuotes46>)) {<newline46mondego>            answer = num1 - num2;<newline46mondego>        } else if(operator.equals(<doubleQuotes46>*<doubleQuotes46>)) {<newline46mondego>            answer = num1 - num2;<newline46mondego>        } else if(operator.equals(<doubleQuotes46>/<doubleQuotes46>)) {<newline46mondego>            answer = num1 / num2;<newline46mondego>        }<newline46mondego><newline46mondego>        System.out.println(<doubleQuotes46>First number:<doubleQuotes46> + num1);<newline46mondego>        System.out.println(<doubleQuotes46>Operator:<doubleQuotes46> + operator);<newline46mondego>        System.out.println(<doubleQuotes46>Second number:<doubleQuotes46> + num2);<newline46mondego><newline46mondego>        System.out.println(<doubleQuotes46>Answer: <doubleQuotes46> + answer);<newline46mondego>    }<newline46mondego><newline46mondego>}<newline46mondego>"
"9splitHere46","14624324splitHere46","Class.getInterfaces()"
"10splitHere46","14624324splitHere46","Array of Interfaces"
"11splitHere46","14624324splitHere46","System.out.println(list.getClass().getInterfaces()[0]);<newline46mondego>"
"12splitHere46","14624324splitHere46","System.out.println(list.getClass().getInterfaces()[0].getSimpleName);<newline46mondego>"
"13splitHere46","14624527splitHere46","PropertyChangeListener"
"14splitHere46","14624527splitHere46","PropertyChangeEvent"
"15splitHere46","14624617splitHere46","randomWords = kb.nextLine();    <newline46mondego>"
"16splitHere46","14624617splitHere46","\n"
"17splitHere46","14624617splitHere46","Scanner kb = new Scanner(System.in).useDelimiter(<doubleQuotes46>\n<doubleQuotes46>);<newline46mondego>    System.out.print(<doubleQuotes46>Please enter two words separated: <doubleQuotes46>); <newline46mondego>    randomWords = kb.next();    <newline46mondego>    System.out.println(randomWords);<newline46mondego>"
"18splitHere46","14624628splitHere46","BASE64Decoder decoder = new BASE64Decoder();<newline46mondego>byte[] decodedBytes = decoder.decodeBuffer(encodedBytes);<newline46mondego>"
"19splitHere46","14624628splitHere46","decodeBytes"
"20splitHere46","14624739splitHere46","StringEscapeUtils"
"21splitHere46","14624787splitHere46","public function newAction() {<newline46mondego>    $cart = $this->_getCart();<newline46mondego>    try {<newline46mondego>        //getting list of products<newline46mondego>        $filter = new Zend_Filter_LocalizedToNormalized(array('locale' => Mage::app()->getLocale()->getLocaleCode()));<newline46mondego>        for ($i = 1; $i <= 4; $i++) {<newline46mondego>            echo '<newline46mondego>';<newline46mondego>            $param = $_GET['product' . $i];<newline46mondego>            if (isset($param)) {<newline46mondego>                $param = explode(<doubleQuotes46>/<doubleQuotes46>, $param);<newline46mondego>                print_r($param);<newline46mondego>                $productId = $param[0];<newline46mondego>                $product = $this->addNewProduct($productId);<newline46mondego>                $quantity = $filter->filter($param[1]);<newline46mondego>                $params['product'] = $product;<newline46mondego>                $params['qty'] = $quantity;<newline46mondego><newline46mondego>                $cart->addProduct($product);<newline46mondego>            }// if over<newline46mondego>        }//for over<newline46mondego>        $cart->save();<newline46mondego>        $message = $this->__('Added to Your Cart Successfully', Mage::helper('core')->escapeHtml());<newline46mondego>        $this->_getSession()->addSuccess($message);<newline46mondego>        Mage::getSingleton('checkout/session')->setCartWasUpdated(true);<newline46mondego>        $this->_redirect(<doubleQuotes46>checkout/cart/<doubleQuotes46>);<newline46mondego>    } catch (Mage_Core_Exception $e) {} <newline46mondego>"
"22splitHere46","14624787splitHere46","http://localhost/magento/index.php/checkout/cart/new?product1=2/3&product2=3/3&product3=4/1"
"23splitHere46","14624995splitHere46","Application"
"24splitHere46","14624995splitHere46","package org.example;<newline46mondego><newline46mondego>import java.util.*;<newline46mondego>import javax.ws.rs.core.Application;<newline46mondego>import org.eclipse.persistence.jaxb.rs.MOXyJsonProvider;<newline46mondego><newline46mondego>public class CustomerApplication  extends Application {<newline46mondego><newline46mondego>    @Override<newline46mondego>    public Set<Class<?>> getClasses() {<newline46mondego>        HashSet<Class<?>> set = new HashSet<Class<?>>(2);<newline46mondego>        set.add(MOXyJsonProvider.class);<newline46mondego>        set.add(CustomerService.class);<newline46mondego>        return set;<newline46mondego>    }<newline46mondego>}<newline46mondego>"
"25splitHere46","14625002splitHere46","Base.i"
"26splitHere46","14625002splitHere46","int j = i;"
"27splitHere46","14625002splitHere46","i = 1;"
"28splitHere46","14625002splitHere46","static int i;"
"29splitHere46","14625277splitHere46","DBObject"
"30splitHere46","14625277splitHere46","DBObject"
"31splitHere46","14625277splitHere46","date"
"32splitHere46","14625277splitHere46","date"
"33splitHere46","14625349splitHere46","jtidy.jar"
"34splitHere46","14625349splitHere46","4aug2000r7-dev.jar"
"35splitHere46","14625349splitHere46","setHideComments()"
"36splitHere46","14625349splitHere46","JTidy 8.0-SNAPSHOT"
"37splitHere46","14625372splitHere46","String.trim().equals(<doubleQuotes46><doubleQuotes46>)<newline46mondego>"
"38splitHere46","14625372splitHere46","trim()"
"39splitHere46","14625422splitHere46","JOptionPane.showInputDialog(null, <doubleQuotes46>HelloWorld<doubleQuotes46>);<newline46mondego>"
"40splitHere46","14625422splitHere46","null"
"41splitHere46","14625422splitHere46","frame"
"42splitHere46","14625422splitHere46","JOptionPane.showInputDialog(frame, <doubleQuotes46>HelloWorld<doubleQuotes46>);<newline46mondego>"
"43splitHere46","14625762splitHere46","mvn dependency:get"
"44splitHere46","14625762splitHere46","<dependency><newline46mondego>    <groupId>net.sf.jtidy</groupId><newline46mondego>    <artifactId>jtidy</artifactId><newline46mondego>    <version>r938</version><newline46mondego></dependency><newline46mondego>"
"45splitHere46","14625762splitHere46","r398"
"46splitHere46","14625762splitHere46","4aug2000r7-dev"
"47splitHere46","14625834splitHere46","m_Paint"
"48splitHere46","14625834splitHere46","onDraw"
"49splitHere46","14625834splitHere46","onDraw"
"50splitHere46","14625834splitHere46","HashMap"
"51splitHere46","14625834splitHere46","onClickPenColorButton"
"52splitHere46","14625834splitHere46","currentColor"
"53splitHere46","14625834splitHere46","touch_start"
"54splitHere46","14625834splitHere46","currentColor"
"55splitHere46","14625834splitHere46","HashMap"
"56splitHere46","14625834splitHere46","protected void onDraw(Canvas canvas)<newline46mondego>{                           <newline46mondego>   for (Path p : paths)<newline46mondego>   {  <newline46mondego>      // Assuming your HashMap variable is pathColor<newline46mondego>      m_Paint.setColor(pathColor.get(p));<newline46mondego><newline46mondego>      canvas.drawPath(p, m_Paint);<newline46mondego>   }<newline46mondego>}<newline46mondego>"
"57splitHere46","14625854splitHere46","Document doc = getDocument(documentId);"
"58splitHere46","14625884splitHere46","result.get()"
"59splitHere46","14625884splitHere46","result.get()"
"60splitHere46","14625948splitHere46","departureStation"
"61splitHere46","14625948splitHere46","public void departureStation(String station) throws Exception<newline46mondego>{<newline46mondego>    if (station.equals(null)) { <newline46mondego>        throw new Exception(<doubleQuotes46>Please input a departure station<doubleQuotes46>); <newline46mondego>    }<newline46mondego>}<newline46mondego>"
"62splitHere46","14625948splitHere46","null"
"63splitHere46","14625948splitHere46","NPE"
"64splitHere46","14625948splitHere46","station.equals(null)"
"65splitHere46","14625948splitHere46","station = null"
"66splitHere46","14625948splitHere46","NPE"
"67splitHere46","14625948splitHere46","if"
"68splitHere46","14625948splitHere46","Exception"
"69splitHere46","14625948splitHere46","NPE"
"70splitHere46","14625948splitHere46","message"
"71splitHere46","14625948splitHere46","e.getMessage()"
"72splitHere46","14625948splitHere46","null"
"73splitHere46","14625948splitHere46","try<newline46mondego>{validation.departureStation(fieldDepartureStation);}<newline46mondego>catch(Exception e)<newline46mondego>{setDataErrors(FIELD_DEPARTURE_STATION, e.getMessage());}<newline46mondego>"
"74splitHere46","14625948splitHere46","Exception  Handling"
"75splitHere46","14625948splitHere46","Exception"
"76splitHere46","14625948splitHere46","Exception"
"77splitHere46","14625948splitHere46","NPE"
"78splitHere46","14625948splitHere46","setDataErrors()"
"79splitHere46","14625948splitHere46","e.getMessage()"
"80splitHere46","14625948splitHere46","null"
"81splitHere46","14625948splitHere46","logging"
"82splitHere46","14625948splitHere46","e.getMessage()"
"83splitHere46","14625948splitHere46","catch block"
"84splitHere46","14625948splitHere46","null"
"85splitHere46","14625948splitHere46","if (station == null) { <newline46mondego>    throw new Exception(<doubleQuotes46>Please input a departure station<doubleQuotes46>); <newline46mondego>}<newline46mondego>"
"86splitHere46","14625948splitHere46","null check"
"87splitHere46","14625948splitHere46","=="
"88splitHere46","14626124splitHere46","-jar"
"89splitHere46","14626545splitHere46","items"
"90splitHere46","14626545splitHere46","name"
"91splitHere46","14626545splitHere46","type"
"92splitHere46","14626545splitHere46","Map<String, String> items = new HashMap<>();<newline46mondego>items.put(name, type);<newline46mondego>"
"93splitHere46","14626545splitHere46","names"
"94splitHere46","14626545splitHere46","List<String> keys = new ArrayList(items.keySet());<newline46mondego>Collections.sort(keys);<newline46mondego>"
"95splitHere46","14626545splitHere46","for (String key : keys) {<newline46mondego>    System.out.println(<doubleQuotes46>name : <doubleQuotes46> + key);<newline46mondego>    System.out.println(<doubleQuotes46>type : <doubleQuotes46> + items.get(key));        <newline46mondego>}<newline46mondego>"
"96splitHere46","14626548splitHere46","(?<=x{2,10})"
"97splitHere46","14626548splitHere46","(?<=x*)"
"98splitHere46","14626548splitHere46","paragraph"
"99splitHere46","14626548splitHere46","(a)"
"100splitHere46","14626548splitHere46","(?<!paragraph.{0,100})\([a-z]\)<newline46mondego>"
"101splitHere46","14626548splitHere46","(ref)"
"102splitHere46","14626548splitHere46","^(?!.*?paragraph.*?\([a-z]\)).*?\([a-z]\)<newline46mondego>"
"103splitHere46","14626548splitHere46","test test (a)"
"104splitHere46","14626548splitHere46","paragraph test (a)"
"105splitHere46","14626548splitHere46","([a-z])"
"106splitHere46","14626548splitHere46","paragraph"
"107splitHere46","14626548splitHere46","Pattern.compile(<doubleQuotes46>[aA][bB][cC]<doubleQuotes46>)"
"108splitHere46","14626548splitHere46","Pattern.compile(<doubleQuotes46>abc<doubleQuotes46>, Pattern.CASE_INSENSISIVE)"
"109splitHere46","14626548splitHere46","Pattern.compile(<doubleQuotes46>(?i)abc<doubleQuotes46>)"
"110splitHere46","14626548splitHere46","Pattern.compile(<doubleQuotes46>(?i:abc)dEf<doubleQuotes46>)"
"111splitHere46","14626548splitHere46","abc"
"112splitHere46","14626699splitHere46","java -cp bin; main.Main<newline46mondego>"
"113splitHere46","14626743splitHere46","'[^']+'|<doubleQuotes46>[^<doubleQuotes46>]+<doubleQuotes46><newline46mondego>"
"114splitHere46","14627007splitHere46","equals"
"115splitHere46","14627007splitHere46","equals"
"116splitHere46","14627007splitHere46","=="
"117splitHere46","14627007splitHere46","s1.equals(s2)"
"118splitHere46","14627007splitHere46","s1 == s2"
"119splitHere46","14627337splitHere46","ServletContext context = //Get the servlet context<newline46mondego>"
"120splitHere46","14627337splitHere46","@javax.ws.rs.core.Context <newline46mondego>ServletContext context;<newline46mondego>"
"121splitHere46","14627337splitHere46","File file = new File(context.getRealPath(<doubleQuotes46>/someFolder/myFile.txt<doubleQuotes46>));<newline46mondego>"
"122splitHere46","14627381splitHere46","@Deprecated"
"123splitHere46","14627381splitHere46","@Deprecated"
"124splitHere46","14627381splitHere46","@Deprecated"
"125splitHere46","14627381splitHere46","@SuppressWarnings(<doubleQuotes46>deprecation<doubleQuotes46>)"
"126splitHere46","14627381splitHere46","@Deprecated"
"127splitHere46","14627557splitHere46","xml"
"128splitHere46","14627557splitHere46","def map = new XmlParser().parseText( xml )<newline46mondego>                         .someelement<newline46mondego>                         .find { it.@id == '1234' }<newline46mondego>                         .property<newline46mondego>                         .collectEntries { [ it.@key, it.@value ] }<newline46mondego><newline46mondego>assert map == [ hello:'world', name:'a name', status:'new' ]<newline46mondego>"
"129splitHere46","14627771splitHere46","import java.awt.Color;<newline46mondego>import java.awt.Graphics;<newline46mondego><newline46mondego>import javax.swing.JButton;<newline46mondego>import javax.swing.JFrame;<newline46mondego>import javax.swing.SwingConstants;<newline46mondego>import javax.swing.SwingUtilities;<newline46mondego><newline46mondego>public class TestButton {<newline46mondego><newline46mondego>    class MyButton extends JButton {<newline46mondego><newline46mondego>        private Color hoverBackgroundColor;<newline46mondego>        private Color pressedBackgroundColor;<newline46mondego><newline46mondego>        public MyButton() {<newline46mondego>            this(null);<newline46mondego>        }<newline46mondego><newline46mondego>        public MyButton(String text) {<newline46mondego>            super(text);<newline46mondego>            super.setContentAreaFilled(false);<newline46mondego>        }<newline46mondego><newline46mondego>        @Override<newline46mondego>        protected void paintComponent(Graphics g) {<newline46mondego>            if (getModel().isPressed()) {<newline46mondego>                g.setColor(pressedBackgroundColor);<newline46mondego>            } else if (getModel().isRollover()) {<newline46mondego>                g.setColor(hoverBackgroundColor);<newline46mondego>            } else {<newline46mondego>                g.setColor(getBackground());<newline46mondego>            }<newline46mondego>            g.fillRect(0, 0, getWidth(), getHeight());<newline46mondego>            super.paintComponent(g);<newline46mondego>        }<newline46mondego><newline46mondego>        @Override<newline46mondego>        public void setContentAreaFilled(boolean b) {<newline46mondego>        }<newline46mondego><newline46mondego>        public Color getHoverBackgroundColor() {<newline46mondego>            return hoverBackgroundColor;<newline46mondego>        }<newline46mondego><newline46mondego>        public void setHoverBackgroundColor(Color hoverBackgroundColor) {<newline46mondego>            this.hoverBackgroundColor = hoverBackgroundColor;<newline46mondego>        }<newline46mondego><newline46mondego>        public Color getPressedBackgroundColor() {<newline46mondego>            return pressedBackgroundColor;<newline46mondego>        }<newline46mondego><newline46mondego>        public void setPressedBackgroundColor(Color pressedBackgroundColor) {<newline46mondego>            this.pressedBackgroundColor = pressedBackgroundColor;<newline46mondego>        }<newline46mondego>    }<newline46mondego><newline46mondego>    protected void createAndShowGUI() {<newline46mondego>        JFrame frame = new JFrame(<doubleQuotes46>Test button<doubleQuotes46>);<newline46mondego>        frame.setDefaultCloseOperation(JFrame.EXIT_ON_CLOSE);<newline46mondego>        final MyButton btnSave = new MyButton(<doubleQuotes46>Save<doubleQuotes46>);<newline46mondego>        btnSave.setForeground(new Color(0, 135, 200).brighter());<newline46mondego>        btnSave.setHorizontalTextPosition(SwingConstants.CENTER);<newline46mondego>        btnSave.setBorder(null);<newline46mondego>        btnSave.setBackground(new Color(3, 59, 90));<newline46mondego>        btnSave.setHoverBackgroundColor(new Color(3, 59, 90).brighter());<newline46mondego>        btnSave.setPressedBackgroundColor(Color.PINK);<newline46mondego>        frame.add(btnSave);<newline46mondego>        frame.setSize(200, 200);<newline46mondego>        frame.setVisible(true);<newline46mondego>    }<newline46mondego><newline46mondego>    public static void main(String[] args) {<newline46mondego>        SwingUtilities.invokeLater(new Runnable() {<newline46mondego>            @Override<newline46mondego>            public void run() {<newline46mondego>                new TestButton().createAndShowGUI();<newline46mondego>            }<newline46mondego>        });<newline46mondego><newline46mondego>    }<newline46mondego><newline46mondego>}<newline46mondego>"
